序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	16295	新华利率债债	8月5日	1.5526	1.9977	0.01%	0.12%	-0.40%	-0.25%	-0.24%	94.66%	96.57%	99.88%	0.03%	99.80%	94.71%
2	100035	富国优化增强	8月5日	2.07	2.385	0.49%	0.73%	4.12%	8.78%	14.24%	41.01%	27.78%	24.48%	17.95%	154.56%	39.96%
3	18980	富国优化增强	8月5日	2.056	2.056	0.44%	0.69%	4.10%	8.78%	14.16%	40.92%	27.54%	---	17.96%	27.54%	39.96%
4	240012	华宝增强收益	8月5日	1.5859	1.9659	0.20%	-0.09%	6.72%	14.39%	14.34%	39.74%	17.80%	13.40%	18.53%	113.40%	39.16%
5	240013	华宝增强收益	8月5日	1.4707	1.8507	0.20%	-0.10%	6.69%	14.27%	14.12%	39.19%	16.87%	12.04%	18.25%	99.94%	38.63%
6	360013	光大信用添益	8月5日	1.18	2.128	0.51%	0.60%	7.18%	13.24%	13.79%	38.82%	10.90%	6.33%	15.57%	174.36%	38.17%
7	360014	光大信用添益	8月5日	1.171	2.075	0.52%	0.60%	7.14%	13.25%	13.58%	38.42%	10.26%	5.32%	15.37%	162.21%	37.76%
8	610008	信澳信用债债	8月5日	1.206	1.728	0.42%	0.75%	4.24%	9.64%	13.88%	37.36%	14.65%	13.89%	15.19%	91.38%	36.73%
9	690002	民生增强收益	8月5日	1.7223	2.4473	0.90%	0.61%	7.95%	13.23%	11.19%	37.24%	11.77%	9.63%	15.36%	180.74%	36.37%
10	610108	信澳信用债债	8月5日	1.196	1.678	0.42%	0.76%	4.27%	9.62%	13.69%	37.00%	14.27%	13.22%	15.11%	84.40%	36.37%
11	2405	光大中高等级	8月5日	1.6326	1.6732	0.51%	0.70%	4.31%	10.59%	9.72%	36.94%	26.92%	23.22%	12.04%	69.09%	36.22%
12	690202	民生增强收益	8月5日	1.6669	2.3369	0.90%	0.60%	7.91%	13.09%	10.90%	36.63%	10.90%	8.31%	15.04%	164.82%	35.85%
13	2406	光大中高等级	8月5日	1.5817	1.6218	0.51%	0.69%	4.28%	10.48%	9.51%	36.40%	25.91%	21.76%	11.80%	63.81%	35.68%
14	4993	中欧可转债债	8月5日	1.4893	1.4893	0.74%	1.26%	5.53%	11.88%	14.82%	35.45%	12.56%	-1.74%	18.82%	48.93%	34.79%
15	5793	华富可转债债	8月5日	1.5236	1.5236	0.64%	1.19%	5.67%	11.09%	12.93%	35.04%	6.92%	-2.98%	16.11%	52.36%	34.46%
16	4994	中欧可转债债	8月5日	1.4459	1.4459	0.74%	1.25%	5.49%	11.76%	14.59%	34.92%	11.66%	-2.91%	18.54%	44.59%	34.27%
17	9512	天弘添利债券	8月5日	1.4226	1.4826	0.23%	0.23%	3.12%	9.74%	9.00%	34.64%	13.72%	3.92%	11.24%	48.40%	33.69%
18	10768	建信利率债策	8月5日	1.376	1.482	0.01%	0.40%	-0.61%	-0.30%	-0.56%	34.20%	39.18%	42.17%	-0.45%	50.29%	34.25%
19	164206	天弘添利债券	8月5日	1.6363	2.3208	0.22%	0.23%	3.09%	9.64%	8.82%	34.18%	12.93%	2.83%	11.02%	194.57%	33.23%
20	9465	东方可转债债	8月5日	1.125	1.17	0.82%	1.82%	7.15%	11.56%	13.73%	33.59%	5.19%	-2.15%	18.67%	17.39%	32.95%
21	217018	招商安瑞进取	8月5日	2.1368	2.1368	0.54%	0.78%	6.28%	13.70%	15.25%	33.58%	5.94%	6.20%	16.82%	113.68%	32.16%
22	7316	交银可转债债	8月5日	1.6093	1.6093	0.91%	1.09%	6.06%	13.15%	14.66%	33.41%	14.18%	7.43%	17.15%	60.93%	32.59%
23	10118	天弘多元收益	8月5日	1.3169	1.3169	0.52%	0.24%	4.11%	11.88%	11.06%	33.22%	12.25%	7.88%	11.30%	31.69%	32.38%
24	50019	博时转债增强	8月5日	2.0503	2.0553	0.82%	1.15%	6.11%	11.20%	16.14%	33.21%	11.61%	-5.17%	19.08%	105.66%	32.84%
25	19500	招商安瑞进取	8月5日	2.1298	2.1298	0.53%	0.78%	6.25%	13.61%	15.07%	33.16%	---	---	16.61%	8.66%	31.75%
26	3	中海可转债债	8月5日	0.976	1.186	0.62%	0.10%	6.32%	15.09%	14.29%	33.15%	15.09%	10.53%	17.17%	14.75%	32.97%
27	9466	东方可转债债	8月5日	1.1104	1.1504	0.82%	1.81%	7.11%	11.44%	13.50%	33.06%	4.34%	-3.33%	18.38%	15.32%	32.41%
28	1751	华商信用增强	8月5日	1.717	1.717	0.23%	-0.35%	2.45%	7.65%	13.18%	33.00%	17.04%	17.52%	13.18%	71.70%	31.87%
29	7317	交银可转债债	8月5日	1.5708	1.5708	0.91%	1.08%	6.02%	13.03%	14.44%	32.88%	13.26%	6.14%	16.88%	57.08%	32.08%
30	10119	天弘多元收益	8月5日	1.2982	1.2982	0.51%	0.22%	4.08%	11.79%	10.88%	32.82%	11.58%	6.91%	11.10%	29.82%	31.98%
31	210014	金鹰元丰债券	8月5日	1.661	2.0332	0.24%	0.94%	9.46%	14.25%	12.73%	32.73%	3.19%	-13.84%	18.79%	103.32%	31.86%
32	50119	博时转债增强	8月5日	1.9611	1.9651	0.82%	1.14%	6.07%	11.09%	15.91%	32.69%	10.73%	-6.30%	18.80%	96.60%	32.32%
33	4	中海可转债债	8月5日	0.954	1.164	0.63%	0.10%	6.35%	14.94%	13.98%	32.68%	14.11%	9.15%	16.91%	12.16%	32.32%
34	1752	华商信用增强	8月5日	1.65	1.65	0.24%	-0.36%	2.42%	7.49%	12.94%	32.53%	16.12%	16.20%	12.94%	65.00%	31.37%
35	6030	南方昌元转债	8月5日	1.6401	1.6601	0.58%	-0.10%	10.48%	16.83%	19.78%	32.48%	7.56%	-1.34%	22.69%	66.43%	31.87%
36	14336	金鹰元丰债券	8月5日	1.6297	1.6297	0.24%	0.93%	9.41%	14.13%	12.52%	32.18%	2.35%	-14.88%	18.52%	-21.08%	31.31%
37	8897	上银可转债精	8月5日	0.888	0.888	0.65%	1.29%	4.80%	10.63%	13.32%	32.14%	11.74%	-6.66%	15.87%	-11.20%	31.42%
38	1862	东方红收益增	8月5日	1.322	1.552	0.24%	0.66%	3.53%	7.71%	9.22%	32.09%	21.43%	19.64%	11.31%	63.01%	31.22%
39	6031	南方昌元C	8月5日	1.6103	1.6103	0.58%	-0.11%	10.43%	16.68%	19.48%	31.81%	6.49%	-2.81%	22.32%	61.03%	31.21%
40	15748	上银可转债精	8月5日	0.8806	0.8806	0.65%	1.28%	4.78%	10.52%	13.14%	31.75%	11.07%	-7.48%	15.66%	-1.15%	31.02%
41	1863	东方红收益增	8月5日	1.2896	1.5036	0.24%	0.65%	3.50%	7.59%	9.00%	31.56%	20.46%	18.20%	11.04%	57.15%	30.70%
42	3382	民生加银鑫享	8月5日	1.1205	1.1285	0.58%	0.54%	4.81%	8.81%	10.72%	31.05%	21.31%	23.70%	15.09%	12.94%	30.14%
43	1045	华夏可转债增	8月5日	1.4683	1.4683	0.58%	-0.33%	6.33%	10.39%	11.80%	31.03%	5.10%	-2.95%	11.37%	46.83%	30.48%
44	720002	财通可转债债	8月5日	1.09	1.4482	0.75%	1.51%	4.85%	10.10%	13.00%	30.76%	14.30%	0.12%	13.08%	51.30%	30.65%
45	297	鹏华可转债债	8月5日	1.5945	1.6515	0.61%	0.78%	7.79%	13.64%	14.95%	30.64%	10.88%	-1.76%	17.57%	66.53%	30.03%
46	5771	银华可转债债	8月5日	1.5152	1.5152	0.85%	1.60%	6.71%	12.35%	14.85%	30.60%	3.89%	-13.43%	17.77%	51.50%	30.05%
47	3383	民生加银鑫享	8月5日	1.089	1.097	0.58%	0.53%	4.77%	8.68%	10.50%	30.54%	20.34%	22.25%	14.81%	9.77%	29.63%
48	7955	民生加银鑫享	8月5日	0.9516	0.9516	0.58%	0.53%	4.77%	8.69%	10.51%	30.53%	20.33%	22.25%	14.82%	-4.82%	29.63%
49	12887	华夏可转债增	8月5日	1.453	1.453	0.58%	-0.34%	6.29%	10.27%	11.58%	30.51%	4.31%	-4.16%	11.10%	-10.69%	29.96%
50	10964	鹏华可转债债	8月5日	1.2046	1.2046	0.62%	0.78%	7.77%	13.59%	14.84%	30.40%	10.51%	-2.38%	17.43%	-8.12%	29.78%
