序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	18124	永赢先进制造	8月5日	1.9989	1.9989	1.26%	2.24%	13.31%	0.24%	16.01%	157.59%	78.38%	---	58.04%	99.89%	152.77%
2	18125	永赢先进制造	8月5日	1.9814	1.9814	1.26%	2.23%	13.27%	0.12%	15.77%	156.53%	76.94%	---	57.65%	98.14%	151.77%
3	18993	中欧数字经济	8月5日	2.0845	2.0845	0.98%	-0.34%	23.01%	39.24%	52.64%	150.21%	---	---	64.61%	108.45%	146.07%
4	18994	中欧数字经济	8月5日	2.0612	2.0612	0.98%	-0.36%	22.95%	39.02%	52.20%	148.76%	---	---	64.03%	106.12%	144.62%
5	14938	同泰产业升级	8月5日	1.7339	1.7339	0.95%	-2.22%	8.91%	-4.01%	95.90%	148.16%	105.22%	62.98%	114.75%	73.39%	149.05%
6	16243	广发成长领航	8月5日	1.872	1.922	-1.62%	0.92%	13.99%	32.88%	73.43%	147.68%	63.74%	---	96.87%	95.15%	143.91%
7	14939	同泰产业升级	8月5日	1.7109	1.7109	0.95%	-2.23%	8.88%	-4.11%	95.51%	147.20%	103.61%	61.04%	114.24%	71.09%	148.10%
8	16244	广发成长领航	8月5日	1.8479	1.8979	-1.62%	0.91%	13.95%	32.68%	72.96%	146.26%	61.95%	---	96.11%	92.64%	142.47%
9	16530	鹏华碳中和主	8月5日	1.6338	1.6338	1.63%	4.17%	15.98%	-0.12%	19.69%	137.37%	62.07%	---	64.66%	63.38%	133.27%
10	16531	鹏华碳中和主	8月5日	1.6119	1.6119	1.63%	4.15%	15.91%	-0.28%	19.34%	136.00%	60.15%	---	64.08%	61.19%	131.89%
11	15915	永赢医药创新	8月5日	1.9452	1.9452	2.06%	-0.15%	17.28%	46.66%	114.99%	133.27%	97.10%	---	114.47%	94.52%	127.38%
12	20397	中银港股通医	8月5日	1.931	1.931	4.34%	-0.54%	20.06%	52.93%	122.57%	133.10%	---	---	118.46%	93.10%	124.33%
13	15916	永赢医药创新	8月5日	1.9251	1.9251	2.06%	-0.16%	17.23%	46.43%	114.45%	132.22%	95.56%	---	113.85%	92.51%	126.35%
14	7713	华富科技动能	8月5日	1.453	1.503	1.77%	4.03%	15.74%	7.61%	25.72%	131.08%	47.30%	9.81%	55.70%	51.20%	127.28%
15	20398	中银港股通医	8月5日	1.9072	1.9072	4.34%	-0.55%	20.02%	52.48%	121.72%	130.90%	---	---	117.57%	90.72%	122.18%
16	17968	华富科技动能	8月5日	1.4324	1.4324	1.77%	4.02%	15.67%	7.44%	25.36%	129.70%	45.57%	---	55.14%	30.04%	125.93%
17	320016	诺安多策略混	8月5日	3.063	3.063	1.26%	2.85%	12.44%	32.08%	51.41%	127.56%	95.97%	50.81%	58.70%	206.30%	121.32%
18	1412	德邦鑫星价值	8月5日	2.2154	2.3534	1.04%	-2.37%	23.10%	61.08%	39.68%	125.85%	103.45%	70.85%	32.67%	151.94%	119.63%
19	2112	德邦鑫星价值	8月5日	2.13	2.278	1.03%	-2.37%	23.09%	61.03%	39.61%	125.64%	103.05%	70.35%	32.59%	148.17%	119.41%
20	21489	中航趋势领航	8月5日	2.1242	2.1642	1.19%	2.47%	15.98%	0.47%	17.88%	124.76%	---	---	52.40%	118.51%	122.74%
21	21490	中航趋势领航	8月5日	2.1094	2.1494	1.18%	2.46%	15.91%	0.31%	17.53%	123.40%	---	---	51.86%	117.01%	121.41%
22	1900	诺安精选价值	8月5日	2.0055	2.0055	2.63%	-0.37%	17.79%	39.05%	107.09%	118.08%	92.08%	59.36%	104.91%	100.55%	110.37%
23	16370	信澳业绩驱动	8月5日	1.0462	1.0462	-0.15%	-0.50%	26.22%	70.39%	43.65%	113.51%	47.39%	---	44.03%	4.62%	108.82%
24	18956	中航机遇领航	8月5日	2.0445	2.0445	0.25%	-1.81%	26.06%	79.74%	59.32%	113.30%	---	---	52.38%	104.45%	108.32%
25	11188	信澳星奕混合	8月5日	1.5475	1.5475	0.93%	-2.51%	5.29%	13.33%	24.38%	113.18%	49.16%	15.48%	37.73%	54.75%	111.58%
26	4263	华安沪港深机	8月5日	2.187	2.399	2.82%	-2.84%	18.47%	32.79%	58.48%	112.33%	41.83%	10.85%	64.81%	153.99%	105.93%
27	16371	信澳业绩驱动	8月5日	1.0277	1.0277	-0.16%	-0.51%	26.16%	70.12%	43.23%	112.25%	45.63%	---	43.53%	2.77%	107.57%
28	18957	中航机遇领航	8月5日	2.0198	2.0198	0.25%	-1.82%	25.99%	79.44%	58.85%	112.03%	---	---	51.84%	101.98%	107.10%
29	11223	信澳星奕混合	8月5日	1.4925	1.4925	0.93%	-2.53%	5.22%	13.08%	23.88%	111.49%	46.80%	12.74%	37.06%	49.25%	109.89%
30	1970	泰信鑫选灵活	8月5日	1.26	1.26	0.00%	0.48%	6.42%	-2.48%	4.74%	111.41%	39.23%	-7.69%	22.45%	26.00%	106.56%
31	2580	泰信鑫选灵活	8月5日	1.251	1.251	0.08%	0.56%	6.47%	-2.42%	4.77%	111.32%	39.15%	-7.88%	22.53%	24.60%	106.44%
32	15289	格林高股息优	8月5日	1.7535	1.7535	1.25%	1.46%	11.50%	22.68%	43.31%	110.83%	69.75%	---	56.55%	75.35%	108.65%
33	18835	广发成长启航	8月5日	2.0003	2.0003	0.30%	1.32%	13.23%	23.99%	42.64%	110.67%	---	---	43.04%	100.03%	109.59%
34	18836	广发成长启航	8月5日	1.9925	1.9925	0.29%	1.31%	13.18%	23.83%	42.28%	110.29%	---	---	42.60%	99.25%	109.19%
35	15290	格林高股息优	8月5日	1.7356	1.7356	1.24%	1.44%	11.46%	22.56%	43.04%	109.89%	68.16%	---	56.12%	73.56%	107.73%
36	6720	平安核心优势	8月5日	2.8364	2.8364	2.33%	-1.76%	11.09%	37.68%	97.27%	109.28%	57.74%	35.40%	96.56%	183.64%	103.93%
37	6721	平安核心优势	8月5日	2.6807	2.6807	2.32%	-1.78%	11.01%	37.33%	96.42%	107.61%	55.24%	32.22%	95.59%	168.07%	102.32%
