序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	19457	平安先进制造	8月5日	1.7652	1.7652	1.98%	1.87%	9.94%	9.40%	32.25%	131.44%	---	---	66.92%	76.52%	127.47%
2	19458	平安先进制造	8月5日	1.7467	1.7467	1.98%	1.85%	9.88%	9.22%	31.87%	130.07%	---	---	66.34%	74.67%	126.14%
3	6603	嘉实互融精选	8月5日	2.3004	2.3004	3.02%	-0.84%	16.96%	43.95%	101.10%	115.60%	103.32%	122.73%	99.19%	130.04%	108.43%
4	20232	嘉实互融精选	8月5日	2.2826	2.2826	3.02%	-0.84%	16.92%	43.69%	100.54%	114.65%	---	---	98.56%	79.39%	107.51%
5	20458	平安医药精选	8月5日	2.059	2.059	2.23%	-1.94%	10.30%	34.46%	89.42%	107.46%	---	---	88.93%	105.90%	105.26%
6	20459	平安医药精选	8月5日	2.054	2.054	2.23%	-1.95%	10.24%	34.34%	89.01%	107.14%	---	---	88.42%	105.40%	104.95%
7	1230	鹏华医药科技	8月5日	1.8978	1.8978	0.41%	-0.08%	15.07%	37.71%	88.80%	102.80%	85.33%	73.63%	88.52%	89.78%	97.61%
8	17900	鹏华医药科技	8月5日	1.5937	1.5937	0.42%	-0.09%	15.04%	37.57%	88.43%	101.99%	83.82%	---	88.07%	59.37%	96.83%
9	19916	富国医药创新	8月5日	1.9429	1.9429	2.08%	-0.57%	14.94%	43.90%	99.85%	100.61%	---	---	94.31%	94.29%	97.73%
10	19917	富国医药创新	8月5日	1.925	1.925	2.07%	-0.58%	14.88%	43.65%	99.23%	99.25%	---	---	93.60%	92.50%	96.39%
11	15641	银华数字经济	8月5日	1.4261	1.4261	0.64%	-1.36%	3.28%	2.57%	1.19%	98.84%	39.50%	27.05%	9.28%	42.61%	96.08%
12	15642	银华数字经济	8月5日	1.4161	1.4161	0.64%	-1.36%	3.27%	2.53%	1.10%	98.31%	38.85%	26.21%	9.08%	41.61%	95.57%
13	9414	中银大健康股	8月5日	1.7971	1.7971	1.62%	-1.90%	8.66%	28.10%	83.30%	97.18%	91.22%	63.28%	81.54%	79.71%	92.59%
14	18240	嘉实制造升级	8月5日	1.459	1.459	1.88%	3.38%	16.56%	20.95%	25.44%	96.63%	45.59%	---	40.32%	45.90%	92.96%
15	10321	中银大健康股	8月5日	1.7641	1.7641	1.62%	-1.91%	8.63%	27.98%	82.96%	96.47%	89.77%	61.40%	81.14%	45.85%	91.90%
16	18241	嘉实制造升级	8月5日	1.4479	1.4479	1.88%	3.37%	16.52%	20.83%	25.20%	95.95%	44.50%	---	40.04%	44.79%	92.28%
17	9162	富国医药成长	8月5日	1.309	1.309	2.07%	-0.19%	13.65%	45.22%	95.78%	91.82%	77.66%	37.60%	87.78%	30.90%	89.13%
18	6228	中欧医疗创新	8月5日	1.7549	1.7549	1.99%	-0.83%	17.94%	42.91%	73.60%	87.99%	24.72%	-7.17%	68.77%	75.49%	84.82%
19	15052	东方红医疗升	8月5日	1.6457	1.6457	1.58%	-1.20%	15.14%	29.86%	77.15%	86.99%	66.48%	62.41%	74.76%	64.57%	84.87%
20	6229	中欧医疗创新	8月5日	1.6666	1.6666	1.99%	-0.84%	17.86%	42.59%	72.88%	86.34%	22.63%	-9.44%	67.95%	66.66%	83.20%
21	1040	新华策略精选	8月5日	1.7899	2.2279	0.27%	0.59%	18.41%	42.29%	39.45%	86.20%	32.08%	2.53%	39.79%	123.75%	80.52%
22	15053	东方红医疗升	8月5日	1.6185	1.6185	1.58%	-1.21%	15.10%	29.72%	76.75%	86.12%	64.83%	60.01%	74.29%	61.85%	84.00%
23	18048	申万菱信数字	8月5日	1.1399	1.1399	-1.29%	2.06%	15.97%	11.06%	8.64%	84.42%	18.11%	---	14.21%	13.99%	81.57%
24	13940	东吴医疗服务	8月5日	0.8363	0.8363	1.53%	-2.95%	12.29%	42.03%	70.36%	83.96%	41.96%	-0.50%	69.84%	-16.37%	79.27%
25	18049	申万菱信数字	8月5日	1.1296	1.1296	-1.28%	2.06%	15.94%	10.95%	8.44%	83.67%	17.15%	---	13.94%	12.96%	80.82%
26	14668	银华专精特新	8月5日	1.3384	1.3384	0.99%	1.68%	9.37%	22.37%	35.08%	83.59%	37.44%	33.87%	36.50%	33.84%	79.72%
27	13941	东吴医疗服务	8月5日	0.8299	0.8299	1.53%	-2.95%	12.27%	41.98%	70.24%	83.48%	41.36%	-1.13%	69.68%	-17.01%	78.82%
28	14669	银华专精特新	8月5日	1.3262	1.3262	0.99%	1.67%	9.34%	22.28%	34.87%	83.05%	36.61%	32.67%	36.26%	32.62%	79.19%
29	13242	北信瑞丰优势	8月5日	1.0248	1.0248	0.69%	1.57%	15.97%	24.46%	30.35%	82.54%	51.42%	19.76%	38.11%	2.48%	79.51%
30	6502	财通集成电路	8月5日	2.4236	2.4236	2.04%	-0.52%	30.91%	44.87%	30.43%	82.06%	52.43%	20.84%	23.43%	142.36%	78.01%
31	10709	安信医药健康	8月5日	1.5882	1.6462	0.67%	-1.15%	21.48%	48.39%	84.70%	80.74%	41.14%	30.21%	74.28%	66.29%	77.00%
32	6503	财通集成电路	8月5日	2.2976	2.2976	2.04%	-0.53%	30.83%	44.57%	29.93%	80.61%	50.01%	17.98%	22.85%	129.76%	76.60%
33	10710	安信医药健康	8月5日	1.553	1.61	0.67%	-1.15%	21.43%	48.19%	84.22%	79.83%	39.73%	28.27%	73.75%	62.55%	76.10%
34	17746	建信电子行业	8月5日	1.3202	1.3202	0.96%	-1.46%	9.74%	6.21%	6.61%	79.01%	35.54%	---	12.92%	32.02%	75.91%
35	17747	建信电子行业	8月5日	1.3082	1.3082	0.96%	-1.46%	9.70%	6.10%	6.40%	78.33%	34.48%	---	12.68%	30.82%	75.24%
36	6257	信澳先进智造	8月5日	2.0744	2.6947	0.12%	-0.67%	3.36%	5.61%	10.16%	78.04%	26.67%	-6.70%	16.39%	171.70%	74.64%
37	6781	汇丰晋信港股	8月5日	1.0616	1.0616	2.41%	0.58%	11.61%	23.43%	40.26%	77.67%	26.14%	20.77%	38.52%	6.16%	76.67%
38	8923	建信医疗健康	8月5日	1.6846	1.6846	1.72%	-1.27%	14.51%	43.25%	73.38%	77.48%	63.78%	65.87%	70.87%	68.46%	75.01%
39	8924	建信医疗健康	8月5日	1.6607	1.6607	1.72%	-1.28%	14.48%	43.13%	73.06%	76.80%	62.50%	63.92%	70.50%	66.07%	74.33%
40	6265	红土创新新科	8月5日	3.3458	3.3958	-0.06%	-0.06%	16.65%	27.50%	32.33%	72.32%	24.34%	-16.00%	33.00%	239.67%	67.02%
41	9557	申万菱信创业	8月5日	1.0071	1.0071	0.66%	-0.64%	9.43%	23.57%	24.52%	72.21%	29.17%	6.32%	22.53%	0.71%	69.26%
42	1048	富国新兴产业	8月5日	2.577	2.577	-0.39%	-1.45%	13.47%	6.75%	4.21%	72.14%	24.07%	19.09%	15.61%	157.70%	69.09%
43	10391	易方达战略新	8月5日	1.1067	1.1067	0.14%	-1.76%	16.34%	29.11%	32.65%	71.69%	43.71%	25.38%	33.74%	10.67%	68.35%
44	10505	申万菱信创业	8月5日	0.9409	0.9409	0.66%	-0.64%	9.39%	23.45%	24.28%	71.54%	28.15%	5.07%	22.24%	-5.91%	68.59%
45	15686	富国新兴产业	8月5日	2.531	2.531	-0.39%	-1.48%	13.40%	6.57%	3.90%	71.13%	22.63%	17.01%	15.26%	43.73%	68.17%
46	10392	易方达战略新	8月5日	1.0865	1.0865	0.14%	-1.77%	16.28%	28.96%	32.39%	70.97%	42.53%	23.86%	33.41%	8.65%	67.64%
47	4292	鹏华沪深港互	8月5日	1.9479	1.9479	0.65%	-0.26%	11.65%	16.10%	17.54%	70.81%	8.91%	-1.11%	21.10%	94.79%	71.03%
48	19824	国寿安保新材	8月5日	1.5164	1.5164	2.10%	1.28%	8.53%	24.38%	18.79%	70.54%	---	---	26.39%	51.64%	68.96%
49	10387	易方达医药生	8月5日	0.9957	0.9957	1.97%	-0.06%	16.16%	40.30%	74.65%	69.97%	67.80%	61.48%	67.85%	-0.43%	65.62%
50	7853	华商计算机行	8月5日	1.2855	1.2855	-0.21%	1.79%	12.03%	9.11%	7.73%	69.93%	6.92%	19.77%	14.12%	28.55%	67.86%
51	19825	国寿安保新材	8月5日	1.5082	1.5082	2.10%	1.27%	8.48%	24.21%	18.49%	69.71%	---	---	26.02%	50.82%	68.14%
52	1915	宝盈医疗健康	8月5日	2.382	2.458	2.01%	-0.50%	16.20%	31.53%	73.74%	69.66%	63.63%	51.52%	69.06%	149.86%	68.34%
53	11042	国泰价值先锋	8月5日	1.0828	1.0828	2.39%	1.31%	14.50%	29.52%	47.92%	69.51%	23.62%	7.14%	48.43%	8.28%	63.94%
54	9491	宝盈创新驱动	8月5日	1.3642	1.3642	-0.18%	0.20%	16.87%	40.86%	37.66%	69.44%	45.34%	12.20%	37.95%	36.42%	67.26%
55	10388	易方达医药生	8月5日	0.9773	0.9773	1.96%	-0.07%	16.11%	40.24%	74.39%	69.29%	66.52%	59.61%	67.55%	-2.27%	64.97%
56	17628	华商计算机行	8月5日	1.2727	1.2727	-0.22%	1.78%	11.98%	8.99%	7.51%	69.26%	6.08%	---	13.85%	33.32%	67.22%
57	20722	国寿安保数字	8月5日	1.6139	1.6139	-0.38%	3.79%	16.52%	19.84%	29.16%	69.08%	---	---	30.23%	61.39%	66.54%
58	5962	宝盈人工智能	8月5日	3.1455	3.1455	0.50%	-0.20%	11.60%	18.37%	16.62%	69.00%	36.03%	5.36%	20.98%	214.55%	67.37%
59	13641	博道成长智航	8月5日	1.2656	1.2656	1.07%	0.78%	9.04%	20.56%	25.62%	68.93%	38.47%	39.61%	27.45%	26.56%	66.97%
60	18728	华夏智胜新锐	8月5日	1.3504	1.3504	0.91%	1.09%	9.50%	22.29%	31.36%	68.80%	35.11%	---	31.25%	35.04%	66.49%
61	20437	宝盈医疗健康	8月5日	2.36	2.36	2.03%	-0.55%	16.08%	31.40%	73.27%	68.69%	---	---	68.45%	51.67%	67.49%
62	9492	宝盈创新驱动	8月5日	1.3304	1.3304	-0.18%	0.19%	16.82%	40.68%	37.32%	68.60%	43.87%	10.51%	37.54%	33.04%	66.42%
63	19505	国泰君安中证	8月5日	1.4433	1.4433	0.76%	0.44%	9.72%	20.21%	25.11%	68.47%	---	---	26.18%	44.33%	65.63%
64	20723	国寿安保数字	8月5日	1.6034	1.6034	-0.38%	3.79%	16.47%	19.68%	28.85%	68.21%	---	---	29.83%	60.34%	65.67%
65	11043	国泰价值先锋	8月5日	1.0452	1.0452	2.40%	1.30%	14.42%	29.24%	47.36%	68.15%	21.65%	4.59%	47.73%	4.52%	62.63%
66	18729	华夏智胜新锐	8月5日	1.3392	1.3392	0.90%	1.08%	9.47%	22.15%	31.10%	68.11%	34.03%	---	30.93%	33.92%	65.82%
67	13642	博道成长智航	8月5日	1.2419	1.2419	1.07%	0.77%	9.00%	20.40%	25.32%	68.10%	37.08%	37.53%	27.07%	24.19%	66.16%
68	17479	广发医药精选	8月5日	1.3254	1.3254	2.43%	-0.74%	14.36%	37.72%	64.10%	67.96%	32.37%	---	58.86%	32.54%	65.59%
69	19506	国泰君安中证	8月5日	1.4339	1.4339	0.76%	0.43%	9.68%	20.09%	24.87%	67.83%	---	---	25.89%	43.39%	64.99%
70	671030	西部利得事件	8月5日	2.9187	2.9187	0.24%	3.05%	15.73%	15.34%	18.72%	67.73%	43.82%	19.19%	23.27%	191.87%	64.34%
71	17488	嘉实信息产业	8月5日	1.642	1.642	0.30%	1.04%	15.30%	17.74%	16.18%	67.67%	21.56%	---	14.35%	64.20%	65.37%
72	5963	宝盈人工智能	8月5日	2.9747	2.9747	0.50%	-0.22%	11.52%	18.12%	16.16%	67.65%	33.86%	2.85%	20.39%	197.47%	66.03%
73	10434	红土创新医疗	8月5日	1.5546	1.5546	-2.50%	-0.01%	16.46%	52.19%	77.16%	67.45%	40.08%	72.20%	70.03%	55.46%	64.47%
74	17744	嘉实绿色主题	8月5日	1.0347	1.0347	0.03%	-1.22%	3.38%	0.61%	8.72%	67.43%	15.44%	---	18.16%	3.47%	65.34%
75	17480	广发医药精选	8月5日	1.3114	1.3114	2.43%	-0.76%	14.31%	37.51%	63.66%	67.10%	31.02%	---	58.36%	31.14%	64.73%
76	1105	信澳转型创新	8月5日	1.062	1.062	0.66%	-1.94%	15.81%	20.54%	17.48%	66.72%	29.20%	-10.61%	15.81%	6.20%	63.89%
77	17489	嘉实信息产业	8月5日	1.6169	1.6169	0.30%	1.03%	15.25%	17.55%	15.83%	66.67%	20.11%	---	13.95%	61.69%	64.39%
78	20698	国泰君安科创	8月5日	1.4853	1.4853	0.48%	0.27%	13.56%	20.20%	24.16%	66.48%	---	---	26.54%	48.53%	64.16%
79	17745	嘉实绿色主题	8月5日	1.0197	1.0197	0.03%	-1.23%	3.32%	0.45%	8.40%	66.43%	14.09%	---	17.73%	1.97%	64.36%
80	6803	嘉实互通精选	8月5日	1.2865	1.2865	0.30%	-0.99%	7.83%	7.70%	21.80%	66.24%	9.03%	-1.91%	29.90%	28.65%	65.08%
81	6002	工银医药健康	8月5日	2.4197	2.9673	2.21%	-1.75%	14.75%	35.78%	60.66%	66.15%	22.68%	8.41%	59.58%	190.55%	63.94%
82	15608	信澳转型创新	8月5日	1.042	1.042	0.58%	-1.98%	15.65%	20.32%	17.08%	65.92%	27.70%	-12.22%	15.39%	7.42%	62.81%
83	20699	国泰君安科创	8月5日	1.4775	1.4775	0.48%	0.26%	13.53%	20.07%	23.91%	65.81%	---	---	26.24%	47.75%	63.51%
84	9898	民生加银医药	8月5日	0.5795	0.5795	2.57%	-1.21%	21.69%	41.00%	66.43%	65.76%	37.06%	-5.53%	57.56%	-42.05%	62.60%
85	13132	创金合信文娱	8月5日	1.4818	1.4818	0.87%	-0.07%	6.29%	11.81%	19.06%	65.56%	35.44%	75.61%	21.35%	48.18%	63.41%
86	1167	金鹰科技创新	8月5日	1.7357	2.0717	0.16%	0.17%	5.65%	16.23%	16.69%	65.38%	35.37%	75.22%	22.58%	120.25%	62.29%
87	13465	博时智选量化	8月5日	1.1957	1.2909	0.46%	-0.71%	6.61%	9.10%	15.06%	65.28%	37.90%	29.26%	19.30%	29.71%	62.46%
88	6003	工银医药健康	8月5日	2.3124	2.8556	2.21%	-1.76%	14.70%	35.55%	60.18%	65.20%	21.25%	6.50%	59.02%	178.30%	62.99%
89	14758	民生加银医药	8月5日	0.5711	0.5711	2.57%	-1.23%	21.64%	40.80%	66.11%	65.11%	35.98%	-6.62%	57.20%	-25.68%	62.01%
90	4450	嘉实前沿科技	8月5日	2.0172	2.0172	0.16%	-1.54%	5.44%	8.86%	23.81%	64.87%	17.94%	12.19%	33.04%	101.70%	60.95%
91	13133	创金合信文娱	8月5日	1.4525	1.4525	0.86%	-0.09%	6.24%	11.66%	18.77%	64.70%	34.08%	72.98%	20.99%	45.25%	62.56%
92	13466	博时智选量化	8月5日	1.1909	1.268	0.46%	-0.71%	6.56%	8.96%	14.79%	64.46%	36.54%	27.35%	18.95%	27.31%	61.68%
93	19093	金鹰科技创新	8月5日	1.7138	2.0498	0.16%	0.17%	5.60%	16.05%	16.35%	64.42%	---	---	22.14%	37.21%	61.34%
94	17209	国泰君安科技	8月5日	1.2858	1.2858	0.65%	-0.08%	11.16%	20.54%	23.62%	63.92%	23.74%	---	25.92%	28.58%	61.78%
95	4616	中欧电子信息	8月5日	2.7525	2.8215	0.70%	-0.42%	12.94%	13.40%	13.65%	63.90%	0.58%	26.94%	23.59%	183.78%	62.06%
96	10592	南方医药创新	8月5日	0.7743	0.7743	2.46%	-0.22%	15.77%	37.36%	63.70%	63.49%	48.30%	31.95%	60.14%	-22.57%	61.01%
97	11269	中银证券优势	8月5日	1.1007	1.1007	-0.23%	-0.69%	13.59%	23.91%	29.94%	63.48%	0.44%	10.92%	33.66%	10.07%	59.34%
98	14062	景顺长城专精	8月5日	0.872	0.872	0.87%	1.55%	9.81%	20.78%	27.30%	63.39%	17.87%	0.00%	29.74%	-12.80%	60.41%
99	20315	嘉实前沿科技	8月5日	1.9906	1.9906	0.17%	-1.55%	5.38%	8.68%	23.46%	63.31%	---	---	32.62%	27.37%	59.44%
100	1672	国寿安保智慧	8月5日	1.615	2.422	1.06%	2.67%	11.46%	16.94%	19.72%	63.13%	29.09%	20.96%	21.70%	187.20%	60.06%
