序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	21298	中欧北证50	9月1日	2.1351	2.1351	-0.35%	-2.04%	9.59%	10.40%	16.67%	156.99%	---	---	44.58%	113.51%	163.69%
2	21299	中欧北证50	9月1日	2.1281	2.1281	-0.35%	-2.04%	9.57%	10.33%	16.52%	156.30%	---	---	44.34%	112.81%	163.02%
3	18128	博时北证50	9月1日	1.8174	1.8174	-0.35%	-2.07%	9.96%	11.46%	20.01%	153.26%	110.30%	---	49.44%	81.74%	160.00%
4	17512	广发北证50	9月1日	1.8451	1.8451	-0.34%	-2.09%	9.97%	11.68%	21.28%	152.27%	116.92%	---	51.25%	84.51%	158.96%
5	18129	博时北证50	9月1日	1.7987	1.7987	-0.34%	-2.07%	9.92%	11.35%	19.77%	152.27%	108.64%	---	49.06%	79.87%	158.99%
6	17513	广发北证50	9月1日	1.8307	1.8307	-0.34%	-2.10%	9.95%	11.60%	21.09%	151.50%	115.63%	---	50.95%	83.07%	158.21%
7	20691	博时中证全指	9月1日	2.1856	2.1856	5.46%	15.27%	49.84%	105.76%	93.48%	145.93%	---	---	87.86%	118.56%	154.79%
8	20692	博时中证全指	9月1日	2.1803	2.1803	5.46%	15.27%	49.82%	105.65%	93.29%	145.45%	---	---	87.62%	118.03%	154.29%
9	7817	国泰中证全指	9月1日	2.5379	2.5379	5.02%	14.61%	49.29%	104.47%	92.41%	145.04%	133.11%	182.33%	87.62%	153.79%	153.82%
10	7818	国泰中证全指	9月1日	2.4903	2.4903	5.02%	14.60%	49.24%	104.31%	92.11%	144.31%	131.70%	179.81%	87.24%	149.03%	153.05%
11	20899	天弘中证全指	9月1日	2.2476	2.2476	5.18%	15.10%	50.39%	107.23%	93.81%	142.20%	---	---	87.63%	124.76%	151.13%
12	20900	天弘中证全指	9月1日	2.2417	2.2417	5.18%	15.10%	50.37%	107.12%	93.62%	141.72%	---	---	87.39%	124.17%	150.67%
13	8326	东财通信A	9月1日	2.4395	2.4395	5.75%	16.58%	47.86%	100.29%	84.70%	141.61%	131.43%	172.24%	83.31%	143.95%	149.03%
14	20628	汇添富上证科	9月1日	2.2192	2.2192	1.31%	5.43%	36.18%	46.74%	33.34%	141.27%	---	---	47.78%	121.92%	149.85%
15	14543	汇添富中证沪	9月1日	1.7007	1.7007	4.94%	7.71%	30.86%	60.56%	44.65%	141.13%	89.28%	137.03%	68.70%	70.07%	149.52%
16	8327	东财通信C	9月1日	2.4054	2.4054	5.75%	16.57%	47.82%	100.15%	84.46%	141.02%	130.27%	170.21%	83.00%	140.54%	148.39%
17	20629	汇添富上证科	9月1日	2.2126	2.2126	1.31%	5.42%	36.15%	46.67%	33.21%	140.79%	---	---	47.58%	121.26%	149.36%
18	14544	汇添富中证沪	9月1日	1.6817	1.6817	4.94%	7.70%	30.83%	60.45%	44.46%	139.97%	87.90%	134.74%	68.36%	68.17%	148.29%
19	8020	华富中证人工	9月1日	1.4509	1.4509	2.47%	9.60%	43.67%	71.46%	52.28%	136.38%	87.65%	113.18%	69.99%	45.09%	144.63%
20	8021	华富中证人工	9月1日	1.4277	1.4277	2.47%	9.60%	43.63%	71.33%	52.04%	135.67%	86.53%	111.29%	69.66%	42.77%	143.88%
21	21933	富国中证通信	9月1日	2.3185	2.3185	5.40%	14.14%	47.61%	95.01%	85.33%	135.57%	---	---	81.76%	131.85%	142.62%
22	21934	富国中证通信	9月1日	2.3137	2.3137	5.39%	14.14%	47.59%	94.92%	85.16%	135.11%	---	---	81.52%	131.37%	142.15%
23	17515	易方达北证5	9月1日	1.586	1.586	-0.34%	-2.09%	9.93%	11.27%	19.78%	135.10%	95.56%	---	48.91%	58.60%	141.40%
24	19171	天弘中证沪港	9月1日	1.9575	1.9575	4.92%	7.67%	30.59%	60.90%	44.76%	134.85%	---	---	64.94%	95.75%	142.99%
25	17516	易方达北证5	9月1日	1.5733	1.5733	-0.35%	-2.10%	9.89%	11.17%	19.59%	134.37%	94.38%	---	48.59%	57.33%	140.68%
26	19170	天弘中证沪港	9月1日	1.9499	1.9499	4.92%	7.66%	30.57%	60.82%	44.62%	134.36%	---	---	64.73%	94.99%	142.49%
27	21224	华宝上证科创	9月1日	2.3352	2.3352	1.05%	5.57%	36.31%	47.27%	34.25%	133.52%	---	---	49.72%	133.52%	---
28	21225	华宝上证科创	9月1日	2.3303	2.3303	1.05%	5.57%	36.30%	47.19%	34.12%	133.03%	---	---	49.52%	133.03%	---
29	17469	嘉实上证科创	9月1日	1.8571	1.8571	1.31%	5.55%	36.60%	47.32%	33.76%	127.14%	82.03%	---	48.21%	85.71%	135.31%
30	19993	创金合信北证	9月1日	1.7393	1.7393	-0.03%	-1.55%	8.14%	9.16%	18.62%	127.06%	---	---	45.05%	73.93%	132.78%
31	17470	嘉实上证科创	9月1日	1.8445	1.8445	1.31%	5.55%	36.57%	47.22%	33.58%	126.54%	81.12%	---	47.96%	84.45%	134.73%
32	19330	华泰柏瑞中证	9月1日	1.8975	1.8975	4.85%	7.75%	31.20%	60.48%	45.20%	126.51%	---	---	60.79%	89.75%	134.03%
33	19994	创金合信北证	9月1日	1.7307	1.7307	-0.03%	-1.55%	8.11%	9.07%	18.44%	126.38%	---	---	44.76%	73.07%	132.09%
34	17559	华安上证科创	9月1日	2.0331	2.0331	1.36%	5.43%	36.49%	47.00%	33.91%	126.30%	82.80%	---	48.66%	103.31%	134.42%
35	17519	汇添富北证5	9月1日	1.5402	1.5402	-0.34%	-2.09%	9.73%	10.85%	19.05%	126.13%	86.69%	---	47.94%	54.02%	132.17%
36	19331	华泰柏瑞中证	9月1日	1.8887	1.8887	4.84%	7.74%	31.16%	60.37%	45.02%	125.95%	---	---	60.52%	88.87%	133.46%
37	17560	华安上证科创	9月1日	2.0223	2.0223	1.35%	5.43%	36.46%	46.93%	33.77%	125.85%	82.06%	---	48.46%	102.23%	133.95%
38	11832	西部利得人工	9月1日	1.4823	1.4823	2.30%	8.42%	35.87%	57.76%	41.85%	125.72%	75.50%	97.01%	56.94%	48.23%	133.43%
39	17520	汇添富北证5	9月1日	1.5239	1.5239	-0.35%	-2.10%	9.69%	10.74%	18.80%	125.23%	85.21%	---	47.54%	52.39%	131.24%
40	21607	南方上证科创	9月1日	2.2754	2.2754	1.23%	5.84%	37.17%	47.86%	34.23%	124.89%	---	---	48.72%	127.54%	132.92%
41	11833	西部利得人工	9月1日	1.4575	1.4575	2.29%	8.41%	35.82%	57.60%	41.56%	124.82%	74.09%	94.67%	56.52%	45.75%	132.49%
42	21608	南方上证科创	9月1日	2.273	2.273	1.23%	5.83%	37.17%	47.82%	34.17%	124.67%	---	---	48.62%	127.30%	132.70%
43	11839	天弘中证人工	9月1日	1.5216	1.5216	2.54%	8.58%	38.81%	62.58%	45.55%	124.46%	81.64%	112.72%	60.74%	52.16%	132.34%
44	12733	易方达中证人	9月1日	1.7306	1.7306	2.51%	8.60%	38.44%	61.89%	44.88%	124.20%	80.38%	110.05%	59.83%	73.06%	132.02%
45	12321	东财云计算增	9月1日	1.5745	1.5745	3.22%	6.70%	28.90%	55.78%	35.39%	124.19%	70.14%	119.99%	54.12%	57.45%	132.50%
46	161631	融通人工智能	9月1日	2.3455	2.3455	2.41%	8.66%	39.01%	62.71%	45.91%	124.13%	81.77%	109.53%	60.93%	134.55%	131.68%
47	11840	天弘中证人工	9月1日	1.5094	1.5094	2.54%	8.58%	38.80%	62.51%	45.41%	124.01%	80.92%	111.46%	60.54%	50.94%	131.89%
48	12734	易方达中证人	9月1日	1.7248	1.7248	2.51%	8.60%	38.43%	61.85%	44.81%	123.97%	80.02%	109.42%	59.72%	72.48%	131.80%
49	12322	东财云计算增	9月1日	1.5555	1.5555	3.22%	6.69%	28.87%	55.66%	35.19%	123.52%	69.13%	118.04%	53.83%	55.55%	131.78%
50	9239	融通人工智能	9月1日	2.296	2.296	2.40%	8.65%	38.96%	62.54%	45.60%	123.24%	80.32%	107.03%	60.49%	87.93%	130.75%
51	8585	华夏人工智能	9月1日	1.3814	1.3814	2.42%	8.50%	38.58%	61.85%	44.71%	123.09%	79.71%	107.51%	59.87%	38.14%	130.89%
52	17517	招商北证50	9月1日	1.6438	1.6438	-0.35%	-2.07%	9.80%	11.23%	19.11%	122.92%	90.92%	---	47.58%	64.38%	128.88%
53	21580	华夏人工智能	9月1日	1.3603	1.3603	2.42%	8.49%	38.55%	61.73%	44.48%	122.45%	---	---	59.55%	97.55%	130.21%
54	8586	华夏人工智能	9月1日	1.36	1.36	2.43%	8.50%	38.55%	61.73%	44.48%	122.44%	78.62%	105.69%	59.55%	36.00%	130.20%
55	17518	招商北证50	9月1日	1.6306	1.6306	-0.34%	-2.07%	9.78%	11.15%	18.93%	122.24%	89.78%	---	47.30%	63.06%	128.18%
56	19702	易方达上证科	9月1日	2.0211	2.0211	1.31%	5.82%	35.94%	51.35%	47.30%	122.12%	---	---	64.87%	102.11%	129.25%
57	19703	易方达上证科	9月1日	2.0112	2.0112	1.31%	5.82%	35.90%	51.24%	47.08%	121.45%	---	---	64.54%	101.12%	128.57%
58	19670	广发中证香港	9月1日	1.6044	1.6044	4.96%	1.38%	9.50%	46.56%	76.42%	121.39%	---	---	102.70%	60.44%	124.11%
59	20670	易方达上证科	9月1日	2.2543	2.2543	1.04%	5.40%	36.38%	47.41%	34.23%	121.34%	---	---	49.03%	125.43%	129.33%
60	19671	广发中证香港	9月1日	1.5956	1.5956	4.95%	1.37%	9.47%	46.45%	76.15%	120.72%	---	---	102.31%	59.56%	123.44%
61	20671	易方达上证科	9月1日	2.2438	2.2438	1.04%	5.39%	36.35%	47.30%	34.03%	120.67%	---	---	48.74%	124.38%	128.66%
62	18112	工银北证50	9月1日	1.7169	1.7169	-0.34%	-2.09%	9.78%	10.67%	18.23%	119.92%	97.53%	---	46.52%	71.69%	125.82%
63	17853	易方达云计算	9月1日	1.6058	1.6058	2.86%	5.91%	26.60%	51.46%	32.08%	119.64%	62.79%	---	50.60%	60.58%	127.64%
64	18113	工银北证50	9月1日	1.7046	1.7046	-0.34%	-2.09%	9.75%	10.59%	18.05%	119.27%	96.31%	---	46.23%	70.46%	125.15%
65	17854	易方达云计算	9月1日	1.594	1.594	2.85%	5.90%	26.58%	51.35%	31.88%	118.99%	61.81%	---	50.31%	59.40%	126.97%
66	17521	富国北证50	9月1日	1.4738	1.4738	-0.33%	-2.08%	9.74%	10.97%	18.02%	118.11%	77.37%	---	46.75%	47.38%	123.95%
67	17522	富国北证50	9月1日	1.4657	1.4657	-0.33%	-2.08%	9.72%	10.91%	17.91%	117.69%	76.68%	---	46.56%	46.57%	123.50%
68	161628	融通中证云计	9月1日	1.8185	1.2746	2.90%	5.87%	26.67%	51.49%	31.58%	117.65%	62.77%	123.21%	50.64%	34.82%	125.59%
69	17525	华夏北证50	9月1日	1.4902	1.4902	-0.35%	-2.10%	9.76%	10.88%	18.39%	117.26%	81.22%	---	47.33%	49.02%	123.08%
70	17523	南方北证50	9月1日	1.4471	1.4471	-0.36%	-2.12%	9.87%	10.63%	16.61%	117.18%	78.15%	---	44.74%	44.71%	123.08%
71	21030	汇添富国证港	9月1日	2.1914	2.1914	4.27%	-0.06%	7.62%	42.96%	73.58%	117.14%	---	---	99.58%	119.14%	119.56%
72	19785	广发上证科创	9月1日	1.7297	1.7297	1.26%	6.25%	35.72%	51.24%	46.72%	117.00%	---	---	63.74%	72.97%	123.85%
73	17527	嘉实北证50	9月1日	1.5125	1.5125	-0.34%	-2.07%	9.55%	10.28%	17.28%	116.81%	78.26%	---	45.73%	51.25%	122.66%
74	14130	融通中证云计	9月1日	1.7915	1.7915	2.89%	5.86%	26.63%	51.32%	31.29%	116.76%	61.47%	120.55%	50.22%	62.14%	124.67%
75	21031	汇添富国证港	9月1日	2.1856	2.1856	4.27%	-0.06%	7.61%	42.89%	73.41%	116.72%	---	---	99.33%	118.56%	119.13%
76	17526	华夏北证50	9月1日	1.4784	1.4784	-0.35%	-2.11%	9.73%	10.78%	18.22%	116.62%	80.16%	---	47.02%	47.84%	122.42%
77	167506	安信深圳科技	9月1日	1.7441	1.7441	0.90%	5.79%	23.02%	43.11%	30.05%	116.55%	71.43%	70.81%	45.86%	74.41%	122.01%
78	17524	南方北证50	9月1日	1.4355	1.4355	-0.36%	-2.13%	9.84%	10.54%	16.43%	116.55%	77.09%	---	44.45%	43.55%	122.42%
79	19786	广发上证科创	9月1日	1.7205	1.7205	1.27%	6.25%	35.69%	51.13%	46.50%	116.36%	---	---	63.42%	72.05%	123.21%
80	17528	嘉实北证50	9月1日	1.5022	1.5022	-0.34%	-2.08%	9.52%	10.20%	17.12%	116.27%	77.40%	---	45.48%	50.22%	122.09%
81	167507	安信深圳科技	9月1日	1.7193	1.7193	0.90%	5.78%	23.00%	43.02%	29.89%	116.02%	70.58%	69.54%	45.63%	71.93%	121.47%
82	18120	万家北证50	9月1日	1.6144	1.6144	-0.35%	-2.06%	9.48%	10.27%	16.33%	114.54%	83.35%	---	44.34%	61.44%	120.25%
83	18121	万家北证50	9月1日	1.6068	1.6068	-0.35%	-2.07%	9.46%	10.22%	16.21%	114.10%	82.61%	---	44.15%	60.68%	119.81%
84	19868	华夏云计算与	9月1日	1.661	1.661	2.89%	5.89%	26.80%	52.06%	31.95%	113.88%	---	---	47.47%	66.10%	121.73%
