序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
1	18993	中欧数字经济	9月1日	2.8725	2.8725	3.23%	12.37%	39.84%	96.33%	89.90%	243.07%	---	---	126.84%	187.25%	254.94%	0.15%
2	18994	中欧数字经济	9月1日	2.8392	2.8392	3.23%	12.36%	39.77%	96.05%	89.34%	241.05%	---	---	125.94%	183.92%	252.91%	0.00%
3	1412	德邦鑫星价值	9月1日	3.3604	3.4984	3.57%	16.60%	52.36%	142.54%	105.86%	233.94%	221.54%	169.70%	101.23%	282.15%	247.01%	0.15%
4	2112	德邦鑫星价值	9月1日	3.2306	3.3786	3.57%	16.59%	52.35%	142.46%	105.74%	233.64%	220.91%	168.90%	101.11%	276.41%	246.67%	0.00%
5	16370	信澳业绩驱动	9月1日	1.6022	1.6022	3.57%	16.05%	53.28%	151.13%	114.89%	229.33%	152.16%	60.22%	120.57%	60.22%	242.42%	0.15%
6	18956	中航机遇领航	9月1日	3.1602	3.1602	4.37%	18.97%	54.12%	159.65%	144.43%	228.16%	220.51%	---	135.54%	216.02%	240.61%	0.15%
7	16371	信澳业绩驱动	9月1日	1.5733	1.5733	3.57%	16.04%	53.21%	150.77%	114.26%	227.36%	149.22%	57.35%	119.73%	57.33%	240.39%	0.00%
8	18957	中航机遇领航	9月1日	3.1208	3.1208	4.37%	18.96%	54.05%	159.27%	143.70%	226.20%	216.61%	---	134.61%	212.08%	238.59%	0.00%
9	18124	永赢先进制造	9月1日	2.175	2.175	-0.38%	-2.64%	14.87%	19.22%	9.64%	189.69%	91.44%	---	71.96%	117.50%	202.17%	0.15%
10	18125	永赢先进制造	9月1日	2.1554	2.1554	-0.39%	-2.65%	14.83%	19.10%	9.42%	188.54%	89.90%	---	71.50%	115.54%	200.95%	0.00%
11	14938	同泰产业升级	9月1日	1.963	1.963	0.38%	0.43%	16.13%	19.66%	97.90%	187.20%	149.02%	87.60%	143.13%	96.30%	191.20%	0.15%
12	14939	同泰产业升级	9月1日	1.9364	1.9364	0.38%	0.43%	16.09%	19.54%	97.51%	186.07%	147.05%	85.35%	142.47%	93.64%	190.05%	0.00%
13	1194	景顺长城稳健	9月1日	3.821	3.886	2.72%	8.61%	40.79%	104.33%	78.14%	177.08%	173.51%	165.35%	96.96%	299.94%	183.88%	0.10%
14	1407	景顺长城稳健	9月1日	3.704	3.767	2.75%	8.62%	40.84%	104.19%	77.99%	176.62%	172.15%	163.44%	96.71%	280.31%	183.40%	0.00%
15	1437	易方达瑞享混	9月1日	6.3392	6.3392	3.86%	6.64%	31.37%	116.66%	107.88%	173.97%	98.72%	120.19%	110.53%	533.92%	181.15%	0.06%
