序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
1	6502	财通集成电路	9月1日	3.4436	3.4436	3.55%	13.05%	44.25%	121.54%	84.83%	152.93%	125.60%	86.43%	75.38%	244.36%	162.51%	0.15%
2	19457	平安先进制造	9月1日	1.9256	1.9256	-0.35%	-1.91%	14.16%	24.31%	20.85%	152.41%	---	---	82.09%	92.56%	158.33%	0.15%
3	6503	财通集成电路	9月1日	3.2627	3.2627	3.55%	13.03%	44.16%	121.10%	84.09%	150.92%	122.03%	82.03%	74.45%	226.27%	160.43%	0.00%
4	19458	平安先进制造	9月1日	1.9047	1.9047	-0.36%	-1.92%	14.11%	24.13%	20.49%	150.92%	---	---	81.38%	90.47%	156.80%	0.00%
5	1040	新华策略精选	9月1日	2.2789	2.7169	3.44%	9.05%	27.83%	76.43%	79.38%	145.12%	77.97%	32.49%	77.98%	184.88%	156.03%	0.15%
6	1048	富国新兴产业	9月1日	3.697	3.697	3.18%	12.37%	43.68%	68.58%	42.80%	141.48%	96.13%	84.67%	65.86%	269.70%	149.12%	0.15%
7	15686	富国新兴产业	9月1日	3.629	3.629	3.16%	12.35%	43.55%	68.32%	42.37%	140.01%	93.86%	81.45%	65.26%	106.08%	147.71%	0.00%
8	6265	红土创新新科	9月1日	4.6284	4.6784	3.97%	14.54%	38.30%	80.07%	75.68%	139.24%	81.09%	28.17%	83.98%	369.88%	148.03%	0.15%
9	17488	嘉实信息产业	9月1日	2.2367	2.2367	3.18%	5.29%	38.01%	66.93%	44.51%	134.85%	73.85%	---	55.77%	123.67%	142.49%	0.15%
10	17489	嘉实信息产业	9月1日	2.2014	2.2014	3.18%	5.28%	37.92%	66.66%	44.06%	133.42%	71.77%	---	55.14%	120.14%	141.04%	0.00%
11	519935	长信创新驱动	9月1日	2.082	2.082	2.97%	10.63%	44.18%	85.89%	64.20%	130.31%	78.25%	20.14%	71.22%	108.20%	140.14%	0.15%
12	13242	北信瑞丰优势	9月1日	1.3193	1.3193	2.45%	7.12%	31.93%	65.45%	59.86%	129.56%	100.75%	61.26%	77.80%	31.93%	136.60%	0.15%
13	10391	易方达战略新	9月1日	1.5141	1.5141	3.22%	10.02%	37.38%	81.33%	63.21%	127.27%	110.97%	87.64%	82.97%	51.41%	133.30%	0.15%
14	10392	易方达战略新	9月1日	1.4861	1.4861	3.21%	10.01%	37.33%	81.14%	62.88%	126.33%	109.25%	85.39%	82.48%	48.61%	132.35%	0.00%
15	10013	易方达信息行	9月1日	1.6182	1.6182	3.43%	11.94%	42.10%	92.12%	72.92%	123.23%	96.96%	83.97%	86.45%	61.82%	128.27%	0.15%
16	19024	易方达信息行	9月1日	1.6035	1.6035	3.42%	11.93%	42.03%	91.85%	72.47%	122.03%	---	---	85.81%	108.22%	127.06%	0.00%
17	12696	同泰数字经济	9月1日	1.1144	1.1144	3.73%	10.68%	43.83%	90.17%	66.58%	121.20%	89.39%	54.91%	74.97%	11.44%	129.68%	0.15%
18	15641	银华数字经济	9月1日	1.629	1.629	0.39%	-0.23%	16.95%	22.50%	12.11%	121.06%	66.91%	57.13%	24.83%	62.90%	126.60%	0.15%
19	15642	银华数字经济	9月1日	1.6173	1.6173	0.40%	-0.23%	16.93%	22.44%	12.00%	120.46%	66.13%	56.09%	24.58%	61.73%	125.97%	0.00%
20	12697	同泰数字经济	9月1日	1.0962	1.0962	3.73%	10.66%	43.78%	89.98%	66.24%	120.30%	87.87%	53.04%	74.50%	9.62%	128.76%	0.00%
21	17744	嘉实绿色主题	9月1日	1.3401	1.3401	1.09%	4.99%	32.26%	40.37%	30.09%	119.62%	61.24%	---	53.03%	34.01%	127.02%	0.15%
22	17745	嘉实绿色主题	9月1日	1.32	1.32	1.07%	4.97%	32.20%	40.14%	29.69%	118.29%	59.34%	---	52.41%	32.00%	125.68%	0.00%
23	6603	嘉实互融精选	9月1日	2.4067	2.4067	4.95%	1.54%	6.89%	38.28%	76.79%	117.25%	117.84%	143.94%	108.39%	140.67%	117.96%	0.15%
24	9491	宝盈创新驱动	9月1日	1.7672	1.7672	2.43%	11.34%	31.24%	79.21%	71.16%	116.62%	96.22%	59.47%	78.70%	76.72%	123.44%	0.15%
25	9891	融通产业趋势	9月1日	1.9795	1.9795	2.90%	9.56%	36.40%	65.98%	61.67%	116.41%	113.47%	75.53%	79.40%	97.95%	120.63%	0.15%
26	20232	嘉实互融精选	9月1日	2.3874	2.3874	4.95%	1.54%	6.85%	38.02%	76.30%	116.29%	---	---	107.67%	87.63%	117.02%	0.00%
27	9492	宝盈创新驱动	9月1日	1.7227	1.7227	2.42%	11.33%	31.18%	78.96%	70.72%	115.53%	94.24%	57.07%	78.09%	72.27%	122.31%	0.00%
28	17746	建信电子行业	9月1日	1.6247	1.6247	0.97%	4.16%	26.79%	42.88%	19.75%	114.31%	71.09%	---	38.97%	62.47%	122.47%	0.15%
29	20458	平安医药精选	9月1日	2.1227	2.1227	4.92%	1.17%	4.51%	30.43%	61.20%	113.96%	---	---	94.78%	112.27%	114.78%	0.15%
30	828	宏利转型机遇	9月1日	4.331	4.551	1.69%	11.28%	36.07%	84.69%	76.20%	113.67%	115.58%	37.89%	71.32%	420.43%	121.65%	0.12%
31	20459	平安医药精选	9月1日	2.1166	2.1166	4.91%	1.16%	4.46%	30.33%	60.85%	113.63%	---	---	94.17%	111.66%	114.45%	0.00%
32	17747	建信电子行业	9月1日	1.6095	1.6095	0.97%	4.15%	26.74%	42.74%	19.51%	113.49%	69.76%	---	38.63%	60.95%	121.63%	0.00%
33	411	景顺长城优质	9月1日	2.574	3.127	2.92%	11.96%	40.58%	80.89%	54.59%	113.43%	104.68%	100.21%	65.21%	282.98%	119.81%	0.15%
34	1230	鹏华医药科技	9月1日	1.9966	1.9966	3.38%	0.28%	5.75%	28.85%	70.77%	113.13%	95.94%	90.52%	98.33%	99.66%	115.34%	0.15%
35	12800	宏利转型机遇	9月1日	4.278	4.278	1.66%	11.26%	36.03%	84.56%	75.90%	113.05%	114.22%	36.63%	70.98%	19.36%	120.97%	0.00%
36	671030	西部利得事件	9月1日	3.7144	3.7144	1.02%	2.85%	31.49%	53.93%	41.26%	112.99%	83.84%	58.01%	56.88%	271.44%	116.33%	0.15%
37	21500	景顺长城优质	9月1日	2.562	2.562	2.89%	11.93%	40.54%	80.68%	54.34%	112.61%	---	---	64.76%	104.80%	118.97%	0.00%
38	18495	融通产业趋势	9月1日	1.9286	1.9286	2.89%	9.55%	36.34%	65.74%	61.19%	112.49%	108.36%	---	78.41%	83.21%	116.65%	0.00%
39	1956	国联安科技动	9月1日	2.4205	2.4205	5.02%	18.21%	48.39%	102.64%	72.42%	112.31%	67.90%	23.50%	61.19%	142.05%	120.67%	0.15%
40	17900	鹏华医药科技	9月1日	1.6761	1.6761	3.37%	0.26%	5.71%	28.71%	70.42%	112.27%	94.44%	---	97.79%	67.61%	114.50%	0.00%
41	6257	信澳先进智造	9月1日	2.4301	3.0504	0.73%	4.47%	19.24%	29.81%	23.09%	110.98%	51.81%	16.62%	36.35%	218.29%	120.22%	0.15%
42	540010	汇丰晋信科技	9月1日	3.1625	3.1625	3.80%	12.13%	35.62%	73.67%	60.22%	110.83%	61.48%	32.71%	67.75%	216.25%	120.23%	0.15%
43	1313	摩根智慧互联	9月1日	1.3246	1.3246	3.70%	11.21%	36.15%	62.05%	48.61%	110.55%	72.88%	28.86%	59.28%	32.46%	115.94%	0.15%
44	16919	摩根智慧互联	9月1日	1.3057	1.3057	3.70%	11.20%	36.10%	61.84%	48.26%	109.52%	71.17%	---	58.77%	50.34%	114.89%	0.00%
45	9414	中银大健康股	9月1日	1.929	1.929	4.88%	1.79%	8.29%	24.75%	71.12%	109.31%	104.49%	85.98%	94.87%	92.90%	111.51%	0.15%
46	5962	宝盈人工智能	9月1日	3.916	3.916	3.02%	6.34%	27.68%	52.01%	37.72%	108.75%	77.73%	44.52%	50.61%	291.60%	114.63%	0.15%
47	10321	中银大健康股	9月1日	1.8929	1.8929	4.88%	1.77%	8.25%	24.63%	70.79%	108.54%	102.90%	83.81%	94.36%	56.50%	110.72%	0.00%
48	14416	泰康研究精选	9月1日	1.2478	1.2478	2.95%	12.23%	36.04%	57.77%	63.24%	108.31%	69.72%	53.10%	56.33%	24.78%	114.14%	0.15%
49	19916	富国医药创新	9月1日	2.0161	2.0161	4.57%	0.05%	5.89%	35.97%	78.65%	107.76%	---	---	101.63%	101.61%	108.45%	0.15%
50	1105	信澳转型创新	9月1日	1.352	1.352	1.05%	4.73%	27.67%	59.06%	38.95%	107.68%	72.01%	26.59%	47.44%	35.20%	112.91%	0.15%
51	14417	泰康研究精选	9月1日	1.2252	1.2252	2.94%	12.23%	35.98%	57.56%	62.84%	107.31%	68.07%	50.85%	55.82%	22.52%	113.08%	0.00%
52	5963	宝盈人工智能	9月1日	3.7012	3.7012	3.01%	6.33%	27.60%	51.70%	37.17%	107.07%	74.89%	41.08%	49.80%	270.12%	112.92%	0.00%
53	15608	信澳转型创新	9月1日	1.327	1.327	1.07%	4.82%	27.72%	58.92%	38.66%	106.70%	70.13%	24.37%	46.95%	36.80%	111.98%	0.00%
54	19917	富国医药创新	9月1日	1.9967	1.9967	4.57%	0.04%	5.84%	35.75%	78.10%	106.36%	---	---	100.81%	99.67%	107.06%	0.00%
