序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'327,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'2,SH600900.长江电力,'295,'27.97,'-0.46%,6.19%,'20.27,'3.17,3.37%,16.00%,'6843.76,'-2.27%,电力行业
'3,SZ300750.宁德时代,'224,'265.00,'-0.26%,13.78%,'23.24,'4.11,2.18%,23.77%,'11699.82,'+2.10%,电池
'4,SZ000858.五粮液,'212,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'6,SH601919.中远海控,'177,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'5,SH601318.中国平安,'176,'59.06,'-0.14%,5.94%,'9.69,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'7,SH600309.万华化学,'174,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'9,SZ002714.牧原股份,'158,'46.77,'+1.10%,2.72%,'9.85,'3.31,3.05%,36.00%,'2527.08,'+23.33%,农牧饲渔
'8,SZ000568.泸州老窖,'154,'127.58,'+0.45%,2.22%,'13.91,'3.73,1.07%,27.99%,'1869.53,'+3.10%,酿酒行业
'10,SH603259.药明康德,'147,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'11,SH601225.陕西煤业,'147,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'12,SZ000333.美的集团,'142,'71.70,'+0.45%,14.64%,'13.96,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'13,SH600809.山西汾酒,'141,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'16,SH600887.伊利股份,'134,'27.57,'+0.07%,10.60%,'25.23,'2.99,4.43%,12.61%,'1743.90,'-4.80%,食品饮料
'15,SZ300760.迈瑞医疗,'133,'228.31,'+0.12%,10.84%,'25.28,'7.16,3.37%,29.79%,'2764.73,'-9.69%,医疗器械
'14,SH600276.恒瑞医药,'130,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'20,SH601899.紫金矿业,'129,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'18,SH601398.工商银行,'127,'7.76,0.00%,0.92%,'7.66,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'19,SH601088.中国神华,'127,'37.56,'-1.57%,1.04%,'13.48,'1.72,6.02%,12.74%,'6194.03,'-8.58%,煤炭行业
'17,SH600036.招商银行,'120,'45.12,'-0.29%,6.62%,'7.73,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'21,SZ000651.格力电器,'120,'46.90,'+0.39%,6.82%,'8.36,'1.83,2.14%,25.25%,'2616.98,'+5.43%,家电行业
'24,SH605117.德业股份,'116,'52.33,'+0.15%,3.57%,'15.81,'4.61,5.18%,40.42%,'473.30,'-10.87%,光伏设备
'23,SZ000895.双汇发展,'111,'24.95,'-0.12%,1.81%,'18.70,'3.89,5.64%,21.88%,'865.47,'-1.12%,食品饮料
'22,SH605499.东鹏饮料,'110,'298.03,'-2.23%,9.90%,'40.51,'17.74,1.48%,50.26%,'1549.79,'+20.99%,食品饮料
'25,SZ002594.比亚迪,'110,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'28,SH603345.安井食品,'105,'73.82,'-0.42%,4.07%,'19.18,'1.84,4.53%,10.92%,'216.51,'-7.05%,食品饮料
'29,SZ300274.阳光电源,'105,'76.90,'+1.98%,4.20%,'12.73,'3.83,1.43%,36.17%,'1563.41,'+5.92%,光伏设备
'30,SZ300724.捷佳伟创,'104,'66.80,'-1.66%,2.41%,'8.91,'2.00,1.77%,27.39%,'236.20,'+8.09%,光伏设备
'26,SZ000423.东阿阿胶,'103,'51.30,'-0.68%,9.35%,'21.75,'3.10,4.68%,14.99%,'332.61,'-16.29%,中药
'27,SZ300502.新易盛,'102,'186.40,'+2.17%,5.10%,'44.50,'18.26,0.18%,51.96%,'1813.03,'+126.69%,通信设备
'39,SH600436.片仔癀,'99,'201.51,'-0.03%,3.19%,'39.75,'7.97,1.47%,20.29%,'1215.74,'-5.21%,中药
'31,SH600600.青岛啤酒,'98,'67.90,0.00%,3.29%,'22.92,'3.01,3.24%,14.90%,'481.50,'-13.43%,酿酒行业
'35,SH603799.华友钴业,'98,'42.82,'+0.85%,8.79%,'16.36,'1.89,1.17%,13.31%,'728.60,'+48.51%,能源金属
'36,SH600406.国电南瑞,'97,'21.96,'+0.18%,13.56%,'23.68,'3.52,2.60%,15.75%,'1763.85,'-11.23%,电网设备
'37,SZ300308.中际旭创,'94,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'32,SH600690.海尔智家,'92,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'33,SH600438.通威股份,'92,'20.42,'-0.63%,3.65%,'-1.00,'1.98,4.43%,'-1.00%,'919.31,'-7.64%,光伏设备
'34,SZ300628.亿联网络,'91,'34.05,'+0.09%,3.14%,'17.61,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'38,SH600941.中国移动,'90,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'41,SH603288.海天味业,'86,'38.35,'-0.13%,3.52%,'35.31,'6.78,2.24%,20.94%,'2132.49,'-14.79%,食品饮料
'44,SH603129.春风动力,'85,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'48,SH600938.中国海油,'85,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'43,SZ002463.沪电股份,'84,'52.58,0.00%,6.41%,'36.19,'7.99,0.95%,24.65%,'1011.49,'+34.76%,电子元件
