序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'35,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'2,SZ000858.五粮液,'35,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'3,SZ002265.建设工业,'35,'44.89,'+7.16%,0.23%,'219.07,'11.83,0.00%,7.70%,'432.74,'+92.91%,汽车零部件
'6,SH600436.片仔癀,'29,'201.51,'-0.03%,3.19%,'39.75,'7.97,1.47%,20.29%,'1215.74,'-5.21%,中药
'16,SH688012.中微公司,'29,'196.06,'+0.45%,9.18%,'86.24,'6.09,0.15%,8.82%,'1227.62,'+3.82%,半导体
'17,SH688180.君实生物-U,'29,'41.28,'+4.61%,1.71%,'-1.00,'7.54,0.00%,'-1.00%,'316.37,'+51.04%,生物制品
'7,SH600690.海尔智家,'28,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'9,SH600967.内蒙一机,'28,'23.66,'+10.00%,0.12%,0.00,'3.42,0.62%,4.43%,'402.64,'+179.44%,交运设备
'12,SH601899.紫金矿业,'28,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'19,SZ000811.冰轮环境,'28,'12.56,'+1.05%,0.87%,'24.30,'2.09,1.55%,10.45%,'123.38,'+35.91%,通用设备
'5,SH600276.恒瑞医药,'27,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'14,SH605117.德业股份,'27,'52.33,'+0.15%,3.57%,'15.81,'4.61,5.18%,40.42%,'473.30,'-10.87%,光伏设备
'21,SZ002097.山河智能,'27,'17.50,'+1.92%,0.63%,'-1.00,'3.91,0.12%,1.82%,'184.51,'+133.92%,工程机械
'22,SZ002714.牧原股份,'26,'46.77,'+1.10%,2.72%,'9.85,'3.31,3.05%,36.00%,'2527.08,'+23.33%,农牧饲渔
'11,SH600580.卧龙电驱,'25,'24.94,'+6.67%,0.69%,'57.97,'3.77,0.50%,8.40%,'389.59,'+75.10%,电机
'13,SH601919.中远海控,'24,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'4,SH600285.羚锐制药,'23,'23.10,'-0.52%,1.73%,'19.71,'3.96,3.90%,23.98%,'131.00,'+8.34%,中药
'15,SH605499.东鹏饮料,'23,'298.03,'-2.23%,9.90%,'40.51,'17.74,1.48%,50.26%,'1549.79,'+20.99%,食品饮料
'18,SH688516.奥特维,'23,'35.60,'+1.83%,1.15%,'10.98,'2.66,6.90%,26.23%,'112.37,'-13.77%,光伏设备
'20,SZ000975.山金国际,'22,'18.79,'+1.40%,2.42%,'21.29,'3.76,1.97%,18.36%,'514.53,'+24.56%,贵金属
'8,SH601658.邮储银行,'21,'5.90,'+0.85%,0.94%,'8.33,'0.71,3.51%,8.57%,'5914.09,'+9.02%,银行
'10,SH603259.药明康德,'20,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'23,SH601916.浙商银行,'19,'3.44,'-0.58%,3.05%,'6.19,'0.47,4.53%,7.72%,'741.13,'+23.45%,银行
'31,SH600529.山东药玻,'19,'22.83,'-0.35%,1.04%,'16.70,'1.84,2.72%,11.83%,'151.50,'-10.13%,医疗器械
'32,SH603236.移远通信,'19,'84.68,'+0.20%,6.36%,'32.51,'5.22,0.81%,18.95%,'221.57,'+24.46%,通信设备
'33,SH603200.上海洗霸,'19,'70.43,'-2.72%,0.62%,'300.00,'12.73,0.13%,3.39%,'123.59,'+190.91%,环保行业
'49,SH600873.梅花生物,'19,'11.12,'-0.71%,2.82%,'10.70,'2.05,5.41%,19.84%,'317.23,'+15.26%,化学制品
'56,SH601601.中国太保,'19,'37.40,'-0.40%,3.19%,'8.41,'1.36,2.89%,16.43%,'2560.05,'+12.97%,保险
'65,SH601019.山东出版,'19,'9.12,'-0.44%,3.70%,'12.55,'1.25,3.40%,9.12%,'190.33,'-17.29%,文化传媒
'72,SH600644.乐山电力,'19,'13.65,'-0.51%,'-,'300.00,'3.87,0.00%,1.38%,'78.94,'+123.04%,电力行业
'78,SH600435.北方导航,'19,'18.10,'+6.28%,0.14%,'300.00,'9.85,0.11%,3.38%,'273.38,'+85.77%,通信设备
'80,SH600415.小商品城,'19,'19.64,'-1.36%,6.41%,'34.88,'5.05,1.68%,15.92%,'1076.99,'+49.07%,商业百货
'89,SH600232.金鹰股份,'19,'7.41,'+5.56%,'-,'300.00,'2.81,2.70%,0.95%,'27.03,'+43.29%,纺织服装
'100,SH600111.北方稀土,'19,'36.61,'+0.44%,3.84%,'99.34,'5.79,0.10%,6.21%,'1323.48,'+72.78%,小金属
'43,SH600941.中国移动,'18,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'47,SH600885.宏发股份,'18,'24.57,'+0.20%,20.32%,'21.67,'3.61,1.50%,18.76%,'358.66,'+9.88%,电网设备
'55,SH601615.明阳智能,'18,'11.01,'-0.81%,3.01%,'145.84,'0.94,2.76%,1.28%,'250.09,'-10.42%,风电设备
'60,SH601229.上海银行,'18,'10.50,'+0.10%,4.57%,'6.28,'0.58,4.76%,9.41%,'1491.94,'+17.17%,银行
'66,SH601012.隆基绿能,'18,'15.94,'+0.13%,5.62%,'-1.00,'2.03,1.07%,'-1.00%,'1207.94,'+1.46%,光伏设备
'68,SH600976.健民集团,'18,'41.69,'-1.00%,3.86%,'20.24,'2.51,2.16%,15.24%,'63.95,'+2.17%,中药
'93,SH600203.福日电子,'18,'14.19,'+10.00%,0.28%,'-1.00,'5.21,0.14%,'-1.00%,'84.15,'+58.67%,消费电子
'94,SH600192.长城电工,'18,'11.49,'+3.14%,'-,'-1.00,'4.46,0.00%,'-1.00%,'50.76,'+99.13%,电网设备
'99,SH600132.重庆啤酒,'18,'55.36,'+0.02%,6.24%,'21.56,'16.17,4.34%,53.44%,'267.93,'-10.71%,酿酒行业
'25,SH603299.苏盐井神,'17,'10.79,'+0.94%,0.40%,'13.54,'1.35,4.11%,11.71%,'84.34,'+1.43%,化学原料
