序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SZ000858.五粮液,'80,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'2,SH600519.贵州茅台,'65,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'3,SZ300750.宁德时代,'55,'265.00,'-0.26%,13.78%,'23.24,'4.11,2.18%,23.77%,'11699.82,'+2.10%,电池
'5,SH601919.中远海控,'47,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'6,SZ000333.美的集团,'46,'71.70,'+0.45%,14.64%,'13.96,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'4,SH601899.紫金矿业,'41,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'13,SH603345.安井食品,'39,'73.82,'-0.42%,4.07%,'19.18,'1.84,4.53%,10.92%,'216.51,'-7.05%,食品饮料
'11,SH689009.九号公司-WD,'38,'65.46,'+0.38%,'-,'26.28,'6.95,1.72%,27.90%,'470.95,'+40.40%,交运设备
'15,SZ000811.冰轮环境,'38,'12.56,'+1.05%,0.87%,'24.30,'2.09,1.55%,10.45%,'123.38,'+35.91%,通用设备
'23,SH600690.海尔智家,'38,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'12,SZ002265.建设工业,'37,'44.89,'+7.16%,0.23%,'219.07,'11.83,0.00%,7.70%,'432.74,'+92.91%,汽车零部件
'17,SH601225.陕西煤业,'37,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'8,SZ002594.比亚迪,'35,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'18,SH600276.恒瑞医药,'35,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'20,SH600900.长江电力,'35,'27.97,'-0.46%,6.19%,'20.27,'3.17,3.37%,16.00%,'6843.76,'-2.27%,电力行业
'25,SH603129.春风动力,'35,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'16,SH600309.万华化学,'34,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'19,SH600285.羚锐制药,'34,'23.10,'-0.52%,1.73%,'19.71,'3.96,3.90%,23.98%,'131.00,'+8.34%,中药
'10,SZ002097.山河智能,'33,'17.50,'+1.92%,0.63%,'-1.00,'3.91,0.12%,1.82%,'184.51,'+133.92%,工程机械
'21,SZ002472.双环传动,'33,'36.35,'+5.06%,17.92%,'27.67,'3.22,0.65%,12.56%,'293.31,'+19.56%,汽车零部件
'22,SH605117.德业股份,'33,'52.33,'+0.15%,3.57%,'15.81,'4.61,5.18%,40.42%,'473.30,'-10.87%,光伏设备
