排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'1,SZ000498.山东路桥,'5.88,'-0.34%,'0.37,'3.94,11.35%,1.48%,'0.38,3.39%,9.86%,'92,'+1.70%,工程建设
'2,SZ300641.正丹股份,'23.38,'-0.21%,'0.41,'8.14,20.19%,0.39%,'3.81,2.99%,57.04%,'125,'-4.68%,化学制品
'3,SH601919.中远海控,'15.63,'+1.10%,'0.47,'4.48,9.59%,3.50%,'0.99,9.96%,24.18%,'1971,'+7.69%,航运港口
'4,SH600248.陕建股份,'3.91,0.00%,'0.54,'5.18,12.67%,0.43%,'0.46,3.59%,9.74%,'146,'-10.67%,工程建设
'5,SH600866.星湖科技,'8.02,'-0.74%,'0.54,'11.43,18.40%,2.18%,'1.59,4.74%,14.36%,'133,'+30.73%,化学制品
'6,SZ300724.捷佳伟创,'66.80,'-1.66%,'0.55,'8.16,16.14%,2.41%,'2.00,1.77%,27.39%,'236,'+8.09%,光伏设备
'7,SH603323.苏农银行,'5.42,'-0.73%,'0.56,'5.55,10.22%,5.62%,'0.60,3.02%,11.43%,'109,'+16.06%,银行
'8,SH600926.杭州银行,'16.36,'-0.43%,'0.58,'6.64,11.55%,4.28%,'0.81,3.58%,13.61%,'1186,'+13.83%,银行
'9,SH601838.成都银行,'18.93,'-0.37%,'0.58,'6.16,10.66%,5.83%,'0.91,4.71%,15.96%,'802,'+15.94%,银行
'10,SH601857.中国石油,'8.64,'+0.58%,'0.61,'9.54,14.92%,0.53%,'1.01,5.44%,10.85%,'13990,'-0.58%,石油行业
'11,SZ002839.张家港行,'4.53,'-0.88%,'0.61,'5.89,9.72%,4.34%,'0.56,4.38%,10.07%,'112,'+8.55%,银行
'12,SH601128.常熟银行,'7.68,'+0.26%,'0.62,'6.46,10.54%,3.17%,'0.86,2.96%,14.12%,'255,'+15.20%,银行
'13,SZ002807.江阴银行,'4.76,'-0.83%,'0.63,'5.78,9.46%,3.35%,'0.63,4.17%,11.30%,'118,'+14.61%,银行
'14,SH600919.江苏银行,'11.69,'-0.60%,'0.64,'6.58,10.38%,5.33%,'0.69,4.45%,11.42%,'2145,'+25.03%,银行
'15,SH601717.中创智领,'17.39,0.00%,'0.66,'7.80,12.93%,5.04%,'1.38,6.44%,18.16%,'268,'+42.96%,汽车零部件
'16,SH600219.南山铝业,'4.05,'+0.75%,'0.68,'8.28,12.03%,6.45%,'0.91,4.21%,11.42%,'470,'+6.16%,有色金属
'17,SH688516.奥特维,'35.60,'+1.83%,'0.68,'10.39,16.23%,1.15%,'2.66,6.90%,26.23%,'112,'-13.77%,光伏设备
'18,SZ000404.长虹华意,'7.35,'-0.54%,'0.71,'10.70,17.29%,0.14%,'1.23,4.06%,11.99%,'51,'+3.59%,家电行业
'19,SZ300274.阳光电源,'76.90,'+1.98%,'0.72,'12.25,17.66%,4.20%,'3.83,1.43%,36.17%,'1563,'+5.92%,光伏设备
'20,SH600908.无锡银行,'6.15,'-0.49%,'0.73,'5.94,8.34%,1.56%,'0.57,3.58%,9.97%,'135,'+7.69%,银行
'21,SH601518.吉林高速,'2.73,'-0.73%,'0.73,'9.67,13.79%,0.03%,'0.94,3.15%,10.03%,'52,'+1.35%,铁路公路
'22,SZ002532.天山铝业,'9.20,'+0.33%,'0.73,'8.90,12.56%,2.42%,'1.53,4.36%,18.20%,'427,'+19.79%,有色金属
'23,SH600362.江西铜业,'23.52,'+2.57%,'0.74,'11.31,12.23%,3.31%,'1.02,2.98%,9.48%,'488,'+17.30%,有色金属
'24,SH600502.安徽建工,'4.83,'-0.41%,'0.74,'6.16,9.01%,1.29%,'0.50,5.59%,9.14%,'83,'+6.93%,工程建设
