排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'1,600132.重庆啤酒,'55.36,62.62%,53.44%,查看ROE详情,6.24%,'21.56,'16.17,4.34%,'267.93,'-10.71%,酿酒行业
'2,002668.TCL智家,'10.48,59.91%,50.37%,查看ROE详情,2.44%,'10.64,'4.17,'-,'113.61,'-20.12%,家电行业
'3,301004.嘉益股份,'69.18,42.23%,43.75%,查看ROE详情,0.67%,'13.19,'4.73,3.10%,'100.61,'-13.72%,家用轻工
'4,605117.德业股份,'52.33,41.14%,40.42%,查看ROE详情,3.57%,'15.81,'4.61,5.18%,'473.30,'-10.87%,光伏设备
'5,605499.东鹏饮料,'298.03,41.13%,50.26%,查看ROE详情,9.90%,'40.51,'17.74,1.48%,'1549.79,'+20.99%,食品饮料
'6,600809.山西汾酒,'182.10,40.19%,34.84%,查看ROE详情,4.02%,'17.57,'5.79,3.33%,'2221.55,'+2.34%,酿酒行业
'7,002847.盐津铺子,'70.72,36.60%,36.96%,查看ROE详情,3.32%,'32.87,'10.01,2.27%,'192.80,'+14.41%,食品饮料
'8,600519.贵州茅台,'1423.88,35.69%,35.74%,查看ROE详情,5.80%,'20.09,'6.92,3.62%,'17886.75,'-4.74%,酿酒行业
'9,300442.润泽科技,'48.19,34.58%,18.02%,查看ROE详情,1.18%,'44.87,'7.51,1.15%,'779.09,'-7.03%,互联网服务
'10,688516.奥特维,'35.60,33.81%,26.23%,查看ROE详情,1.15%,'10.98,'2.66,6.90%,'112.37,'-13.77%,光伏设备
'11,002032.苏泊尔,'51.23,33.46%,33.07%,查看ROE详情,4.34%,'19.73,'5.95,5.47%,'411.90,'+1.08%,家电行业
'12,300274.阳光电源,'76.90,32.99%,36.17%,查看ROE详情,4.20%,'12.73,'3.83,1.43%,'1563.41,'+5.92%,光伏设备
'13,300760.迈瑞医疗,'228.31,32.96%,29.79%,查看ROE详情,10.84%,'25.28,'7.16,3.37%,'2764.73,'-9.69%,医疗器械
'14,000933.神火股份,'18.31,32.83%,18.07%,查看ROE详情,1.74%,'10.47,'1.78,4.50%,'399.71,'+11.54%,有色金属
'15,688278.特宝生物,'86.74,32.45%,37.06%,查看ROE详情,0.42%,'40.60,'12.83,0.71%,'352.86,'+19.22%,生物制品
'16,600779.水井坊,'41.95,31.87%,27.24%,查看ROE详情,2.24%,'15.18,'3.81,2.19%,'204.51,'-21.62%,酿酒行业
'17,000568.泸州老窖,'127.58,31.67%,27.99%,查看ROE详情,2.22%,'13.91,'3.73,1.07%,'1869.53,'+3.10%,酿酒行业
'18,600096.云天化,'24.56,30.14%,23.52%,查看ROE详情,12.59%,'8.91,'1.89,5.74%,'447.73,'+16.89%,化肥行业
'19,000408.藏格矿业,'50.00,30.11%,21.37%,查看ROE详情,1.98%,'24.90,'4.87,0.54%,'766.27,'+80.31%,化肥行业
'20,000048.京基智农,'16.00,30.00%,18.54%,查看ROE详情,0.75%,'9.95,'1.91,2.21%,'84.16,'-9.06%,农牧饲渔
'21,603605.珀莱雅,'82.39,29.89%,31.86%,查看ROE详情,11.99%,'20.30,'5.63,1.44%,'326.47,'-1.32%,美容护理
'22,300628.亿联网络,'34.05,28.94%,29.02%,查看ROE详情,3.14%,'17.61,'4.53,5.57%,'430.85,'-8.46%,通信设备
'23,300394.天孚通信,'103.03,28.66%,35.83%,查看ROE详情,2.31%,'58.26,'18.50,0.69%,'802.29,'+58.76%,通信设备
'24,603195.公牛集团,'47.60,27.82%,26.74%,查看ROE详情,2.97%,'22.78,'5.10,3.60%,'860.89,'-1.95%,家用轻工
'25,002517.恺英网络,'19.76,27.59%,26.62%,查看ROE详情,5.16%,'24.29,'5.67,1.04%,'410.84,'+46.04%,游戏
'26,603198.迎驾贡酒,'41.16,27.51%,25.15%,查看ROE详情,1.12%,'13.28,'3.09,3.64%,'329.28,'-20.82%,酿酒行业
'27,688617.惠泰医疗,'281.00,27.47%,30.14%,查看ROE详情,3.20%,'57.68,'14.67,0.43%,'396.25,'+9.91%,医疗器械
'28,601225.陕西煤业,'21.43,26.98%,23.53%,查看ROE详情,2.48%,'10.20,'2.15,6.29%,'2077.64,'-2.07%,煤炭行业
'29,600803.新奥股份,'18.85,26.83%,17.77%,查看ROE详情,3.88%,'15.36,'2.36,5.46%,'583.80,'-8.29%,燃气
'30,300693.盛弘股份,'33.34,26.75%,25.29%,查看ROE详情,3.06%,'24.51,'5.51,1.50%,'104.25,'+25.64%,电源设备
'31,603355.莱克电气,'23.55,26.45%,24.19%,查看ROE详情,1.17%,'12.18,'2.61,6.37%,'135.05,'+3.97%,家电行业
'32,603529.爱玛科技,'35.63,26.37%,23.63%,查看ROE详情,2.08%,'16.01,'3.21,2.57%,'309.65,'-11.70%,交运设备
'33,300896.爱美客,'183.89,26.21%,24.78%,查看ROE详情,2.31%,'31.90,'6.75,2.07%,'556.59,'+3.00%,美容护理
'34,002690.美亚光电,'17.37,26.01%,22.88%,查看ROE详情,5.87%,'23.84,'5.17,4.07%,'151.66,'+22.09%,专用设备
'35,000651.格力电器,'46.90,25.55%,25.25%,查看ROE详情,6.82%,'8.36,'1.83,2.14%,'2616.98,'+5.43%,家电行业
