序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,6月内涨,市值.亿,今年来,行业
'1,002594.比亚迪,'104.35,'-0.49%,'118,7.07%,'23.09,'4.10,1.26%,23.82%,'-71.10%,'5697.88,'+12.07%,汽车整车
'2,605499.东鹏饮料,'298.03,'-2.23%,'95,9.90%,'40.51,'17.74,1.48%,50.26%,'+30.73%,'1549.79,'+20.99%,食品饮料
'3,300750.宁德时代,'265.00,'-0.26%,'75,13.78%,'23.24,'4.11,2.18%,23.77%,'+0.30%,'11699.82,'+2.10%,电池
'4,600519.贵州茅台,'1423.88,'-0.27%,'62,5.80%,'20.09,'6.92,3.62%,35.74%,'-1.51%,'17886.75,'-4.74%,酿酒行业
'5,601633.长城汽车,'22.61,'+1.57%,'61,1.37%,'21.08,'2.34,1.99%,14.52%,'-7.64%,'1410.90,'-12.35%,汽车整车
'6,000625.长安汽车,'12.91,'-0.08%,'59,1.33%,'39.30,'1.64,2.28%,9.93%,'-0.46%,'1068.80,'-1.13%,汽车整车
'7,600600.青岛啤酒,'67.90,0.00%,'57,3.29%,'22.92,'3.01,3.24%,14.90%,'+1.75%,'481.50,'-13.43%,酿酒行业
'8,688041.海光信息,'137.34,'-3.59%,'55,3.15%,'152.87,'15.12,0.12%,11.30%,'+0.99%,'3192.25,'-8.20%,半导体
'9,300896.爱美客,'183.89,'-0.03%,'52,2.31%,'31.90,'6.75,2.07%,24.78%,'+2.47%,'556.59,'+3.00%,美容护理
'10,000729.燕京啤酒,'12.87,'+0.23%,'50,3.39%,'33.17,'2.45,1.48%,7.78%,'+15.36%,'361.90,'+8.48%,酿酒行业
'11,300979.华利集团,'52.28,'-0.70%,'50,0.49%,'16.36,'3.39,4.37%,22.52%,'-19.84%,'614.43,'-30.61%,纺织服装
'12,600176.中国巨石,'12.38,'-0.08%,'49,10.10%,'20.96,'1.61,1.94%,9.45%,'+15.49%,'495.59,'+10.89%,玻璃玻纤
'13,002891.中宠股份,'57.44,'-2.18%,'49,7.01%,'39.92,'6.20,0.66%,17.67%,'+63.70%,'178.73,'+61.28%,农牧饲渔
'14,600690.海尔智家,'25.23,'+0.80%,'49,7.19%,'12.78,'2.01,3.82%,17.29%,'-0.94%,'1578.01,'-8.18%,家电行业
'15,603288.海天味业,'38.35,'-0.13%,'48,3.52%,'35.31,'6.78,2.24%,20.94%,'-4.91%,'2132.49,'-14.79%,食品饮料
'16,601899.紫金矿业,'20.16,'+1.46%,'48,7.72%,'15.16,'3.67,1.88%,27.38%,'+24.44%,'4150.69,'+35.27%,有色金属
'17,689009.九号公司-WD,'65.46,'+0.38%,'47,'-,'26.28,'6.95,1.72%,27.90%,'+23.39%,'470.95,'+40.40%,交运设备
'18,603919.金徽酒,'18.66,'+0.97%,'46,0.44%,'23.79,'2.66,2.68%,11.29%,'+4.77%,'94.65,'-2.33%,酿酒行业
'19,601127.赛力斯,'128.70,'+0.74%,'45,3.36%,'35.92,'9.09,0.99%,37.25%,'+5.47%,'2102.14,'-2.78%,汽车整车
'20,601088.中国神华,'37.56,'-1.57%,'45,1.04%,'13.48,'1.72,6.02%,12.74%,'+9.76%,'6194.03,'-8.58%,煤炭行业
'21,600160.巨化股份,'27.56,'+0.73%,'45,3.15%,'30.95,'4.00,0.83%,14.03%,'+16.09%,'744.05,'+15.26%,化学制品
'22,002032.苏泊尔,'51.23,'-0.33%,'45,4.34%,'19.73,'5.95,5.47%,33.07%,'+1.60%,'411.90,'+1.08%,家电行业
'23,603259.药明康德,'93.58,'+0.31%,'45,12.13%,'24.09,'4.49,1.43%,24.03%,'+48.56%,'2325.59,'+73.71%,医疗服务
'24,002648.卫星化学,'19.03,'+0.42%,'45,4.46%,'9.56,'2.01,2.64%,22.68%,'-9.55%,'638.36,'+4.33%,化学原料
'25,688169.石头科技,'178.46,'-0.36%,'44,3.91%,'30.41,'3.52,0.43%,14.80%,'-0.43%,'462.36,'+14.53%,家电行业
'26,000921.海信家电,'25.40,'-0.16%,'44,3.05%,'12.95,'2.20,3.99%,22.59%,'-9.37%,'235.39,'-12.11%,家电行业
'27,600011.华能国际,'7.58,'+0.40%,'44,2.09%,'9.80,'0.84,3.56%,8.61%,'+18.44%,'833.63,'+16.18%,电力行业
'28,601128.常熟银行,'7.68,'+0.26%,'43,3.17%,'6.49,'0.86,2.96%,14.12%,'+21.14%,'254.71,'+15.20%,银行
'29,600036.招商银行,'45.12,'-0.29%,'42,6.62%,'7.73,'0.91,4.43%,12.48%,'+12.49%,'9307.78,'+19.78%,银行
'30,600989.宝丰能源,'15.74,'+0.77%,'42,2.76%,'14.62,'2.54,1.78%,17.21%,'+1.61%,'1154.27,'-4.05%,化学原料
'31,600298.安琪酵母,'35.20,'+0.83%,'41,4.25%,'25.21,'2.73,1.56%,12.87%,'-1.95%,'305.58,'-0.86%,食品饮料
'32,002541.鸿路钢构,'18.10,'+1.12%,'40,0.70%,'24.28,'1.27,2.01%,7.37%,'-0.61%,'123.51,'+3.17%,水泥建材
'33,000786.北新建材,'26.40,'+1.23%,'40,10.49%,'12.29,'1.66,3.32%,14.46%,'-6.99%,'440.62,'-10.17%,装修建材
'34,600309.万华化学,'61.08,'+0.15%,'40,4.33%,'15.58,'1.94,2.05%,12.54%,'-9.71%,'1912.09,'-13.25%,化学制品
'35,000333.美的集团,'71.70,'+0.45%,'40,14.64%,'13.96,'2.38,4.91%,20.86%,'+5.05%,'5013.70,'-0.07%,家电行业
'36,600132.重庆啤酒,'55.36,'+0.02%,'39,6.24%,'21.56,'16.17,4.34%,53.44%,'-2.26%,'267.93,'-10.71%,酿酒行业
'37,003000.劲仔食品,'12.74,'+0.08%,'39,0.53%,'22.44,'3.85,3.14%,20.00%,'+10.41%,'57.40,'-4.90%,食品饮料
'38,601689.拓普集团,'48.02,'+2.04%,'38,5.07%,'31.86,'3.68,1.08%,14.38%,'-32.76%,'834.51,'-0.93%,汽车零部件
'39,002372.伟星新材,'10.79,'+0.37%,'38,3.23%,'19.24,'3.29,5.58%,16.73%,'-2.98%,'171.14,'-10.86%,装修建材
'40,600031.三一重工,'20.02,'+1.93%,'38,11.80%,'26.55,'2.27,1.80%,9.51%,'+15.72%,'1696.57,'+23.92%,工程机械
'41,603993.洛阳钼业,'9.51,'+1.39%,'38,3.69%,'13.60,'2.72,2.70%,22.55%,'+41.73%,'1660.53,'+47.60%,小金属
'42,688111.金山办公,'309.66,'-0.08%,'38,3.71%,'89.98,'12.17,0.29%,15.19%,'-14.73%,'1434.28,'+8.49%,软件开发
