序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,3周内涨,市值.亿,今年来,行业
'1,605499.东鹏饮料,'298.03,'-2.23%,'28,9.90%,'40.51,'17.74,1.48%,50.26%,'-0.33%,'1549.79,'+20.99%,食品饮料
'2,300750.宁德时代,'265.00,'-0.26%,'19,13.78%,'23.24,'4.11,2.18%,23.77%,'+0.08%,'11699.82,'+2.10%,电池
'3,600011.华能国际,'7.58,'+0.40%,'17,2.09%,'9.80,'0.84,3.56%,8.61%,'+9.22%,'833.63,'+16.18%,电力行业
'4,603259.药明康德,'93.58,'+0.31%,'14,12.13%,'24.09,'4.49,1.43%,24.03%,'+15.50%,'2325.59,'+73.71%,医疗服务
'5,689009.九号公司-WD,'65.46,'+0.38%,'14,'-,'26.28,'6.95,1.72%,27.90%,'+12.05%,'470.95,'+40.40%,交运设备
'6,000921.海信家电,'25.40,'-0.16%,'14,3.05%,'12.95,'2.20,3.99%,22.59%,'-4.04%,'235.39,'-12.11%,家电行业
'7,002311.海大集团,'58.37,'+0.78%,'12,3.78%,'18.67,'3.95,1.90%,22.53%,'+2.35%,'963.64,'+21.26%,农牧饲渔
'8,300416.苏试试验,'16.57,'+1.35%,'11,1.72%,'36.59,'3.17,0.92%,9.42%,'+14.58%,'83.15,'+42.42%,专业服务
'9,601633.长城汽车,'22.61,'+1.57%,'11,1.37%,'21.08,'2.34,1.99%,14.52%,'+3.38%,'1410.90,'-12.35%,汽车整车
'10,002594.比亚迪,'104.35,'-0.49%,'10,7.07%,'23.09,'4.10,1.26%,23.82%,'-68.03%,'5697.88,'+12.07%,汽车整车
'11,601168.西部矿业,'17.47,'+0.58%,'10,4.92%,'13.41,'2.51,5.72%,19.66%,'+7.97%,'416.31,'+15.73%,有色金属
'12,002891.中宠股份,'57.44,'-2.18%,'10,7.01%,'39.92,'6.20,0.66%,17.67%,'+7.70%,'178.73,'+61.28%,农牧饲渔
'13,002271.东方雨虹,'12.55,'+0.56%,'10,15.58%,亏损,'1.31,12.32%,'-1.00%,'+10.74%,'298.11,'+3.72%,装修建材
'14,002138.顺络电子,'28.90,'-1.30%,'10,6.23%,'26.36,'3.81,2.05%,15.68%,'-0.07%,'236.09,'-6.33%,电子元件
'15,601088.中国神华,'37.56,'-1.57%,'8,1.04%,'13.48,'1.72,6.02%,12.74%,'+1.16%,'6194.03,'-8.58%,煤炭行业
'16,600885.宏发股份,'24.57,'+0.20%,'7,20.32%,'21.67,'3.61,1.50%,18.76%,'+5.36%,'358.66,'+9.88%,电网设备
'17,002032.苏泊尔,'51.23,'-0.33%,'7,4.34%,'19.73,'5.95,5.47%,33.07%,'-3.35%,'411.90,'+1.08%,家电行业
'18,002415.海康威视,'29.28,'-0.17%,'7,0.44%,'22.45,'3.45,2.39%,16.51%,'+4.97%,'2708.10,'-2.26%,计算机设备
'19,688475.萤石网络,'35.22,'+0.46%,'7,0.30%,'54.96,'5.02,0.99%,9.72%,'+5.48%,'277.36,'+17.95%,家电行业
