序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
1	301097	天益医疗	46.23	-0.37%	23758	4,209	6.1	-	-	2.29	1.08%	27.35	27.99%	医疗器械
2	301068	大地海洋	32.03	1.49%	22011	3,152	7.31	-	60.66	5.06	0.73%	44.6	37.37%	环保行业
3	1226	拓山重工	36.3	0.17%	19719	5,071	3.31	-	235.24	3.61	1.10%	27.06	34.70%	工程机械
4	603272	联翔股份	19.11	0.47%	18566	5,386	3.31	-	148.02	3.5	0.52%	19.8	39.67%	装修装饰
5	300836	佰奥智能	41.81	0.36%	18375	4,678	3.31	-	209.67	7.13	0.50%	38.61	44.53%	专用设备
6	301070	开勒股份	44.36	0.20%	15612	5,297	3.31	-	-	5.22	0.65%	39.94	11.68%	专用设备
7	300920	润阳科技	56.02	5.88%	15118	5,886	3.31	-	300	4.5	0.19%	52.91	231.79%	塑料制品
8	301286	侨源股份	26.91	0.07%	14275	7,005	7.31	0.17%	64.24	5.94	0.30%	107.59	-23.85%	化学原料
9	301233	盛帮股份	59.01	3.62%	13995	7,145	7.31	-	34.66	3.09	0.91%	29.31	31.12%	橡胶制品
10	301234	五洲医疗	40.8	-3.09%	13783	7,255	7.31	-	89.93	3.73	0.71%	28.63	63.96%	医疗器械
11	301162	国能日新	53.6	3.10%	13451	6,776	3.31	0.15%	76.5	5.86	0.68%	68.93	42.50%	软件开发
12	301037	保立佳	14.5	-0.75%	13304	4,897	3.31	-	-	3.27	-	20.38	40.64%	化学制品
13	301107	瑜欣电子	31.16	2.91%	12943	7,726	3.31	-	46.4	3.25	1.65%	31.01	73.15%	通用设备
14	300930	屹通新材	36.58	5.39%	12613	7,928	3.31	-	64.19	3.88	0.29%	34.71	22.89%	有色金属
15	300969	恒帅股份	86.19	-1.91%	12578	7,950	7.31	0.13%	55.1	7.43	0.33%	98.41	48.49%	汽车零部件
16	603102	XD百合股	42.92	-0.14%	12322	8,115	3.31	-	20.88	1.68	1.75%	27.47	24.37%	食品饮料
17	300992	泰福泵业	26.98	0.90%	12314	5,760	3.31	-	140.96	2.81	0.28%	25.45	0.97%	通用设备
18	300984	金沃股份	63.89	5.45%	12196	6,233	3.31	0.31%	230.13	7.35	0.18%	74.69	122.39%	通用设备
19	301160	翔楼新材	68.26	2.85%	11971	8,146	3.31	0.29%	37.21	4.48	1.04%	76.89	77.66%	汽车零部件
20	301163	宏德股份	28.2	1.33%	11851	8,438	3.31	-	202.07	2.04	0.45%	22.71	34.14%	风电设备
21	301212	联盛化学	28.84	2.27%	11788	8,483	3.31	-	163.33	2.25	0.43%	30.46	40.12%	化学制品
22	300929	华骐环保	11.8	1.11%	11486	7,426	3.31	-	-	1.91	0.17%	15.42	42.68%	环保行业
23	301130	西点药业	33.79	-0.47%	11356	7,165	3.31	-	85.84	2.84	0.77%	25.97	29.91%	化学制药
24	300756	金马游乐	28.69	3.99%	11315	8,459	3.31	-	-	3.15	0.18%	43.48	93.07%	旅游酒店
25	1323	慕思股份	32.49	0.28%	11241	8,896	3.31	0.21%	18.09	2.76	5.46%	128.22	-11.28%	家用轻工
26	301129	瑞纳智能	28.38	5.19%	11140	8,976	3.31	-	108.1	2.13	0.63%	36.72	3.27%	仪器仪表
27	301181	标榜股份	27.72	2.33%	11125	8,988	7.31	-	33.84	2.15	2.41%	31.3	34.64%	汽车零部件
28	301125	腾亚精工	19.93	-3.49%	11066	8,661	7.31	-	188.61	4.83	0.15%	29.27	79.98%	通用设备
29	300876	蒙泰高新	29.32	-0.07%	11054	5,546	3.31	-	-	3.57	-	28.17	7.01%	化纤行业
