序,股票,价,涨,低估率,当前市值.亿,折现市值.亿,当前现金流.亿,资产负债率,PE,PB,股息,ROE,今年来,行业
'1,000521.长虹美菱,'7.29,'-0.41%,1579.41%,'75,'1266,'65,74.21%,'10.39,'1.20,4.51%,11.84%,'-6.67%,家电行业
'2,600742.富维股份,'10.39,'-0.38%,1513.57%,'77,'1250,'83,56.45%,'15.09,'0.90,3.36%,6.09%,'+21.87%,汽车零部件
'3,600861.北京人力,'21.30,'-1.62%,1384.64%,'122,'1819,'73,53.65%,'10.46,'1.72,3.23%,17.55%,'+14.15%,专业服务
'4,000928.中钢国际,'6.61,'-0.15%,1195.87%,'94,'1230,'64,66.91%,'11.15,'1.11,4.52%,10.20%,'+8.66%,工程咨询服务
'5,600339.中油工程,'3.58,'+0.85%,1105.46%,'198,'2389,'135,75.62%,'33.74,'0.74,1.15%,2.22%,'-0.84%,采掘行业
'6,002106.莱宝高科,'10.83,'-0.09%,958.02%,'76,'809,'34,34.96%,'23.04,'1.39,0.92%,6.14%,'+0.26%,光学光电子
'7,600827.百联股份,'9.91,'-0.30%,932.40%,'177,'1830,'123,59.59%,'11.31,'0.89,2.67%,8.29%,'-6.92%,商业百货
'8,000404.长虹华意,'7.52,'-0.66%,909.34%,'52,'531,'32,64.68%,'10.96,'1.26,3.96%,11.99%,'+5.98%,家电行业
'9,000913.钱江摩托,'17.41,'+1.22%,899.32%,'90,'905,'47,53.12%,'14.52,'1.86,4.54%,13.18%,'-0.76%,交运设备
'10,000550.江铃汽车,'21.00,'+0.24%,808.57%,'180,'1643,'83,59.98%,'13.29,'1.56,3.26%,12.13%,'-10.45%,汽车整车
'11,002116.中国海诚,'10.68,'-0.19%,732.62%,'49,'415,'30,58.82%,'15.31,'1.92,2.89%,13.14%,'+10.29%,工程咨询服务
'12,000910.大亚圣象,'7.75,'-0.64%,695.06%,'42,'339,'24,24.60%,'40.56,'0.64,2.44%,1.58%,'+1.00%,装修建材
'13,600987.航民股份,'7.46,'-0.13%,693.00%,'76,'604,'33,34.22%,'10.48,'1.17,4.02%,11.36%,'+12.11%,纺织服装
'14,600278.东方创业,'7.88,'+0.13%,691.64%,'69,'546,'33,58.91%,'32.63,'0.92,3.31%,2.86%,'+13.85%,贸易行业
'15,600482.中国动力,'23.74,'+0.55%,684.79%,'531,'4174,'239,53.90%,'31.32,'1.34,0.92%,4.44%,'-2.13%,船舶制造
'16,603929.亚翔集成,'38.22,'+1.84%,666.67%,'80,'613,'31,61.08%,'14.31,'4.41,2.66%,34.24%,'+42.81%,装修装饰
'17,601001.晋控煤业,'14.50,'+2.84%,660.68%,'235,'1795,'116,24.12%,'9.29,'1.23,5.35%,13.74%,'+11.94%,煤炭行业
'18,600916.中国黄金,'8.18,'-0.24%,648.29%,'137,'1030,'59,42.68%,'23.36,'1.82,4.27%,7.69%,'-1.09%,珠宝首饰
'19,000625.长安汽车,'13.05,'+0.77%,644.39%,'1283,'9556,'581,59.69%,'17.08,'1.64,2.28%,9.93%,'-0.05%,汽车整车
'20,000951.中国重汽,'17.96,'+0.22%,635.49%,'210,'1548,'78,62.18%,'13.89,'1.35,3.88%,9.90%,'+8.23%,汽车整车
'21,600420.国药现代,'11.35,'-0.26%,632.16%,'152,'1117,'49,18.54%,'13.70,'1.13,2.64%,8.47%,'-3.20%,化学制药
'22,600081.东风科技,'13.86,'+1.17%,616.96%,'75,'543,'24,42.61%,'67.37,'1.64,0.53%,2.45%,'+35.22%,汽车零部件
