序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'1,600742.富维股份,'10.39,'-0.38%,3.87%,107.19%,56.45%,'83.07,'77.50,'15.10,3.36%,'5.13,'+21.87%,汽车零部件
'2,000521.长虹美菱,'7.29,'-0.41%,1.73%,86.09%,74.21%,'64.90,'75.39,'11.12,4.51%,'6.78,'-6.67%,家电行业
'3,600827.百联股份,'9.91,'-0.30%,1.30%,69.21%,59.59%,'122.74,'177.35,'233.38,2.67%,'0.76,'-6.92%,商业百货
'4,600339.中油工程,'3.58,'+0.85%,1.16%,68.36%,75.62%,'135.49,'198.20,'71.29,1.15%,'2.78,'-0.84%,采掘行业
'5,000928.中钢国际,'6.61,'-0.15%,1.47%,67.66%,66.91%,'64.26,'94.97,'12.39,4.52%,'7.66,'+8.66%,工程咨询服务
'6,600662.外服控股,'5.95,'-1.49%,0.61%,63.32%,64.07%,'87.33,'137.92,'29.81,2.15%,'4.63,'+17.36%,专业服务
'7,600710.苏美达,'10.91,'-0.27%,4.33%,63.29%,74.24%,'90.48,'142.96,'13.17,3.37%,'10.85,'+21.95%,贸易行业
'8,002116.中国海诚,'10.68,'-0.19%,0.30%,61.00%,58.82%,'30.42,'49.87,'16.58,2.89%,'3.01,'+10.29%,工程咨询服务
'9,600861.北京人力,'21.30,'-1.62%,1.53%,59.83%,53.65%,'73.33,'122.56,'24.89,3.23%,'4.92,'+14.15%,专业服务
'10,600037.歌华有线,'9.01,'+1.69%,0.74%,58.38%,19.93%,'71.99,'123.31,'-,0.30%,'-1.19,'+21.21%,文化传媒
'11,601919.中远海控,'15.66,'-0.06%,3.50%,58.02%,41.97%,'1408.20,'2427.24,'4.50,9.93%,'539.35,'+7.90%,航运港口
'12,000910.大亚圣象,'7.75,'-0.64%,'-,56.39%,24.60%,'24.08,'42.70,'57.16,2.44%,'0.75,'+1.00%,装修建材
'13,000800.一汽解放,'7.09,'-0.28%,0.77%,56.00%,66.31%,'195.93,'349.90,'-,0.70%,'-8.92,'-12.91%,汽车整车
'14,000404.长虹华意,'7.52,'-0.66%,0.14%,55.02%,63.30%,'28.99,'52.69,'12.52,3.96%,'4.21,'+5.98%,家电行业
'15,688317.之江生物,'23.95,'-1.52%,'-,54.40%,6.41%,'25.42,'46.73,'-,0.45%,'-1.71,'+47.38%,医疗器械
'16,000913.钱江摩托,'17.41,'+1.22%,2.13%,52.26%,53.12%,'47.34,'90.58,'17.91,4.54%,'5.06,'-0.76%,交运设备
'17,600512.腾达建设,'2.38,'-0.83%,'-,51.92%,40.07%,'19.86,'38.25,'-,0.83%,'-0.41,'+1.32%,工程建设
'18,600814.杭州解百,'7.88,'+1.16%,2.60%,51.71%,42.71%,'29.61,'57.26,'28.44,1.76%,'2.01,'-3.24%,商业百货
