,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,601699.潞安环能,'14.29,'+0.28%,2.87%,7.90%,'24.21,'0.91,3.75%,'427.47,'+3.41%,煤炭行业
'2,000517.荣安地产,'1.86,'-0.54%,17.11%,7.54%,亏损,'1.02,'-1.00%,'59.54,'-16.59%,房地产开发
'3,000983.山西焦煤,'7.41,'+1.51%,3.01%,7.34%,'14.57,'1.11,7.46%,'414.43,'-7.06%,煤炭行业
'4,600295.鄂尔多斯,'10.32,'+0.39%,5.81%,7.33%,'16.88,'1.35,9.09%,'203.88,'+12.83%,钢铁行业
'5,601088.中国神华,'37.56,'-1.57%,6.02%,7.29%,'13.48,'1.72,12.74%,'6194.03,'-8.58%,煤炭行业
'6,600729.重庆百货,'28.86,'-0.21%,4.72%,7.17%,'10.36,'1.60,17.90%,'127.12,'+3.50%,商业百货
'7,002327.富安娜,'7.28,'+0.14%,8.53%,7.12%,'13.60,'1.54,11.99%,'60.94,'-11.38%,纺织服装
'8,600382.广东明珠,'5.52,'+0.91%,1.81%,7.03%,'85.43,'1.39,0.86%,'38.33,'+27.56%,钢铁行业
'9,601666.平煤股份,'8.44,'+2.30%,7.13%,7.01%,'11.83,'0.78,6.36%,'208.41,'-9.70%,煤炭行业
'10,601339.百隆东方,'5.47,'-0.73%,4.75%,6.76%,'21.92,'0.84,5.17%,'82.03,'+5.94%,纺织服装
'11,002582.好想你,'9.51,'+0.10%,14.75%,6.75%,亏损,'1.19,'-1.00%,'42.94,'+25.24%,食品饮料
'12,603156.养元饮品,'21.51,'+0.61%,6.32%,6.45%,'20.69,'2.55,13.19%,'271.09,'-0.39%,食品饮料
'13,600971.恒源煤电,'7.05,'+1.44%,6.67%,6.43%,'11.82,'0.68,5.24%,'84.60,'-20.24%,煤炭行业
'14,603886.元祖股份,'12.75,0.00%,7.84%,6.23%,'15.64,'1.88,14.16%,'30.60,'-4.96%,食品饮料
'15,600985.淮北矿业,'12.89,'+2.06%,5.82%,6.07%,'9.25,'0.81,9.31%,'347.16,'-2.65%,煤炭行业
'16,601000.唐山港,'4.06,'+0.25%,4.93%,5.90%,'13.69,'1.14,8.73%,'240.59,'-9.55%,航运港口
