序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600580.卧龙电驱,'27,'24.94,'+6.67%,0.69%,'57.97,'3.77,0.50%,8.40%,'389.59,'+75.10%,电机
'4,SZ000811.冰轮环境,'26,'12.56,'+1.05%,0.87%,'24.30,'2.09,1.55%,10.45%,'123.38,'+35.91%,通用设备
'2,SH605499.东鹏饮料,'22,'298.03,'-2.23%,9.90%,'40.51,'17.74,1.48%,50.26%,'1549.79,'+20.99%,食品饮料
'3,SH600967.内蒙一机,'22,'23.66,'+10.00%,0.12%,0.00,'3.42,0.62%,4.43%,'402.64,'+179.44%,交运设备
'21,SZ002262.恩华药业,'19,'23.31,'-1.56%,0.75%,'19.90,'3.14,1.52%,16.86%,'240.63,'-2.69%,化学制药
'23,SZ002097.山河智能,'19,'17.50,'+1.92%,0.63%,'-1.00,'3.91,0.12%,1.82%,'184.51,'+133.92%,工程机械
'31,SZ000901.航天科技,'19,'16.09,'+9.98%,2.30%,'-1.00,'2.77,0.00%,0.03%,'116.78,'+46.67%,汽车零部件
'34,SZ000801.四川九洲,'19,'17.49,'+0.69%,0.44%,'166.80,'5.78,0.58%,5.92%,'177.66,'+23.01%,家电行业
'37,SZ000408.藏格矿业,'19,'50.00,'+2.46%,1.98%,'24.90,'4.87,0.54%,21.37%,'766.27,'+80.31%,化肥行业
'40,SH688529.豪森智能,'19,'24.58,'+20.02%,'-,'-1.00,'2.07,0.45%,'-1.00%,'41.34,'+56.66%,专用设备
'62,SH603926.铁流股份,'19,'13.12,'+9.97%,'-,'34.27,'1.79,1.98%,6.04%,'30.79,'+51.39%,汽车零部件
'65,SH603596.伯特利,'19,'50.99,'+6.05%,6.34%,'26.05,'4.53,0.69%,19.93%,'309.26,'+15.14%,汽车零部件
'66,SH603583.捷昌驱动,'19,'39.73,'+3.19%,2.17%,'51.13,'3.41,0.76%,7.53%,'151.87,'+62.06%,专用设备
'71,SH603259.药明康德,'19,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'84,SH600529.山东药玻,'19,'22.83,'-0.35%,1.04%,'16.70,'1.84,2.72%,11.83%,'151.50,'-10.13%,医疗器械
'93,SH600170.上海建工,'19,'2.41,'-0.82%,2.08%,'67.10,'0.47,2.49%,3.74%,'214.15,'-6.85%,工程建设
'99,SH600038.中直股份,'19,'40.56,'+0.72%,1.82%,'60.00,'1.94,0.50%,4.16%,'332.55,'+5.77%,航天航空
'51,SH600808.马钢股份,'18,'4.08,'+9.97%,0.65%,'-1.00,'1.36,0.00%,'-1.00%,'244.36,'+32.04%,钢铁行业
'52,SH600737.中粮糖业,'18,'10.04,'+0.30%,0.71%,'14.75,'1.84,1.99%,12.44%,'214.74,'-1.67%,食品饮料
'54,SH600654.中安科,'18,'3.36,'+10.16%,0.51%,'-1.00,'5.78,0.00%,0.54%,'96.65,'+4.02%,软件开发
'55,SH600644.乐山电力,'18,'13.65,'-0.51%,'-,'300.00,'3.87,0.00%,1.38%,'78.94,'+123.04%,电力行业
'70,SH603283.赛腾股份,'18,'39.39,'-2.23%,0.40%,'22.24,'3.42,1.02%,19.38%,'109.74,'-19.64%,专用设备
'75,SH603129.春风动力,'18,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'82,SH600976.健民集团,'18,'41.69,'-1.00%,3.86%,'20.24,'2.51,2.16%,15.24%,'63.95,'+2.17%,中药
'85,SH600518.康美药业,'18,'2.08,'-0.48%,0.37%,'-1.00,'4.00,0.00%,0.13%,'287.64,'-11.11%,中药
'6,SZ002885.京泉华,'17,'16.10,'+9.97%,'-,'97.57,'2.80,0.15%,3.35%,'39.81,'+13.16%,消费电子
'19,SZ002313.日海智能,'17,'12.36,'+9.96%,'-,'-1.00,'100.00,0.00%,'-1.00%,'42.08,'+57.65%,通信设备
'25,SZ002065.东华软件,'17,'9.63,'+2.77%,0.54%,'112.97,'2.49,0.53%,4.10%,'300.35,'+33.36%,软件开发
'33,SZ000890.法尔胜,'17,'4.48,'+10.07%,'-,'-1.00,'100.00,0.00%,'-1.00%,'17.07,'+41.32%,通用设备
'39,SH688568.中科星图,'17,'40.40,'-1.20%,0.56%,'143.23,'8.63,0.22%,10.14%,'327.06,'+18.24%,互联网服务
'60,SH605169.洪通燃气,'17,'13.96,'+10.01%,'-,'21.11,'2.03,1.79%,10.32%,'39.49,'+40.43%,燃气
'77,SH601989.中国重工,'17,'5.15,'+10.04%,1.46%,'117.23,'1.39,0.35%,2.02%,'1174.30,'+7.50%,船舶制造
'83,SH600566.济川药业,'17,'26.78,'-0.59%,1.43%,'12.78,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
'95,SH600150.中国船舶,'17,'38.51,'+10.00%,3.58%,'44.73,'3.31,0.65%,8.63%,'1722.33,'+7.97%,船舶制造
'10,SZ002690.美亚光电,'16,'17.37,'+1.05%,5.87%,'23.84,'5.17,4.07%,22.88%,'151.66,'+22.09%,专用设备
'17,SZ002346.柘中股份,'16,'16.37,'+10.01%,0.90%,'32.89,'2.29,3.36%,12.91%,'65.71,'+71.68%,电网设备
'18,SZ002331.皖通科技,'16,'8.91,'+10.00%,'-,'271.23,'2.02,0.37%,1.77%,'34.46,'+21.19%,互联网服务
'28,SZ001380.华纬科技,'16,'22.84,'+10.02%,0.11%,'23.65,'3.21,0.98%,15.10%,'56.23,'+55.77%,通用设备
'43,SH688220.翱捷科技-U,'16,'90.20,'+0.22%,1.06%,'-1.00,'6.73,0.00%,'-1.00%,'377.31,'+66.76%,半导体
'68,SH603409.汇通控股,'16,'38.73,'+4.51%,'-,'29.52,'3.33,1.29%,11.45%,'48.81,'+62.51%,汽车零部件
'69,SH603310.巍华新材,'16,'20.57,'+10.00%,'-,'40.65,'1.78,3.40%,6.01%,'71.04,'+13.24%,化学原料
'86,SH600475.华光环能,'16,'17.51,'+9.99%,1.22%,'51.66,'1.87,2.57%,7.40%,'167.39,'+98.92%,电源设备
'91,SH600302.标准股份,'16,'7.60,'+9.99%,'-,'-1.00,'4.08,0.00%,'-1.00%,'26.30,'+58.00%,专用设备
'13,SZ002594.比亚迪,'15,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'20,SZ002304.洋河股份,'15,'68.80,'+0.06%,1.36%,'23.53,'2.00,6.76%,7.76%,'1035.83,'-12.15%,酿酒行业
'26,SZ002029.七匹狼,'15,'7.49,'+9.98%,'-,'93.41,'0.72,1.47%,4.95%,'48.01,'+16.17%,纺织服装
'29,SZ000975.山金国际,'15,'18.79,'+1.40%,2.42%,'21.29,'3.76,1.97%,18.36%,'514.53,'+24.56%,贵金属
'36,SZ000596.古井贡酒,'15,'139.47,'-0.39%,1.26%,'12.94,'2.80,4.29%,23.11%,'572.08,'-16.02%,酿酒行业
'41,SH688278.特宝生物,'15,'86.74,'-1.88%,0.42%,'40.60,'12.83,0.71%,37.06%,'352.86,'+19.22%,生物制品
'67,SH603508.思维列控,'15,'32.78,'+10.00%,0.48%,'19.01,'2.74,4.39%,14.69%,'124.98,'+44.00%,软件开发
'92,SH600285.羚锐制药,'15,'23.10,'-0.52%,1.73%,'19.71,'3.96,3.90%,23.98%,'131.00,'+8.34%,中药
'11,SZ002652.扬子新材,'14,'3.98,'-0.99%,'-,'-1.00,'7.87,0.00%,2.61%,'20.58,'+41.13%,装修建材
'24,SZ002074.国轩高科,'14,'29.25,'+0.34%,2.94%,'197.46,'2.03,0.34%,4.91%,'526.29,'+38.28%,电池
'56,SH600585.海螺水泥,'14,'23.37,'-0.04%,4.83%,'16.17,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'74,SH603130.云中马,'14,'38.84,'+10.00%,'-,'76.02,'3.99,0.59%,6.47%,'53.41,'+76.03%,纺织服装
'90,SH600399.抚顺特钢,'14,'5.69,'+1.25%,1.72%,'-1.00,'1.80,0.32%,'-1.00%,'112.21,'-1.55%,钢铁行业
'97,SH600079.人福医药,'14,'21.86,'-0.32%,2.67%,'29.60,'1.97,0.69%,7.77%,'356.80,'-6.50%,化学制药
'8,SZ002806.华锋股份,'13,'12.52,'+0.81%,'-,'-1.00,'2.64,0.00%,8.52%,'26.39,'+10.99%,汽车零部件
'9,SZ002714.牧原股份,'13,'46.77,'+1.10%,2.72%,'9.85,'3.31,3.05%,36.00%,'2527.08,'+23.33%,农牧饲渔
'12,SZ002611.东方精工,'13,'15.64,'+9.99%,1.20%,'29.29,'3.27,0.91%,14.89%,'173.10,'+62.10%,专用设备
'38,SH688711.宏微科技,'13,'31.22,'+19.98%,'-,'-1.00,'6.21,0.21%,'-1.00%,'66.46,'+80.67%,半导体
'42,SH688271.联影医疗,'13,'129.15,'+0.47%,2.67%,'97.77,'5.25,0.15%,6.42%,'1064.40,'+2.23%,医疗器械
'50,SH600809.山西汾酒,'13,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'64,SH603707.健友股份,'13,'11.43,'-2.14%,0.93%,'26.92,'2.81,0.87%,11.68%,'184.67,'-13.10%,化学制药
'72,SH603236.移远通信,'13,'84.68,'+0.20%,6.36%,'32.51,'5.22,0.81%,18.95%,'221.57,'+24.46%,通信设备
'76,SH603001.奥康国际,'13,'9.87,'+10.03%,'-,'-1.00,'1.52,1.52%,'-1.00%,'39.58,'+42.92%,纺织服装
'87,SH600435.北方导航,'13,'18.10,'+6.28%,0.14%,'300.00,'9.85,0.11%,3.38%,'273.38,'+85.77%,通信设备
'96,SH600132.重庆啤酒,'13,'55.36,'+0.02%,6.24%,'21.56,'16.17,4.34%,53.44%,'267.93,'-10.71%,酿酒行业
'100,SH600031.三一重工,'13,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'7,SZ002850.科达利,'12,'116.68,'+2.03%,2.43%,'20.83,'2.54,1.75%,13.42%,'312.78,'+21.58%,电池
'14,SZ002543.万和电气,'12,'12.97,'+10.01%,4.15%,'12.83,'1.78,3.73%,13.93%,'87.67,'+29.21%,家电行业
'27,SZ002001.新和成,'12,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'45,SH688041.海光信息,'12,'137.34,'-3.59%,3.15%,'152.87,'15.12,0.12%,11.30%,'3192.25,'-8.20%,半导体
'48,SH600885.宏发股份,'12,'24.57,'+0.20%,20.32%,'21.67,'3.61,1.50%,18.76%,'358.66,'+9.88%,电网设备
'63,SH603800.洪田股份,'12,'37.57,'+10.01%,0.98%,'272.43,'9.85,0.27%,7.88%,'78.15,'+49.30%,专用设备
'73,SH603195.公牛集团,'12,'47.60,'-0.38%,2.97%,'22.78,'5.10,3.60%,26.74%,'860.89,'-1.95%,家用轻工
'78,SH601919.中远海控,'12,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'79,SH601658.邮储银行,'12,'5.90,'+0.85%,0.94%,'8.33,'0.71,3.51%,8.57%,'5914.09,'+9.02%,银行
'88,SH600422.昆药集团,'12,'14.61,'-0.95%,1.26%,'29.23,'2.07,2.05%,11.52%,'110.59,'-5.92%,中药
'98,SH600064.南京高科,'12,'7.60,'+0.40%,0.84%,'7.29,'0.68,3.95%,10.11%,'131.51,'+1.56%,房地产开发
'15,SZ002434.万里扬,'11,'8.69,'+10.00%,1.44%,'46.16,'1.77,1.27%,4.35%,'103.70,'+42.21%,汽车零部件
'16,SZ002408.齐翔腾达,'11,'5.07,'-0.59%,0.63%,'-1.00,'1.23,1.76%,0.04%,'144.99,'+1.45%,化学制品
'30,SZ000963.华东医药,'11,'44.00,'-3.00%,2.27%,'23.33,'3.31,2.05%,15.49%,'795.65,'+28.84%,化学制药
