排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'1,SH600143.金发科技,'13.74,'+7.18%,'0.01,'37.44,4552.35%,1.17%,'1.98,0.73%,5.55%,'362,'+60.58%,塑料制品
'2,SH600216.浙江医药,'15.77,'-0.57%,'0.01,'10.39,803.29%,7.41%,'1.37,2.35%,14.03%,'152,'+1.85%,化学制药
'3,SH600335.国机汽车,'6.48,'+0.15%,'0.01,'24.02,4100.97%,0.80%,'0.84,1.62%,3.58%,'97,'+5.32%,汽车服务
'4,SH600739.辽宁成大,'11.87,'-0.25%,'0.01,'38.71,6940.69%,0.78%,'0.61,0.17%,1.60%,'182,'+14.87%,贸易行业
'5,SH600783.鲁信创投,'12.62,'-0.16%,'0.01,'34.11,3744.05%,0.69%,'2.11,0.55%,6.19%,'94,'+0.15%,非金属材料
'6,SZ002340.格林美,'6.53,'+0.31%,'0.01,'31.01,2585.01%,2.44%,'1.64,1.01%,5.45%,'334,'+1.03%,能源金属
'7,SZ002457.青龙管业,'12.09,'-0.98%,'0.01,'15.45,10446.68%,'-,'1.65,1.72%,11.18%,'41,'+5.30%,装修建材
'8,SZ002886.沃特股份,'20.57,'+2.90%,'0.01,'141.19,18060.82%,'-,'2.95,0.21%,2.12%,'53,'+24.02%,塑料制品
'9,SZ002263.大东南,'3.51,'+0.29%,'0.02,'206.09,13271.17%,0.14%,'2.38,0.00%,1.16%,'66,'+41.53%,塑料制品
'10,SZ002606.大连电瓷,'9.52,'+0.74%,'0.02,'18.82,933.49%,'-,'2.39,0.78%,13.43%,'41,'+3.50%,电网设备
'11,SZ300641.正丹股份,'23.38,'-0.21%,'0.02,'8.14,474.29%,0.39%,'3.81,2.99%,57.04%,'125,'-4.68%,化学制品
'12,SH601155.新城控股,'14.89,'-0.40%,'0.03,'40.48,1419.38%,0.77%,'0.55,0.00%,1.37%,'336,'+24.50%,房地产开发
'13,SH601336.新华保险,'68.00,'+0.59%,'0.03,'7.81,302.05%,2.90%,'2.66,2.04%,31.26%,'1418,'+36.82%,保险
'14,SH601628.中国人寿,'41.52,'+0.65%,'0.03,'10.20,378.74%,0.38%,'2.20,1.57%,22.73%,'8646,'+0.17%,保险
'15,SH601919.中远海控,'15.63,'+1.10%,'0.03,'4.48,130.65%,3.50%,'0.99,9.96%,24.18%,'1971,'+7.69%,航运港口
'16,SZ002901.大博医疗,'52.18,'-2.10%,'0.03,'55.42,2529.53%,1.39%,'6.91,0.94%,12.62%,'221,'+71.38%,医疗器械
'17,SZ000039.中集集团,'8.17,'-0.24%,'0.04,'12.87,335.59%,1.08%,'0.88,2.15%,6.88%,'189,'+7.46%,通用设备
'18,SH601319.中国人保,'8.44,'+0.48%,'0.06,'7.98,133.90%,0.99%,'1.34,0.75%,17.81%,'2996,'+11.79%,保险
'19,SH603986.兆易创新,'118.28,'+0.24%,'0.06,'69.36,1220.55%,6.12%,'4.68,0.29%,7.05%,'785,'+11.06%,半导体
'20,SZ300959.线上线下,'45.70,'+0.93%,'0.06,'81.35,3405.70%,'-,'3.14,0.73%,3.81%,'36,'+4.36%,通信服务
'21,SZ000686.东北证券,'8.32,'+0.60%,'0.07,'18.35,276.15%,2.66%,'1.01,1.45%,5.60%,'194,'+6.48%,证券
'22,SZ002001.新和成,'22.26,'+0.14%,'0.07,'9.93,137.45%,6.24%,'2.23,3.15%,24.43%,'683,'+4.55%,化学制药
'23,SZ002926.华西证券,'10.08,'+0.50%,'0.07,'29.17,430.80%,1.37%,'1.10,0.85%,3.86%,'263,'+22.30%,证券
'24,SZ300232.洲明科技,'7.41,'+1.65%,'0.07,'58.90,625.96%,1.99%,'1.65,3.29%,2.82%,'80,'+11.63%,光学光电子
'25,SH600299.安迪苏,'10.03,'+0.60%,'0.08,'19.32,246.21%,0.64%,'1.66,2.39%,8.91%,'269,'-18.66%,化学制品
'26,SZ002015.协鑫能科,'11.52,'-0.26%,'0.08,'33.78,530.94%,0.93%,'1.56,0.87%,4.70%,'187,'+49.58%,电力行业
'27,SZ002202.金风科技,'9.77,'-0.10%,'0.08,'19.71,250.30%,3.74%,'1.06,1.02%,5.44%,'338,'-5.42%,风电设备
'28,SZ003015.日久光电,'16.70,'+0.30%,'0.08,'52.44,725.98%,'-,'4.68,1.20%,9.15%,'47,'+18.31%,光学光电子
'29,SH600219.南山铝业,'4.05,'+0.75%,'0.09,'8.28,90.15%,6.45%,'0.91,4.21%,11.42%,'470,'+6.16%,有色金属
'30,SH600731.湖南海利,'8.02,'+1.52%,'0.09,'14.35,172.21%,'-,'1.39,2.49%,10.02%,'45,'+44.69%,农药兽药
'31,SH688588.凌志软件,'15.57,'+1.76%,'0.09,'31.20,417.49%,0.36%,'4.73,1.28%,15.82%,'62,'+14.30%,软件开发
'32,SZ002532.天山铝业,'9.20,'+0.33%,'0.09,'8.90,103.98%,2.42%,'1.53,4.36%,18.20%,'427,'+19.79%,有色金属
'33,SZ002538.司尔特,'5.44,'-0.73%,'0.09,'17.01,197.93%,0.92%,'0.87,4.38%,5.15%,'47,'-0.93%,化肥行业
'34,SZ002729.好利科技,'15.21,'+0.53%,'0.09,'57.70,694.87%,'-,'5.20,0.19%,9.34%,'28,'+21.32%,电子元件
'35,SZ300677.英科医疗,'37.84,'+0.37%,'0.10,'15.62,199.59%,0.73%,'1.39,0.39%,9.28%,'247,'+50.32%,医疗器械
'36,SZ000713.丰乐种业,'7.19,'-0.28%,'0.11,'60.66,700.90%,'-,'2.21,0.28%,3.71%,'44,'+2.27%,农牧饲渔
'37,SZ002950.奥美医疗,'9.49,'-0.94%,'0.11,'16.79,162.10%,1.96%,'1.73,0.63%,10.64%,'61,'+9.46%,医疗器械
'38,SZ300088.长信科技,'6.20,'+0.98%,'0.11,'39.63,381.13%,0.80%,'1.77,0.96%,4.56%,'153,'-4.23%,光学光电子
'39,SZ300398.飞凯材料,'20.57,'+1.08%,'0.11,'37.65,403.18%,0.44%,'2.79,0.46%,7.63%,'115,'+30.96%,电子化学品
'40,SZ300953.震裕科技,'110.96,'+3.41%,'0.11,'67.85,648.69%,0.73%,'4.99,0.14%,8.68%,'186,'+122.05%,电池
'41,SH601236.红塔证券,'9.08,'+0.22%,'0.12,'45.56,376.25%,0.81%,'1.73,1.65%,3.90%,'428,'+8.43%,证券
'42,SZ002150.通润装备,'12.38,'-1.28%,'0.12,'20.69,218.01%,0.14%,'2.37,0.80%,12.29%,'46,'+0.76%,光伏设备
