序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,2月内涨,市值.亿,今年来,行业
'1,605499.东鹏饮料,'298.03,'-2.23%,'37,9.90%,'40.51,'17.74,1.48%,50.26%,'-11.43%,'1549.79,'+20.99%,食品饮料
'2,300750.宁德时代,'265.00,'-0.26%,'20,13.78%,'23.24,'4.11,2.18%,23.77%,'+6.36%,'11699.82,'+2.10%,电池
'3,002594.比亚迪,'104.35,'-0.49%,'18,7.07%,'23.09,'4.10,1.26%,23.82%,'-70.31%,'5697.88,'+12.07%,汽车整车
'4,689009.九号公司-WD,'65.46,'+0.38%,'17,'-,'26.28,'6.95,1.72%,27.90%,'+10.15%,'470.95,'+40.40%,交运设备
'5,603259.药明康德,'93.58,'+0.31%,'17,12.13%,'24.09,'4.49,1.43%,24.03%,'+38.21%,'2325.59,'+73.71%,医疗服务
'6,600011.华能国际,'7.58,'+0.40%,'17,2.09%,'9.80,'0.84,3.56%,8.61%,'+8.91%,'833.63,'+16.18%,电力行业
'7,601633.长城汽车,'22.61,'+1.57%,'16,1.37%,'21.08,'2.34,1.99%,14.52%,'+4.34%,'1410.90,'-12.35%,汽车整车
'8,000921.海信家电,'25.40,'-0.16%,'15,3.05%,'12.95,'2.20,3.99%,22.59%,'-7.73%,'235.39,'-12.11%,家电行业
'9,688775.影石创新,'167.73,'+0.51%,'14,'-,'71.74,'20.03,0.00%,29.50%,'-1.47%,'672.60,'+254.83%,消费电子
'10,601127.赛力斯,'128.70,'+0.74%,'14,3.36%,'35.92,'9.09,0.99%,37.25%,'-4.41%,'2102.14,'-2.78%,汽车整车
'11,603486.科沃斯,'88.95,'+1.43%,'14,1.65%,'65.09,'6.59,0.51%,13.47%,'+68.21%,'511.29,'+90.85%,家电行业
'12,601138.工业富联,'34.30,'-2.14%,'13,2.47%,'28.33,'4.33,1.87%,16.04%,'+66.02%,'6811.80,'+62.66%,消费电子
'13,002311.海大集团,'58.37,'+0.78%,'13,3.78%,'18.67,'3.95,1.90%,22.53%,'-2.44%,'963.64,'+21.26%,农牧饲渔
'14,600900.长江电力,'27.97,'-0.46%,'12,6.19%,'20.27,'3.17,3.37%,16.00%,'-5.06%,'6843.76,'-2.27%,电力行业
'15,002891.中宠股份,'57.44,'-2.18%,'12,7.01%,'39.92,'6.20,0.66%,17.67%,'-14.58%,'178.73,'+61.28%,农牧饲渔
'16,600415.小商品城,'19.64,'-1.36%,'12,6.41%,'34.88,'5.05,1.68%,15.92%,'+4.86%,'1076.99,'+49.07%,商业百货
'17,300416.苏试试验,'16.57,'+1.35%,'11,1.72%,'36.59,'3.17,0.92%,9.42%,'+16.62%,'83.15,'+42.42%,专业服务
'18,002463.沪电股份,'52.58,0.00%,'11,6.41%,'36.19,'7.99,0.95%,24.65%,'+38.19%,'1011.49,'+34.76%,电子元件
'19,601168.西部矿业,'17.47,'+0.58%,'11,4.92%,'13.41,'2.51,5.72%,19.66%,'+11.99%,'416.31,'+15.73%,有色金属
'20,600160.巨化股份,'27.56,'+0.73%,'11,3.15%,'30.95,'4.00,0.83%,14.03%,'+1.25%,'744.05,'+15.26%,化学制品
'21,002241.歌尔股份,'23.03,'-0.17%,'11,3.03%,'33.42,'2.39,1.29%,8.55%,'+2.85%,'805.49,'-10.15%,消费电子
'22,002271.东方雨虹,'12.55,'+0.56%,'10,15.58%,亏损,'1.31,12.32%,'-1.00%,'+13.97%,'298.11,'+3.72%,装修建材
'23,688208.道通科技,'36.55,'+2.52%,'10,6.46%,'39.99,'6.51,1.66%,20.36%,'+18.09%,'244.95,'+40.00%,计算机设备
'24,601088.中国神华,'37.56,'-1.57%,'10,1.04%,'13.48,'1.72,6.02%,12.74%,'+1.87%,'6194.03,'-8.58%,煤炭行业
'25,000729.燕京啤酒,'12.87,'+0.23%,'10,3.39%,'33.17,'2.45,1.48%,7.78%,'-1.83%,'361.90,'+8.48%,酿酒行业
'26,002138.顺络电子,'28.90,'-1.30%,'10,6.23%,'26.36,'3.81,2.05%,15.68%,'+12.01%,'236.09,'-6.33%,电子元件
'27,605016.百龙创园,'20.53,'-1.06%,'9,1.77%,'32.90,'4.90,0.71%,16.46%,'-6.21%,'86.23,'+58.76%,食品饮料
'28,003010.若羽臣,'48.90,'+0.89%,'9,0.23%,'88.96,'9.95,0.77%,11.37%,'-18.39%,'105.99,'+144.73%,互联网服务
'29,600882.妙可蓝多,'27.36,'+1.82%,'9,0.59%,'173.02,'3.12,0.00%,3.50%,'-15.71%,'140.10,'+52.85%,食品饮料
'30,000625.长安汽车,'12.91,'-0.08%,'9,1.33%,'39.30,'1.64,2.28%,9.93%,'+2.38%,'1068.80,'-1.13%,汽车整车
'31,301061.匠心家居,'98.00,'+4.18%,'9,1.44%,'29.77,'5.43,0.82%,21.94%,'+26.29%,'204.68,'+107.49%,家电行业
'32,002541.鸿路钢构,'18.10,'+1.12%,'9,0.70%,'24.28,'1.27,2.01%,7.37%,'+4.56%,'123.51,'+3.17%,水泥建材
'33,002739.万达电影,'11.50,'-0.26%,'9,2.41%,亏损,'3.16,0.00%,'-1.00%,'-1.28%,'243.49,'-5.27%,文化传媒
'34,601886.江河集团,'7.50,'+2.18%,'9,3.87%,'20.16,'1.13,7.33%,8.13%,'+36.12%,'84.98,'+48.70%,装修装饰
'35,300378.鼎捷数智,'64.54,'+4.35%,'8,0.66%,'118.06,'7.68,0.05%,7.42%,'+71.14%,'167.86,'+149.69%,软件开发
'36,688041.海光信息,'137.34,'-3.59%,'8,3.15%,'152.87,'15.12,0.12%,11.30%,'+0.92%,'3192.25,'-8.20%,半导体
'37,688271.联影医疗,'129.15,'+0.47%,'8,2.67%,'97.77,'5.25,0.15%,6.42%,'-2.26%,'1064.40,'+2.23%,医疗器械
'38,600276.恒瑞医药,'61.58,'-1.16%,'8,8.39%,'61.92,'8.70,0.32%,15.40%,'+10.32%,'3928.19,'+34.64%,化学制药
'39,300308.中际旭创,'210.52,'-0.19%,'8,3.72%,'41.50,'11.31,0.24%,31.55%,'+82.55%,'2343.57,'+71.13%,通信设备
'40,002487.大金重工,'31.40,'-4.33%,'8,3.04%,'33.03,'2.79,0.24%,9.01%,'+9.69%,'209.31,'+53.65%,风电设备
'41,002600.领益智造,'9.67,'+3.64%,'8,1.71%,'40.07,'3.20,0.21%,9.50%,'+11.34%,'653.86,'+21.17%,消费电子
'42,002415.海康威视,'29.28,'-0.17%,'8,0.44%,'22.45,'3.45,2.39%,16.51%,'+4.79%,'2708.10,'-2.26%,计算机设备
'43,688475.萤石网络,'35.22,'+0.46%,'7,0.30%,'54.96,'5.02,0.99%,9.72%,'+10.86%,'277.36,'+17.95%,家电行业
'44,601155.新城控股,'14.89,'-0.40%,'7,0.77%,'38.19,'0.55,0.00%,1.37%,'+10.54%,'335.86,'+24.50%,房地产开发
'45,600176.中国巨石,'12.38,'-0.08%,'7,10.10%,'20.96,'1.61,1.94%,9.45%,'+10.54%,'495.59,'+10.89%,玻璃玻纤
'46,002624.完美世界,'15.91,'+3.38%,'7,5.99%,亏损,'4.22,1.49%,'-1.00%,'+0.79%,'298.56,'+56.46%,游戏
'47,601899.紫金矿业,'20.16,'+1.46%,'7,7.72%,'15.16,'3.67,1.88%,27.38%,'+5.11%,'4150.69,'+35.27%,有色金属
'48,600989.宝丰能源,'15.74,'+0.77%,'7,2.76%,'14.62,'2.54,1.78%,17.21%,'-2.11%,'1154.27,'-4.05%,化学原料
'49,603697.有友食品,'12.56,'-1.02%,'7,'-,'39.94,'2.94,3.74%,8.88%,'-18.60%,'53.72,'+25.38%,食品饮料
'50,002384.东山精密,'51.99,'-0.86%,'7,3.46%,'92.88,'4.97,0.12%,6.64%,'+64.03%,'960.49,'+78.49%,电子元件
'51,002032.苏泊尔,'51.23,'-0.33%,'7,4.34%,'19.73,'5.95,5.47%,33.07%,'-3.85%,'411.90,'+1.08%,家电行业
'52,600104.上汽集团,'17.53,'-2.23%,'7,2.97%,亏损,'0.69,0.50%,0.68%,'+9.09%,'2029.15,'-15.14%,汽车整车
'53,300888.稳健医疗,'40.72,'+0.67%,'7,0.70%,'34.59,'2.06,1.62%,6.63%,'-18.38%,'235.55,'-2.73%,美容护理
'54,603997.继峰股份,'11.87,'+0.51%,'7,0.88%,亏损,'3.12,0.00%,'-1.00%,'-10.28%,'150.51,'+3.67%,汽车零部件
'55,603986.兆易创新,'118.28,'+0.24%,'7,6.12%,'73.37,'4.68,0.29%,7.05%,'-1.11%,'785.45,'+11.06%,半导体
'56,600885.宏发股份,'24.57,'+0.20%,'7,20.32%,'21.67,'3.61,1.50%,18.76%,'+8.24%,'358.66,'+9.88%,电网设备
'57,688521.芯原股份,'101.88,'-0.10%,'7,1.11%,亏损,'27.87,0.00%,'-1.00%,'+13.73%,'535.60,'+94.32%,半导体
'58,002225.濮耐股份,'7.53,'+6.51%,'6,0.32%,'106.48,'2.06,0.71%,3.62%,'+44.29%,'71.44,'+52.72%,装修建材
'59,600323.瀚蓝环境,'27.54,'+0.47%,'6,0.68%,'13.42,'1.62,2.90%,12.94%,'+13.47%,'224.55,'+20.56%,环保行业
'60,603893.瑞芯微,'163.20,'+0.74%,'6,3.26%,'100.93,'18.25,0.67%,21.38%,'+14.11%,'686.63,'+49.14%,半导体
'61,601128.常熟银行,'7.68,'+0.26%,'6,3.17%,'6.49,'0.86,2.96%,14.12%,'+3.36%,'254.71,'+15.20%,银行
'62,002701.奥瑞金,'5.47,'+0.18%,'6,2.92%,'20.36,'1.44,2.20%,12.61%,'-4.88%,'139.76,'-1.59%,包装材料
