序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'1,600742.富维股份,'10.35,'-2.36%,3.87%,105.36%,56.54%,'81.03,'76.91,'14.44,3.38%,'5.33,'+21.40%,汽车零部件
'2,600339.中油工程,'3.60,'+1.12%,1.16%,105.10%,77.26%,'211.25,'200.99,'77.42,0.97%,'2.60,'+1.58%,采掘行业
'3,000521.长虹美菱,'7.56,'-1.56%,1.73%,95.47%,76.21%,'74.33,'77.86,'12.00,4.37%,'6.49,'-3.21%,家电行业
'4,000800.一汽解放,'7.15,0.00%,0.77%,75.62%,66.80%,'266.10,'351.87,'-,0.70%,'-12.31,'-12.17%,汽车整车
'5,600662.外服控股,'5.43,'-1.27%,0.61%,69.36%,65.28%,'86.00,'123.99,'27.92,4.42%,'4.44,'+11.69%,专业服务
'6,600827.百联股份,'9.89,'+0.10%,1.30%,68.49%,59.61%,'120.85,'176.45,'185.59,2.68%,'0.95,'-7.11%,商业百货
'7,000404.长虹华意,'7.37,'-1.21%,0.14%,62.47%,64.68%,'32.04,'51.29,'12.18,4.07%,'4.21,'+3.87%,家电行业
'8,002116.中国海诚,'10.31,'-0.48%,0.30%,59.69%,59.82%,'28.68,'48.05,'16.50,3.00%,'2.91,'+6.46%,工程咨询服务
'9,600861.北京人力,'20.40,'-1.54%,1.53%,57.42%,52.43%,'66.32,'115.49,'20.90,3.43%,'5.53,'+9.33%,专业服务
'10,601001.晋控煤业,'13.30,'+0.45%,1.32%,55.06%,26.24%,'122.57,'222.60,'9.88,5.68%,'22.53,'+2.67%,煤炭行业
'11,000550.江铃汽车,'21.67,'+4.69%,2.95%,55.05%,66.02%,'102.97,'187.06,'17.24,3.32%,'10.85,'-4.40%,汽车整车
'12,000913.钱江摩托,'16.81,'-1.06%,2.13%,54.81%,55.80%,'48.52,'88.52,'18.77,4.64%,'4.72,'-4.18%,交运设备
'13,600814.杭州解百,'8.13,'+1.50%,2.60%,54.48%,44.43%,'32.56,'59.76,'31.95,1.69%,'1.87,'-0.17%,商业百货
'14,600512.腾达建设,'2.43,'+2.10%,'-,54.17%,40.98%,'20.98,'38.73,'199.98,0.82%,'0.19,'+3.44%,工程建设
'15,600037.歌华有线,'9.63,'+8.20%,0.74%,53.76%,20.13%,'72.06,'134.03,'-,0.28%,'-0.99,'+29.55%,文化传媒
'16,000910.大亚圣象,'8.08,'+1.13%,'-,52.81%,28.17%,'23.36,'44.23,'52.45,2.35%,'0.84,'+5.30%,装修建材
'17,601919.中远海控,'15.19,'-0.59%,3.50%,52.29%,43.25%,'1230.44,'2352.89,'4.74,10.25%,'496.62,'+4.66%,航运港口
'18,000928.中钢国际,'6.48,'-1.67%,1.47%,50.76%,66.65%,'47.19,'92.96,'11.69,4.61%,'7.95,'+6.52%,工程咨询服务
'19,002483.润邦股份,'6.62,'-1.19%,4.85%,49.32%,58.34%,'28.94,'58.68,'12.87,4.53%,'4.56,'+33.45%,专用设备
'20,600894.广日股份,'10.29,'-0.29%,0.69%,48.96%,39.16%,'42.91,'87.64,'14.30,13.35%,'6.13,'-25.44%,专用设备
'21,688459.哈铁科技,'10.68,'-0.37%,'-,47.99%,15.01%,'24.60,'51.26,'37.24,0.94%,'1.38,'+11.95%,交运设备
'22,600694.大商股份,'19.35,'+1.42%,4.50%,47.54%,47.57%,'31.99,'67.29,'13.22,4.70%,'5.09,'-15.74%,商业百货
'23,688560.明冠新材,'14.42,'+1.62%,'-,47.30%,6.03%,'13.73,'29.03,'-,'-,'-1.29,'+12.74%,光伏设备
'24,600482.中国动力,'23.60,'-1.26%,1.36%,47.18%,54.42%,'250.85,'531.68,'31.67,0.92%,'16.79,'-2.71%,船舶制造
'25,002051.中工国际,'8.66,'+0.12%,0.88%,47.04%,52.55%,'50.41,'107.16,'43.99,1.44%,'2.44,'+7.71%,工程建设
'26,600278.东方创业,'7.83,'-1.63%,0.95%,47.04%,55.23%,'32.31,'68.68,'62.84,2.13%,'1.09,'+13.13%,贸易行业
'27,600916.中国黄金,'8.39,'+2.57%,1.41%,46.17%,45.69%,'65.08,'140.95,'27.08,4.17%,'5.20,'+1.45%,珠宝首饰
'28,688317.之江生物,'26.62,'-2.02%,'-,45.08%,8.81%,'23.06,'51.15,'-,0.41%,'-1.65,'+63.82%,医疗器械
'29,000951.中国重汽,'17.99,'-0.83%,1.12%,44.06%,63.28%,'93.13,'211.36,'15.42,3.87%,'13.71,'+8.42%,汽车整车
'30,002081.金螳螂,'3.50,'-0.85%,1.73%,43.82%,58.40%,'40.73,'92.94,'20.23,2.86%,'4.59,'+0.89%,装修装饰
'31,600676.交运股份,'6.04,'+0.17%,'-,43.16%,27.79%,'26.81,'62.12,'-,'-,'-4.09,'+33.92%,汽车零部件
'32,301102.兆讯传媒,'11.57,'+0.35%,'-,42.41%,29.94%,'19.92,'46.97,'88.56,0.17%,'0.53,'+6.06%,文化传媒
'33,601117.中国化学,'7.75,'-1.40%,4.82%,41.98%,69.55%,'198.68,'473.28,'8.66,2.40%,'54.67,'-4.31%,工程建设
'34,601811.新华文轩,'16.18,'-0.80%,1.57%,41.88%,33.89%,'83.60,'199.64,'11.34,3.71%,'17.61,'+4.84%,文化传媒
'35,600987.航民股份,'7.31,'+1.11%,3.86%,41.68%,32.26%,'31.10,'74.62,'10.71,4.10%,'6.97,'+9.85%,纺织服装
'36,603102.百合股份,'42.50,'-0.54%,'-,41.54%,10.52%,'11.30,'27.20,'22.62,1.76%,'1.20,'+23.15%,食品饮料
'37,000625.长安汽车,'12.46,'-0.88%,1.33%,41.27%,56.66%,'509.83,'1235.30,'42.67,2.37%,'28.95,'-4.57%,汽车整车
'38,600682.南京新百,'8.28,'-0.24%,1.10%,41.15%,26.87%,'45.87,'111.46,'63.77,0.19%,'1.75,'+21.36%,商业百货
'39,600219.南山铝业,'3.99,'-1.72%,6.45%,40.13%,17.44%,'185.96,'463.39,'8.64,4.28%,'53.62,'+4.59%,有色金属
'40,600551.时代出版,'8.94,'-0.45%,2.96%,40.00%,29.40%,'24.25,'60.62,'20.73,4.47%,'2.92,'+7.42%,文化传媒
'41,601006.大秦铁路,'6.17,'-2.22%,2.68%,39.00%,14.61%,'484.74,'1243.08,'17.05,4.17%,'72.90,'-7.05%,物流行业
'42,603909.建发合诚,'10.57,'-2.58%,'-,38.95%,76.18%,'10.73,'27.55,'27.64,1.14%,'1.00,'+16.93%,工程咨询服务
'43,600854.春兰股份,'5.29,'+2.32%,'-,38.14%,6.99%,'10.48,'27.48,'21.80,2.27%,'1.26,'+18.32%,家电行业
'44,600380.健康元,'13.66,'+9.98%,3.74%,38.10%,33.80%,'95.21,'249.90,'18.83,1.46%,'13.27,'+23.21%,化学制药
'45,600741.华域汽车,'19.56,'+2.14%,4.42%,37.79%,65.47%,'233.02,'616.67,'10.58,4.09%,'58.29,'+16.01%,汽车零部件
'46,000923.河钢资源,'15.17,'+3.20%,1.48%,37.76%,24.55%,'37.39,'99.02,'28.58,3.30%,'3.46,'+13.25%,钢铁行业
'47,000822.山东海化,'5.84,0.00%,0.32%,37.61%,41.12%,'19.66,'52.27,'-,'-,'-5.24,'+2.82%,化学原料
'48,601083.锦江航运,'12.16,'-0.08%,0.14%,37.21%,17.99%,'58.55,'157.36,'10.71,3.27%,'14.69,'+31.00%,航运港口
'49,601518.吉林高速,'2.78,'-0.36%,0.03%,36.74%,8.44%,'19.31,'52.56,'10.54,3.09%,'4.99,'+3.20%,铁路公路
'50,600249.两面针,'5.89,'+1.55%,'-,36.57%,19.73%,'11.85,'32.40,'300.00,0.51%,'0.05,'+16.32%,美容护理
'51,002242.九阳股份,'9.71,'-3.77%,0.61%,36.24%,52.43%,'26.85,'74.09,'78.55,1.55%,'0.94,'-4.82%,家电行业
'52,002106.莱宝高科,'11.68,'+1.48%,2.80%,35.44%,37.69%,'29.22,'82.44,'24.22,0.86%,'3.40,'+8.13%,光学光电子
'53,688569.铁科轨道,'22.65,'+0.85%,0.12%,34.87%,14.04%,'16.64,'47.72,'29.38,1.55%,'1.62,'+8.51%,交运设备
