,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'1,002052.同洲电子,'16.75,'-1.93%,234.38%,'-,'37.06,'43.43,'126.03,'+169.29%,家电行业
'2,603363.傲农生物,'4.85,'+5.43%,180.58%,'-,'-,'3.97,'126.24,'+37.01%,农牧饲渔
'3,600671.天目药业,'19.44,'-1.87%,108.27%,'-,'62.42,'37.80,'23.67,'+121.41%,中药
'4,000953.河化股份,'7.22,'+0.56%,73.29%,'-,'300.00,'17.67,'26.43,'+29.16%,化学制药
'5,600132.重庆啤酒,'55.07,'-0.65%,64.93%,4.36%,'22.42,'16.47,'266.52,'-11.18%,酿酒行业
'6,300502.新易盛,'388.50,'+9.07%,64.51%,0.08%,'65.45,'31.92,'3860.58,'+372.48%,通信设备
'7,600610.中毅达,'13.27,'+1.53%,63.96%,'-,'300.00,'100.00,'94.34,'+213.71%,化学原料
'8,300972.万辰集团,'204.70,'-3.35%,59.93%,0.28%,'53.97,'23.68,'384.05,'+155.79%,农牧饲渔
'9,300641.正丹股份,'24.03,'-0.62%,57.04%,2.91%,'8.41,'3.91,'128.00,'-2.03%,化学制品
'10,605499.东鹏饮料,'314.94,'+1.94%,50.26%,2.20%,'42.81,'18.75,'1637.73,'+28.92%,食品饮料
'11,002629.仁智股份,'7.54,'+10.07%,49.15%,'-,'171.05,'71.44,'32.13,'+77.41%,采掘行业
'12,600329.达仁堂,'45.66,'-0.98%,46.48%,2.80%,'49.61,'4.00,'260.31,'+54.06%,中药
'13,300533.冰川网络,'41.80,'-3.80%,46.13%,'-,'17.74,'6.11,'98.01,'+111.54%,游戏
'14,600149.廊坊发展,'5.56,'+0.18%,45.86%,'-,'156.13,'8.94,'21.14,'+36.27%,电力行业
'15,002395.双象股份,'18.88,'+0.53%,45.19%,0.79%,'27.35,'3.39,'50.64,'+15.33%,塑料制品
'16,002032.苏泊尔,'51.61,'+0.35%,43.89%,5.44%,'20.18,'8.08,'413.58,'+1.83%,家电行业
'17,002668.TCL智家,'10.43,'-2.34%,43.71%,'-,'10.65,'3.69,'113.07,'-20.50%,家电行业
'18,301004.嘉益股份,'63.91,'-2.55%,42.20%,3.35%,'13.11,'4.73,'92.96,'-20.29%,家用轻工
'19,688278.特宝生物,'85.90,'+3.39%,39.89%,0.72%,'37.65,'12.68,'349.44,'+18.06%,生物制品
'20,600519.贵州茅台,'1476.10,'-0.26%,39.34%,3.50%,'20.55,'7.75,'18484.76,'-1.24%,酿酒行业
'21,300394.天孚通信,'222.16,'+11.90%,38.79%,0.32%,'112.14,'36.85,'1727.11,'+242.33%,通信设备
'22,002714.牧原股份,'54.80,'-0.29%,38.70%,2.57%,'10.49,'3.82,'2993.60,'+44.50%,农牧饲渔
'23,605117.德业股份,'63.74,'-1.41%,37.90%,4.26%,'18.57,'6.15,'576.50,'+8.56%,光伏设备
'24,300274.阳光电源,'99.20,'-0.67%,37.35%,1.09%,'15.46,'4.83,'2056.63,'+36.64%,光伏设备
'25,300492.华图山鼎,'67.10,'-1.26%,37.22%,0.27%,'103.13,'31.51,'131.97,'+29.48%,工程咨询服务
'26,600809.山西汾酒,'200.60,'-0.70%,36.95%,3.02%,'19.81,'6.82,'2447.25,'+12.74%,酿酒行业
'27,002847.盐津铺子,'75.53,'+1.37%,36.82%,2.12%,'32.74,'9.46,'206.03,'+22.19%,食品饮料
'28,000007.全新好,'7.63,'+0.93%,36.41%,'-,'300.00,'14.47,'26.43,'+8.53%,房地产服务
'29,601127.赛力斯,'143.89,'+5.10%,36.31%,0.89%,'35.56,'8.78,'2350.25,'+8.69%,汽车整车
'30,001221.悍高集团,'55.44,'+2.52%,35.03%,'-,'37.45,'11.02,'221.77,'+259.30%,家用轻工
'31,300308.中际旭创,'406.10,'+14.42%,34.91%,0.12%,'67.24,'19.77,'4512.25,'+230.12%,通信设备
'32,300441.鲍斯股份,'8.81,'+2.20%,34.87%,5.11%,'25.45,'2.34,'56.77,'+4.86%,通用设备
'33,601336.新华保险,'65.75,'-3.65%,34.53%,3.85%,'6.83,'2.46,'1371.18,'+36.38%,保险
'34,600066.宇通客车,'28.30,'+2.46%,34.51%,5.30%,'17.47,'4.76,'626.54,'+11.45%,汽车整车
'35,688578.艾力斯,'116.98,'+2.61%,34.29%,0.56%,'32.51,'8.59,'526.41,'+96.09%,化学制药
'36,603929.亚翔集成,'42.47,'-0.70%,34.24%,2.35%,'16.20,'4.99,'90.61,'+58.69%,装修装饰
'37,300209.有棵树,'5.26,'+2.94%,34.16%,'-,'-,'5.10,'48.85,'-2.77%,互联网服务
'38,300927.江天化学,'29.95,'+1.77%,33.20%,0.30%,'300.00,'4.54,'43.24,'+82.41%,化学原料
'39,301317.鑫磊股份,'36.41,'+4.03%,33.20%,0.82%,'-,'4.10,'57.23,'+84.64%,通用设备
'40,002027.分众传媒,'8.70,'+4.69%,33.16%,3.79%,'25.46,'7.69,'1256.47,'+27.33%,文化传媒
'41,605333.沪光股份,'33.01,'-0.87%,33.13%,0.70%,'21.18,'6.01,'144.18,'+2.00%,汽车零部件
'42,603699.纽威股份,'33.79,'+1.75%,32.66%,4.49%,'20.41,'6.30,'259.70,'+57.91%,通用设备
'43,603605.珀莱雅,'84.43,'+0.72%,32.11%,1.41%,'20.72,'5.84,'334.35,'+1.12%,美容护理
'44,300967.晓鸣股份,'24.71,'+1.27%,31.97%,0.81%,'18.22,'5.10,'46.35,'+112.50%,农牧饲渔
'45,300573.兴齐眼药,'77.54,'+14.65%,30.87%,1.38%,'37.31,'10.82,'190.24,'+57.55%,化学制药
'46,688617.惠泰医疗,'305.49,'+7.43%,30.68%,0.40%,'59.33,'15.42,'430.78,'+19.49%,医疗器械
'47,300724.捷佳伟创,'108.12,'+9.48%,30.52%,1.11%,'12.26,'3.01,'375.95,'+74.95%,光伏设备
'48,000523.红棉股份,'3.31,'+1.22%,30.33%,'-,'72.29,'3.19,'60.75,'+8.52%,食品饮料
'49,300476.胜宏科技,'270.37,'+1.15%,30.04%,0.11%,'82.45,'21.29,'2332.45,'+545.00%,电子元件
'50,601899.紫金矿业,'24.38,'+5.63%,29.99%,1.15%,'17.10,'4.56,'5019.53,'+63.59%,有色金属
'51,300628.亿联网络,'38.04,'+0.66%,29.82%,4.98%,'20.61,'5.60,'481.80,'+2.27%,通信设备
'52,300498.温氏股份,'18.01,'-0.99%,29.75%,1.94%,'10.45,'2.85,'1198.37,'+10.43%,农牧饲渔
'53,000568.泸州老窖,'135.85,'-0.98%,29.68%,4.38%,'15.32,'4.30,'1999.65,'+13.86%,酿酒行业
'54,002259.升达林业,'4.47,0.00%,29.58%,'-,'53.43,'12.55,'33.63,'+87.82%,燃气
'55,688648.中邮科技,'64.66,'+1.60%,29.56%,0.25%,'-,'3.90,'87.94,'+177.63%,通用设备
'56,300033.同花顺,'397.41,'-3.81%,29.37%,0.75%,'112.16,'31.16,'2136.48,'+39.64%,软件开发
'57,300926.博俊科技,'28.82,'-0.59%,29.29%,0.50%,'17.11,'4.06,'125.17,'+31.73%,汽车零部件
'58,603025.大豪科技,'16.74,'-0.89%,29.08%,2.08%,'28.15,'7.79,'186.93,'+12.74%,专用设备
'59,603129.春风动力,'272.00,'+1.99%,28.91%,1.42%,'24.34,'6.13,'415.01,'+76.96%,交运设备
'60,603195.公牛集团,'47.09,'-0.11%,28.78%,3.64%,'23.14,'5.79,'851.66,'-3.00%,家用轻工
'61,600375.汉马科技,'6.78,'+0.74%,28.60%,'-,'-,'3.27,'108.69,'+23.05%,汽车整车
'62,000526.学大教育,'48.17,'+0.08%,28.34%,'-,'26.24,'6.06,'58.70,'+14.53%,教育
'63,000010.美丽生态,'4.87,'+9.93%,28.00%,'-,'78.52,'18.31,'55.99,'+73.31%,工程建设
'64,689009.九号公司-WD,'73.17,'+0.03%,27.90%,1.53%,'29.50,'7.80,'528.64,'+56.93%,交运设备
'65,002690.美亚光电,'20.26,'+1.30%,27.89%,3.46%,'27.12,'7.12,'178.74,'+42.41%,专用设备
'66,300866.安克创新,'145.05,'+3.44%,27.84%,1.44%,'37.33,'8.51,'777.70,'+50.83%,消费电子
'67,001389.广合科技,'75.00,'-2.86%,27.84%,0.64%,'38.30,'9.40,'318.93,'+50.58%,电子元件
'68,002463.沪电股份,'69.80,'+1.47%,27.40%,0.72%,'43.62,'10.54,'1342.94,'+78.89%,电子元件
'69,002124.天邦食品,'3.03,0.00%,27.37%,'-,'8.65,'1.67,'67.32,'+8.60%,农牧饲渔
'70,002251.步步高,'5.85,'-1.35%,27.30%,'-,'-,'1.93,'157.29,'+48.10%,商业百货
'71,600285.羚锐制药,'23.31,'-0.51%,27.17%,3.86%,'19.14,'4.31,'132.19,'+9.33%,中药
'72,301611.珂玛科技,'58.52,'+0.19%,27.17%,0.34%,'75.06,'15.46,'255.15,'-0.56%,非金属材料
'73,600779.水井坊,'47.01,'-0.06%,26.96%,2.06%,'20.25,'4.76,'229.18,'-10.15%,酿酒行业
'74,605098.行动教育,'36.00,'+0.11%,26.64%,6.25%,'19.06,'4.29,'42.93,'+7.02%,教育
'75,002920.德赛西威,'126.37,'-0.60%,26.54%,0.95%,'30.38,'7.28,'701.29,'+16.17%,汽车零部件
'76,603893.瑞芯微,'233.99,'-5.00%,26.42%,0.38%,'112.22,'24.88,'984.46,'+113.83%,半导体
'77,600660.福耀玻璃,'65.81,'+0.23%,26.17%,2.74%,'20.03,'4.82,'1318.17,'+8.83%,玻璃玻纤
'78,002001.新和成,'24.83,'-0.28%,25.89%,2.82%,'10.38,'2.50,'763.13,'+16.62%,化学制药
'79,000651.格力电器,'41.41,'-2.79%,25.64%,7.24%,'7.69,'1.71,'2319.54,'-2.81%,家电行业
'80,002517.恺英网络,'22.30,'-4.17%,25.47%,0.90%,'27.43,'5.81,'476.43,'+64.81%,游戏
'81,603198.迎驾贡酒,'45.15,'-0.94%,25.38%,3.32%,'15.75,'3.70,'361.20,'-13.14%,酿酒行业
'82,603202.天有为,'101.58,'+0.22%,25.20%,2.45%,'14.99,'2.49,'162.53,'+11.40%,汽车零部件
'83,600211.西藏药业,'48.39,'+4.56%,25.03%,3.87%,'17.76,'3.75,'155.97,'+37.14%,生物制品
'84,688019.安集科技,'189.99,'+8.19%,25.03%,0.18%,'49.41,'10.51,'320.24,'+77.62%,电子化学品
'85,603529.爱玛科技,'36.06,'-1.74%,24.87%,2.54%,'15.06,'3.21,'313.38,'-10.63%,交运设备
'86,603173.福斯达,'52.12,'-2.56%,24.73%,0.96%,'21.17,'4.63,'83.39,'+129.35%,通用设备
'87,600096.云天化,'27.34,'+0.48%,24.73%,5.15%,'9.78,'2.20,'498.41,'+30.13%,化肥行业
'88,603993.洛阳钼业,'13.53,'+9.47%,24.72%,1.90%,'17.85,'3.92,'2362.45,'+109.99%,小金属
'89,600550.保变电气,'8.78,'+0.69%,24.69%,'-,'111.77,'23.86,'161.69,'+11.85%,电网设备
'90,688726.拉普拉斯,'50.10,'+0.91%,24.61%,0.74%,'32.39,'5.33,'203.07,'+12.38%,光伏设备
'91,688775.影石创新,'326.90,'+1.47%,24.43%,'-,'138.57,'24.06,'1310.87,'+591.56%,消费电子
'92,300570.太辰光,'142.15,'+1.76%,24.43%,0.56%,'93.22,'20.60,'322.86,'+97.25%,通信设备
'93,300300.海峡创新,'5.80,'+2.84%,24.36%,'-,'-,'23.62,'38.68,'+101.39%,互联网服务
'94,300910.瑞丰新材,'61.01,'-1.05%,24.15%,1.97%,'24.92,'5.22,'180.55,'+30.83%,化学制品
'95,000895.双汇发展,'25.61,'+1.55%,24.14%,8.04%,'18.50,'4.26,'887.30,'+4.15%,食品饮料
'96,603855.华荣股份,'20.61,'-3.24%,24.13%,4.85%,'15.22,'3.50,'69.56,'+6.62%,专用设备
'97,603259.药明康德,'111.58,'+8.02%,24.03%,1.21%,'29.52,'5.50,'2759.69,'+107.12%,医疗服务
'98,600662.外服控股,'5.43,'-1.27%,24.00%,4.42%,'27.92,'2.53,'123.99,'+11.69%,专业服务
'99,300857.协创数据,'105.21,'+5.04%,23.86%,0.20%,'49.40,'10.12,'364.15,'+38.18%,消费电子
'100,000858.五粮液,'128.87,'-0.51%,23.83%,4.46%,'15.50,'3.56,'5002.23,'-3.70%,酿酒行业
'101,300750.宁德时代,'304.00,'-0.71%,23.77%,2.23%,'26.58,'4.70,'13386.33,'+17.55%,电池
'102,300693.盛弘股份,'38.34,'-1.72%,23.75%,1.30%,'30.38,'6.49,'119.93,'+44.49%,电源设备
'103,300760.迈瑞医疗,'246.48,'+1.52%,23.56%,3.12%,'33.16,'7.65,'2988.43,'-2.51%,医疗器械
'104,002648.卫星化学,'20.00,'-0.45%,23.56%,2.50%,'10.04,'2.17,'673.73,'+9.65%,化学原料
'105,600988.赤峰黄金,'28.05,'+8.01%,23.47%,0.57%,'24.53,'4.59,'466.73,'+80.83%,贵金属
'106,603477.巨星农牧,'21.22,'+0.33%,23.42%,0.82%,'15.14,'3.26,'108.24,'+20.48%,农牧饲渔
'107,000596.古井贡酒,'170.40,'-0.53%,23.42%,3.52%,'16.25,'3.58,'696.25,'+2.60%,酿酒行业
'108,002172.澳洋健康,'4.27,'+3.14%,23.41%,'-,'117.35,'19.69,'32.70,'+36.42%,医疗服务
'109,603979.金诚信,'69.05,'+8.31%,23.28%,0.65%,'21.02,'4.36,'430.72,'+92.17%,采掘行业
'110,301061.匠心家居,'102.60,'-2.47%,23.23%,0.75%,'28.41,'5.70,'223.24,'+117.23%,家电行业
'111,300979.华利集团,'52.59,'-0.76%,23.04%,4.37%,'16.96,'3.80,'613.73,'-30.20%,纺织服装
'112,601702.华峰铝业,'17.76,'-0.67%,23.02%,1.69%,'14.89,'3.05,'177.34,'-1.22%,有色金属
'113,600961.株冶集团,'14.28,'+5.62%,23.01%,'-,'15.19,'3.25,'153.21,'+81.45%,有色金属
'114,000333.美的集团,'74.03,'+0.43%,22.97%,4.73%,'13.60,'2.63,'5200.41,'+3.17%,家电行业
'115,300893.松原安全,'31.01,'+1.04%,22.88%,0.46%,'34.92,'6.76,'98.28,'+49.64%,汽车零部件
'116,300415.伊之密,'25.05,'-0.71%,22.85%,2.00%,'18.40,'3.84,'117.37,'+27.93%,专用设备
'117,002056.横店东磁,'18.54,'-2.06%,22.84%,2.44%,'14.07,'2.89,'301.59,'+47.89%,光伏设备
'118,603207.小方制药,'34.95,'+3.04%,22.84%,4.29%,'27.02,'5.03,'56.12,'+30.72%,化学制药
'119,002170.芭田股份,'11.33,'+3.09%,22.78%,2.46%,'15.37,'2.97,'109.58,'+33.22%,化肥行业
'120,301491.汉桑科技,'67.22,'+3.83%,22.67%,'-,'37.29,'7.46,'86.71,'+132.51%,消费电子
'121,301609.山大电力,'50.75,'+0.99%,22.60%,'-,'63.58,'12.43,'82.66,'+246.18%,电网设备
'122,000921.海信家电,'25.17,'-1.02%,22.59%,4.89%,'12.81,'2.18,'232.89,'-8.48%,家电行业
'123,002311.海大集团,'60.77,'-1.19%,22.53%,1.81%,'19.59,'4.14,'1011.06,'+26.24%,农牧饲渔
'124,300896.爱美客,'196.90,'+1.50%,22.53%,1.93%,'39.60,'7.99,'595.80,'+10.29%,美容护理
'125,601919.中远海控,'15.19,'-0.59%,22.49%,10.25%,'4.74,'1.01,'1915.45,'+4.66%,航运港口
'126,002594.比亚迪,'109.70,'-3.82%,22.47%,1.21%,'26.14,'4.31,'5960.88,'+17.82%,汽车整车
'127,603551.奥普科技,'12.59,'+1.04%,22.46%,6.82%,'16.64,'3.74,'49.12,'+23.87%,家电行业
