,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,000517.荣安地产,'1.93,'+0.52%,16.58%,12.48%,亏损,'1.05,'-1.00%,'61.45,'-13.45%,房地产开发
'2,600256.广汇能源,'5.13,'-3.21%,12.32%,11.35%,'14.29,'1.38,9.51%,'327.91,'-15.24%,石油行业
'3,601699.潞安环能,'13.19,'+1.70%,3.11%,10.27%,'30.77,'0.85,3.39%,'394.57,'-4.55%,煤炭行业
'4,000937.冀中能源,'5.95,'-0.83%,13.45%,9.22%,'36.34,'1.11,2.74%,'210.25,'+3.00%,煤炭行业
'5,000983.山西焦煤,'7.02,'-0.57%,3.13%,9.06%,'18.43,'1.09,5.62%,'398.53,'-11.95%,煤炭行业
'6,601666.平煤股份,'7.76,'-0.51%,7.75%,8.52%,'15.77,'0.71,4.50%,'191.62,'-16.98%,煤炭行业
'7,600295.鄂尔多斯,'10.14,'-4.07%,5.92%,7.69%,'17.72,'1.40,9.04%,'200.32,'+10.86%,钢铁行业
'8,601919.中远海控,'15.19,'-0.59%,10.25%,7.43%,'4.74,'1.01,22.49%,'1915.45,'+4.66%,航运港口
'9,600348.华阳股份,'7.01,'-0.14%,4.41%,7.21%,'14.82,'0.76,5.41%,'252.89,'+3.40%,煤炭行业
'10,002327.富安娜,'7.30,'-0.55%,8.49%,7.15%,'15.14,'1.75,12.21%,'61.19,'-11.14%,纺织服装
'11,002582.好想你,'10.70,'+3.48%,13.22%,7.14%,亏损,'1.54,'-1.00%,'47.90,'+40.91%,食品饮料
'12,603519.立霸股份,'12.94,'-0.38%,7.73%,7.10%,'22.41,'3.00,13.28%,'34.46,'+17.88%,家电行业
'13,603948.建业股份,'32.09,'+10.01%,3.12%,6.82%,'27.44,'2.55,9.78%,'52.14,'+83.42%,化学制品
'14,603156.养元饮品,'21.88,'+2.43%,6.22%,6.64%,'20.99,'3.05,15.30%,'275.75,'+1.33%,食品饮料
'15,600985.淮北矿业,'12.29,'-1.36%,6.10%,6.61%,'12.13,'0.80,7.21%,'331.00,'-7.18%,煤炭行业
'16,600971.恒源煤电,'6.78,'-0.15%,6.93%,6.56%,'36.37,'0.68,1.51%,'81.36,'-23.30%,煤炭行业
'17,603886.元祖股份,'13.14,'-1.28%,7.61%,6.46%,'18.21,'2.21,15.08%,'31.54,'-2.05%,食品饮料
