,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,000517.荣安地产,'1.93,'+0.52%,16.58%,14.16%,亏损,'1.05,'-1.00%,'61.45,'-13.45%,房地产开发
'2,600256.广汇能源,'5.13,'-3.21%,12.32%,10.96%,'14.29,'1.38,9.51%,'327.91,'-15.24%,石油行业
'3,002582.好想你,'10.70,'+3.48%,13.22%,9.32%,亏损,'1.54,'-1.00%,'47.90,'+40.91%,食品饮料
'4,603565.中谷物流,'11.17,'+6.69%,7.07%,8.34%,'15.65,'2.24,21.06%,'234.58,'+23.33%,物流行业
'5,603519.立霸股份,'12.94,'-0.38%,7.73%,7.86%,'22.41,'3.00,13.28%,'34.46,'+17.88%,家电行业
'6,601666.平煤股份,'7.76,'-0.51%,7.75%,7.78%,'15.77,'0.71,4.50%,'191.62,'-16.98%,煤炭行业
'7,600295.鄂尔多斯,'10.14,'-4.07%,5.92%,7.56%,'17.72,'1.40,9.04%,'200.32,'+10.86%,钢铁行业
'8,000672.上峰水泥,'8.78,'-2.01%,7.18%,7.32%,'15.62,'0.99,8.19%,'85.11,'+23.46%,水泥建材
'9,002191.劲嘉股份,'4.47,'+1.82%,6.71%,7.31%,亏损,'0.98,0.20%,'64.89,'+6.43%,包装材料
'10,600348.华阳股份,'7.01,'-0.14%,4.41%,7.19%,'14.82,'0.76,5.41%,'252.89,'+3.40%,煤炭行业
'11,300616.尚品宅配,'13.29,'-0.52%,6.77%,7.15%,亏损,'0.95,'-1.00%,'29.84,'+15.65%,装修建材
'12,000937.冀中能源,'5.95,'-0.83%,13.45%,7.12%,'36.34,'1.11,2.74%,'210.25,'+3.00%,煤炭行业
'13,603886.元祖股份,'13.14,'-1.28%,7.61%,7.08%,'18.21,'2.21,15.08%,'31.54,'-2.05%,食品饮料
'14,002327.富安娜,'7.30,'-0.55%,8.49%,7.02%,'15.14,'1.75,12.21%,'61.19,'-11.14%,纺织服装
'15,002088.鲁阳节能,'11.73,'+1.12%,6.82%,6.70%,'16.98,'2.34,13.51%,'60.19,'-1.78%,装修建材
'16,002233.塔牌集团,'9.17,'+2.69%,4.91%,6.57%,'27.37,'0.92,6.35%,'109.33,'+26.42%,水泥建材
'17,601699.潞安环能,'13.19,'+1.70%,3.11%,6.56%,'30.77,'0.85,3.39%,'394.57,'-4.55%,煤炭行业
'18,000983.山西焦煤,'7.02,'-0.57%,3.13%,6.56%,'18.43,'1.09,5.62%,'398.53,'-11.95%,煤炭行业
'19,603156.养元饮品,'21.88,'+2.43%,6.22%,6.43%,'20.99,'3.05,15.30%,'275.75,'+1.33%,食品饮料
'20,002677.浙江美大,'6.90,'+0.58%,4.35%,6.43%,'187.52,'3.03,1.62%,'44.58,'-2.08%,家电行业
'21,601717.中创智领,'21.71,'+6.16%,5.16%,6.27%,'10.20,'1.76,19.94%,'334.80,'+78.47%,汽车零部件
'22,002572.索菲亚,'13.65,'-0.94%,7.33%,5.93%,'13.27,'1.92,16.73%,'131.46,'-14.94%,装修建材
'23,600985.淮北矿业,'12.29,'-1.36%,6.10%,5.84%,'12.13,'0.80,7.21%,'331.00,'-7.18%,煤炭行业
'24,002271.东方雨虹,'11.70,'-0.51%,21.04%,5.80%,亏损,'1.23,'-1.00%,'279.48,'+4.22%,装修建材
'25,600546.山煤国际,'9.91,'+0.41%,6.96%,5.74%,'11.25,'1.23,10.29%,'196.46,'-9.89%,煤炭行业
'26,002303.美盈森,'4.28,'-0.47%,13.34%,5.71%,'21.90,'1.47,6.50%,'65.54,'+23.79%,包装材料
'27,600096.云天化,'27.34,'+0.48%,5.15%,5.61%,'9.78,'2.20,24.73%,'498.41,'+30.13%,化肥行业
'28,600894.广日股份,'10.29,'-0.29%,13.35%,5.61%,'14.30,'1.03,9.12%,'87.64,'-25.44%,专用设备
'29,603801.志邦家居,'10.03,'-0.20%,6.01%,5.59%,'14.47,'1.29,11.48%,'43.57,'-16.88%,装修建材
'30,601088.中国神华,'37.90,'+1.15%,5.96%,5.57%,'13.70,'1.88,13.47%,'6250.10,'-7.75%,煤炭行业
'31,600566.济川药业,'25.74,'-0.31%,8.13%,5.55%,'13.89,'1.75,14.20%,'236.98,'-4.62%,中药
'32,002884.凌霄泵业,'17.11,'-2.78%,5.84%,5.47%,'13.98,'2.79,21.41%,'61.20,'-0.46%,通用设备
'33,600729.重庆百货,'29.34,'-0.10%,4.64%,5.46%,'10.39,'1.69,18.96%,'129.24,'+5.22%,商业百货
'34,603897.长城科技,'26.80,'-0.37%,8.21%,5.44%,'21.31,'2.31,10.37%,'55.32,'+20.75%,电网设备
'35,002014.永新股份,'11.23,'-0.62%,5.52%,5.44%,'15.50,'2.87,20.06%,'68.78,'+7.92%,包装材料
'36,603948.建业股份,'32.09,'+10.01%,3.12%,5.42%,'27.44,'2.55,9.78%,'52.14,'+83.42%,化学制品
'37,600162.香江控股,'1.69,'+0.60%,0.65%,5.39%,亏损,'0.94,'-1.00%,'55.24,'-11.41%,房地产开发
'38,603208.江山欧派,'14.99,'+0.60%,1.27%,5.39%,亏损,'2.06,1.07%,'26.56,'-17.62%,装修建材
'39,601838.成都银行,'18.20,'-1.46%,4.90%,5.38%,'5.80,'0.87,16.36%,'771.40,'+11.47%,银行
'40,002563.森马服饰,'5.48,'+0.18%,6.39%,5.36%,'17.59,'1.31,8.10%,'147.64,'-17.10%,纺织服装
'41,603365.水星家纺,'17.15,'-0.17%,5.25%,5.32%,'14.76,'1.55,12.68%,'45.04,'+10.97%,纺织服装
'42,601166.兴业银行,'21.81,'-2.68%,4.86%,5.30%,'6.01,'0.52,8.94%,'4615.61,'+19.14%,银行
'43,601001.晋控煤业,'13.30,'+0.45%,5.68%,5.26%,'9.88,'1.22,12.62%,'222.60,'+2.67%,煤炭行业
'44,601916.浙商银行,'3.14,'-3.09%,4.97%,5.25%,亏损,'0.43,7.60%,'676.50,'+12.68%,银行
'45,600901.江苏金租,'5.60,'-2.10%,4.82%,5.18%,'10.75,'1.34,14.49%,'324.37,'+12.10%,多元金融
'46,002774.快意电梯,'11.07,'+1.19%,3.25%,5.17%,'48.83,'3.16,8.99%,'37.27,'+67.09%,专用设备
'47,601997.贵阳银行,'6.14,'-0.81%,4.72%,5.16%,'4.57,'0.33,7.59%,'224.49,'+7.41%,银行
'48,603551.奥普科技,'12.59,'+1.04%,6.82%,5.16%,'16.64,'3.74,22.46%,'49.12,'+23.87%,家电行业
'49,603878.武进不锈,'5.56,'+0.91%,1.62%,5.10%,'79.28,'1.19,2.33%,'31.20,'-1.09%,钢铁行业
'50,002032.苏泊尔,'51.61,'+0.35%,5.44%,5.10%,'20.18,'8.08,43.89%,'413.58,'+1.83%,家电行业
'51,002228.合兴包装,'3.36,'+0.90%,5.28%,5.10%,'36.10,'1.26,3.76%,'40.77,'+17.55%,包装材料
'52,601216.君正集团,'5.54,'-0.89%,2.71%,5.07%,'16.46,'1.67,11.92%,'467.47,'+8.30%,化学原料
'53,600036.招商银行,'41.98,'-2.12%,4.76%,5.06%,'7.14,'0.82,12.38%,'8660.03,'+11.44%,银行
'54,603833.欧派家居,'55.52,'+0.33%,4.47%,5.06%,'13.63,'1.82,14.62%,'338.20,'-16.01%,装修建材
'55,600642.申能股份,'8.08,0.00%,5.57%,5.04%,'11.24,'1.02,10.39%,'395.44,'-10.42%,电力行业
'56,603706.东方环宇,'21.36,'+1.23%,4.21%,5.02%,'20.93,'2.46,12.72%,'40.45,'+18.96%,燃气
'57,603096.新经典,'18.47,'+0.82%,4.33%,5.00%,'42.51,'1.55,4.44%,'28.49,'+1.78%,文化传媒
'58,002895.川恒股份,'27.09,'+0.78%,4.00%,5.00%,'14.98,'2.43,18.46%,'164.62,'+15.91%,化学原料
'59,605368.蓝天燃气,'9.93,'-1.10%,9.00%,4.99%,'19.45,'2.03,10.34%,'70.96,'-9.38%,燃气
'60,601101.昊华能源,'7.21,'-0.96%,6.35%,4.95%,'17.16,'0.87,5.30%,'103.82,'-6.78%,煤炭行业
'61,603071.物产环能,'13.65,'+2.79%,4.40%,4.93%,'12.05,'1.39,12.83%,'76.16,'+10.83%,贸易行业
'62,600694.大商股份,'19.35,'+1.42%,4.70%,4.92%,'13.22,'0.77,6.07%,'67.29,'-15.74%,商业百货
'63,002807.江阴银行,'4.80,0.00%,4.17%,4.92%,'5.56,'0.62,11.92%,'118.15,'+15.58%,银行
'64,601668.中国建筑,'5.56,'-0.54%,4.88%,4.91%,'5.45,'0.48,10.15%,'2297.41,'-3.01%,工程建设
'65,000683.博源化工,'6.63,'-0.90%,4.52%,4.91%,'15.35,'1.73,9.60%,'246.55,'+25.93%,化学原料
'66,601000.唐山港,'3.93,'-1.26%,5.09%,4.90%,'13.56,'1.14,8.72%,'232.89,'-12.45%,航运港口
'67,301109.军信股份,'15.43,0.00%,4.17%,4.89%,'18.92,'1.63,10.66%,'121.76,'+34.80%,环保行业
'68,600863.内蒙华电,'4.03,'-0.49%,5.46%,4.87%,'12.54,'1.45,11.38%,'263.03,'-2.01%,电力行业
'69,000915.华特达因,'33.47,'+0.54%,7.47%,4.86%,'15.54,'2.82,18.53%,'78.43,'+26.59%,化学制药
'70,002839.张家港行,'4.49,'-0.66%,4.45%,4.85%,'5.71,'0.55,10.26%,'109.75,'+7.59%,银行
'71,603855.华荣股份,'20.61,'-3.24%,4.85%,4.84%,'15.22,'3.50,24.13%,'69.56,'+6.62%,专用设备
'72,603967.中创物流,'11.65,'+0.52%,5.15%,4.83%,'16.34,'1.76,11.57%,'40.39,'+24.38%,物流行业
