序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'2879,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'2,SH600900.长江电力,'2361,'27.97,'-0.46%,6.19%,'20.27,'3.17,3.37%,16.00%,'6843.76,'-2.27%,电力行业
'3,SZ000858.五粮液,'2182,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'4,SH600036.招商银行,'2025,'45.12,'-0.29%,6.62%,'7.73,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'5,SZ000333.美的集团,'1988,'71.70,'+0.45%,14.64%,'13.96,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'6,SH600887.伊利股份,'1860,'27.57,'+0.07%,10.60%,'25.23,'2.99,4.43%,12.61%,'1743.90,'-4.80%,食品饮料
'7,SZ000651.格力电器,'1788,'46.90,'+0.39%,6.82%,'8.36,'1.83,2.14%,25.25%,'2616.98,'+5.43%,家电行业
'8,SZ000568.泸州老窖,'1654,'127.58,'+0.45%,2.22%,'13.91,'3.73,1.07%,27.99%,'1869.53,'+3.10%,酿酒行业
'9,SH601318.中国平安,'1644,'59.06,'-0.14%,5.94%,'9.69,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'10,SZ300760.迈瑞医疗,'1598,'228.31,'+0.12%,10.84%,'25.28,'7.16,3.37%,29.79%,'2764.73,'-9.69%,医疗器械
'11,SZ300750.宁德时代,'1567,'265.00,'-0.26%,13.78%,'23.24,'4.11,2.18%,23.77%,'11699.82,'+2.10%,电池
'12,SZ002594.比亚迪,'1558,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'13,SH600938.中国海油,'1535,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'14,SH601088.中国神华,'1515,'37.56,'-1.57%,1.04%,'13.48,'1.72,6.02%,12.74%,'6194.03,'-8.58%,煤炭行业
'15,SH601398.工商银行,'1409,'7.76,0.00%,0.92%,'7.66,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'16,SH601899.紫金矿业,'1350,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'17,SH600276.恒瑞医药,'1321,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'18,SH601919.中远海控,'1294,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'20,SZ300059.东方财富,'1229,'23.63,0.00%,3.06%,'37.29,'4.48,0.25%,13.23%,'3734.49,'-8.21%,互联网服务
'19,SH603259.药明康德,'1222,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'21,SZ002415.海康威视,'1208,'29.28,'-0.17%,0.44%,'22.45,'3.45,2.39%,16.51%,'2708.10,'-2.26%,计算机设备
'22,SH600436.片仔癀,'1109,'201.51,'-0.03%,3.19%,'39.75,'7.97,1.47%,20.29%,'1215.74,'-5.21%,中药
'23,SH600690.海尔智家,'1094,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'24,SH600809.山西汾酒,'1089,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'25,SZ300124.汇川技术,'1082,'65.86,'+1.62%,17.60%,'39.01,'5.91,0.63%,17.48%,'1746.86,'+13.14%,电子元件
'26,SH600309.万华化学,'1060,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'27,SH601225.陕西煤业,'1058,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'28,SH600941.中国移动,'1057,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
