排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'1,SZ300641.正丹股份,'24.03,'-0.62%,'0.30,'8.34,28.19%,0.39%,'3.91,2.91%,57.04%,'128,'-2.03%,化学制品
'2,SH601336.新华保险,'65.75,'-3.65%,'0.36,'6.85,18.81%,2.90%,'2.46,3.85%,34.53%,'1371,'+36.38%,保险
'3,SH600866.星湖科技,'7.91,'-3.54%,'0.37,'10.32,25.00%,2.18%,'1.62,4.80%,16.33%,'131,'+28.94%,化学制品
'4,SZ002807.江阴银行,'4.80,0.00%,'0.50,'5.48,11.03%,3.35%,'0.62,4.17%,11.92%,'118,'+15.58%,银行
'5,SH601128.常熟银行,'7.51,'-0.13%,'0.52,'6.15,11.94%,3.17%,'0.83,3.03%,14.38%,'249,'+12.65%,银行
'6,SH603323.苏农银行,'5.26,'-0.57%,'0.52,'5.30,10.53%,5.62%,'0.57,3.11%,11.36%,'106,'+12.63%,银行
'7,SZ000690.宝新能源,'4.62,'-0.86%,'0.52,'11.19,22.57%,0.99%,'0.81,3.25%,7.40%,'101,'+6.77%,电力行业
'8,SZ000544.中原环保,'8.84,'+1.96%,'0.54,'8.35,16.07%,0.53%,'0.84,2.94%,10.43%,'86,'+4.51%,公用事业
'9,SH601319.中国人保,'8.75,'-2.56%,'0.55,'8.28,14.96%,0.99%,'1.36,2.06%,17.36%,'3106,'+17.53%,保险
'10,SH600968.海油发展,'4.07,'+2.01%,'0.56,'10.69,17.82%,1.57%,'1.50,3.32%,14.66%,'414,'-1.55%,采掘行业
'11,SZ000680.山推股份,'9.68,'+0.52%,'0.56,'11.60,22.77%,3.57%,'2.56,0.93%,21.86%,'145,'+0.73%,工程机械
'12,SH600583.海油工程,'5.51,'-0.36%,'0.58,'11.81,21.82%,2.61%,'0.92,3.65%,7.96%,'244,'+4.61%,采掘行业
'13,SH601601.中国太保,'39.60,'-1.76%,'0.58,'7.98,14.38%,3.19%,'1.35,2.73%,17.38%,'2711,'+19.62%,保险
'14,SZ300724.捷佳伟创,'108.12,'+9.48%,'0.58,'11.16,21.25%,2.41%,'3.01,1.11%,30.52%,'376,'+74.95%,光伏设备
'15,SH601838.成都银行,'18.20,'-1.46%,'0.60,'5.80,9.68%,5.83%,'0.87,4.90%,16.36%,'771,'+11.47%,银行
'16,SZ002170.芭田股份,'11.33,'+3.09%,'0.61,'15.32,25.27%,1.07%,'2.97,2.46%,22.78%,'110,'+33.22%,化肥行业
'17,SZ002948.青岛银行,'4.94,'+0.61%,'0.62,'6.13,10.07%,1.83%,'0.62,3.24%,10.65%,'174,'+31.37%,银行
'18,SH600919.江苏银行,'10.72,'-1.02%,'0.65,'5.90,9.12%,5.33%,'0.60,4.86%,10.89%,'1967,'+14.66%,银行
'19,SH600961.株冶集团,'14.28,'+5.62%,'0.65,'15.30,23.52%,0.71%,'3.25,0.00%,23.01%,'153,'+81.45%,有色金属
'20,SZ002839.张家港行,'4.49,'-0.66%,'0.65,'5.70,8.76%,4.34%,'0.55,4.45%,10.26%,'110,'+7.59%,银行
'21,SH601058.赛轮轮胎,'14.43,'+1.83%,'0.66,'12.68,19.16%,4.31%,'2.31,2.63%,19.50%,'474,'+2.61%,橡胶制品
'22,SZ000404.长虹华意,'7.37,'-1.21%,'0.66,'10.67,18.34%,0.14%,'1.23,4.07%,11.99%,'51,'+3.87%,家电行业
'23,SZ002035.华帝股份,'6.50,'+0.62%,'0.66,'12.05,19.18%,7.30%,'1.45,4.62%,12.36%,'55,'-7.30%,家电行业
'24,SZ000921.海信家电,'25.17,'-1.02%,'0.67,'10.23,19.21%,3.05%,'2.18,4.89%,22.59%,'233,'-8.48%,家电行业
'25,SH600020.中原高速,'4.46,'+0.22%,'0.68,'10.80,16.89%,1.27%,'0.65,3.81%,6.12%,'100,'+9.39%,铁路公路
'26,SH600720.中交设计,'7.76,'+0.26%,'0.68,'10.58,16.92%,0.40%,'1.18,2.95%,12.28%,'178,'-9.88%,工程咨询服务
'27,SH601717.中创智领,'21.71,'+6.16%,'0.68,'9.04,15.03%,5.04%,'1.76,5.16%,19.94%,'335,'+78.47%,汽车零部件
'28,SH600066.宇通客车,'28.30,'+2.46%,'0.69,'14.31,25.33%,10.72%,'4.76,5.30%,34.51%,'627,'+11.45%,汽车整车
'29,SH600483.福能股份,'9.60,'-0.72%,'0.69,'9.07,13.39%,0.68%,'1.03,3.23%,12.16%,'267,'-0.60%,电力行业
'30,SZ002001.新和成,'24.83,'-0.28%,'0.69,'10.50,15.13%,6.24%,'2.50,2.82%,25.89%,'763,'+16.62%,化学制药
'31,SH600216.浙江医药,'15.78,'+0.77%,'0.70,'9.99,14.41%,7.41%,'1.35,2.34%,14.35%,'152,'+1.91%,化学制药
'32,SZ000951.中国重汽,'17.99,'-0.83%,'0.70,'13.82,22.10%,1.12%,'1.36,3.87%,10.09%,'211,'+8.42%,汽车整车
'33,SZ002966.苏州银行,'8.05,'-0.86%,'0.70,'6.86,9.89%,2.67%,'0.61,4.58%,9.92%,'360,'+1.56%,银行
'34,SZ300274.阳光电源,'99.20,'-0.67%,'0.70,'14.89,22.06%,4.20%,'4.83,1.09%,37.35%,'2057,'+36.64%,光伏设备
'35,SZ000411.英特集团,'12.30,'+5.67%,'0.71,'12.43,17.86%,0.33%,'1.37,3.12%,11.42%,'64,'+19.62%,医药商业
'36,SZ002984.森麒麟,'19.75,'-0.45%,'0.72,'11.49,16.36%,0.67%,'1.48,2.52%,13.54%,'205,'-18.66%,橡胶制品
'37,SZ300926.博俊科技,'28.82,'-0.59%,'0.72,'17.06,23.80%,0.33%,'4.06,0.50%,29.29%,'125,'+31.73%,汽车零部件
'38,SH603766.隆鑫通用,'12.58,'-0.47%,'0.73,'16.08,22.52%,5.19%,'2.74,3.18%,17.78%,'258,'+42.24%,交运设备
'39,SZ300577.开润股份,'22.99,'+2.73%,'0.73,'17.25,24.09%,0.13%,'2.43,1.47%,14.84%,'55,'-6.63%,纺织服装
'40,SZ002296.辉煌科技,'12.05,0.00%,'0.74,'15.83,21.27%,'-,'1.98,1.66%,13.17%,'47,'+25.13%,通信设备
'41,SZ000791.甘肃能源,'6.52,'+1.56%,'0.75,'9.69,22.52%,0.21%,'1.53,2.76%,19.27%,'212,'+11.25%,电力行业
'42,SZ002060.广东建工,'3.66,'+0.27%,'0.75,'12.95,17.22%,0.73%,'1.01,3.83%,8.01%,'137,'+4.13%,工程建设
'43,SH601107.四川成渝,'5.61,'-0.88%,'0.77,'10.74,14.53%,1.27%,'0.88,5.17%,9.07%,'121,'+12.30%,铁路公路
'44,SH601567.三星医疗,'23.27,'+1.04%,'0.77,'13.98,18.84%,3.40%,'2.69,3.84%,20.10%,'327,'-21.35%,电网设备
'45,SZ000612.焦作万方,'9.19,'+3.49%,'0.77,'14.32,18.38%,0.56%,'1.65,1.41%,12.12%,'110,'+45.65%,有色金属
'46,SH601137.博威合金,'25.25,'-2.58%,'0.78,'14.75,19.08%,0.61%,'2.38,1.98%,17.50%,'205,'+28.04%,有色金属
'47,SH601577.长沙银行,'9.63,'+0.21%,'0.79,'4.82,6.07%,3.61%,'0.48,4.36%,10.79%,'387,'+12.90%,银行
'48,SH603551.奥普科技,'12.59,'+1.04%,'0.81,'16.00,20.56%,'-,'3.74,6.82%,22.46%,'49,'+23.87%,家电行业
'49,SH600312.平高电气,'15.90,'+0.57%,'0.83,'18.69,23.10%,6.12%,'1.95,1.82%,10.82%,'216,'-16.43%,电网设备
'50,SH600420.国药现代,'11.24,'+0.27%,'0.83,'14.53,18.22%,0.69%,'1.10,2.67%,7.79%,'151,'-4.14%,化学制药
'51,SZ002083.孚日股份,'4.89,'-0.41%,'0.83,'12.44,15.14%,'-,'1.02,5.60%,8.76%,'46,'+3.08%,纺织服装
'52,SH600211.西藏药业,'48.39,'+4.56%,'0.85,'15.67,20.88%,0.80%,'3.75,3.87%,25.03%,'156,'+37.14%,生物制品
