排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'1,600132.重庆啤酒,'55.07,78.19%,64.93%,查看ROE详情,6.24%,'22.42,'16.47,4.36%,'266.52,'-11.18%,酿酒行业
'2,600961.株冶集团,'14.28,54.64%,23.01%,查看ROE详情,0.71%,'15.19,'3.25,'-,'153.21,'+81.45%,有色金属
'3,600809.山西汾酒,'200.60,40.19%,36.95%,查看ROE详情,4.02%,'19.81,'6.82,3.02%,'2447.25,'+12.74%,酿酒行业
'4,600779.水井坊,'47.01,35.32%,26.96%,查看ROE详情,2.24%,'20.25,'4.76,2.06%,'229.18,'-10.15%,酿酒行业
'5,600519.贵州茅台,'1476.10,34.61%,39.34%,查看ROE详情,5.80%,'20.55,'7.75,3.50%,'18484.76,'-1.24%,酿酒行业
'6,002032.苏泊尔,'51.61,32.87%,43.89%,查看ROE详情,4.34%,'20.18,'8.08,5.44%,'413.58,'+1.83%,家电行业
'7,002847.盐津铺子,'75.53,32.21%,36.82%,查看ROE详情,3.32%,'32.74,'9.46,2.12%,'206.03,'+22.19%,食品饮料
'8,300760.迈瑞医疗,'246.48,31.54%,23.56%,查看ROE详情,10.84%,'33.16,'7.65,3.12%,'2988.43,'-2.51%,医疗器械
'9,000568.泸州老窖,'135.85,31.30%,29.68%,查看ROE详情,2.22%,'15.32,'4.30,4.38%,'1999.65,'+13.86%,酿酒行业
'10,688516.奥特维,'42.18,29.89%,20.48%,查看ROE详情,1.15%,'17.64,'3.43,5.83%,'132.95,'+2.16%,光伏设备
'11,603195.公牛集团,'47.09,28.80%,28.78%,查看ROE详情,2.97%,'23.14,'5.79,3.64%,'851.66,'-3.00%,家用轻工
'12,300628.亿联网络,'38.04,28.54%,29.82%,查看ROE详情,3.14%,'20.61,'5.60,4.98%,'481.80,'+2.27%,通信设备
'13,600803.新奥股份,'18.76,28.10%,19.27%,查看ROE详情,3.88%,'14.06,'2.51,5.49%,'581.01,'-8.73%,燃气
'14,300033.同花顺,'397.41,27.87%,29.37%,查看ROE详情,2.29%,'112.16,'31.16,0.75%,'2136.48,'+39.64%,软件开发
'15,603444.吉比特,'460.00,27.86%,20.94%,查看ROE详情,9.68%,'31.20,'6.26,2.17%,'331.39,'+113.30%,游戏
'16,002027.分众传媒,'8.70,27.80%,33.16%,查看ROE详情,5.03%,'25.46,'7.69,3.79%,'1256.47,'+27.33%,文化传媒
'17,603605.珀莱雅,'84.43,27.20%,32.11%,查看ROE详情,11.99%,'20.72,'5.84,1.41%,'334.35,'+1.12%,美容护理
'18,002555.三七互娱,'19.65,27.00%,21.90%,查看ROE详情,6.01%,'16.08,'3.34,5.09%,'434.70,'+30.63%,游戏
'19,688036.传音控股,'90.00,26.42%,20.30%,查看ROE详情,2.82%,'34.09,'5.18,3.33%,'1026.32,'-3.29%,消费电子
'20,601225.陕西煤业,'20.33,26.11%,21.88%,查看ROE详情,2.48%,'11.46,'2.22,6.63%,'1970.99,'-7.10%,煤炭行业
'21,300394.天孚通信,'222.16,26.02%,38.79%,查看ROE详情,2.31%,'112.14,'36.85,0.32%,'1727.11,'+242.33%,通信设备
'22,603198.迎驾贡酒,'45.15,25.74%,25.38%,查看ROE详情,1.12%,'15.75,'3.70,3.32%,'361.20,'-13.14%,酿酒行业
'23,603288.海天味业,'41.22,25.44%,20.25%,查看ROE详情,3.52%,'36.77,'6.16,2.09%,'2292.08,'-8.42%,食品饮料
'24,000895.双汇发展,'25.61,25.00%,24.14%,查看ROE详情,1.81%,'18.50,'4.26,8.04%,'887.30,'+4.15%,食品饮料
'25,002690.美亚光电,'20.26,24.85%,27.89%,查看ROE详情,5.87%,'27.12,'7.12,3.46%,'178.74,'+42.41%,专用设备
