序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1周内涨,市值.亿,今年来,行业
'1,300750.宁德时代,'265.00,'-0.26%,'18,13.78%,'23.24,'4.11,2.18%,23.77%,'+0.41%,'11699.82,'+2.10%,电池
'2,600011.华能国际,'7.58,'+0.40%,'16,2.09%,'9.80,'0.84,3.56%,8.61%,'+3.41%,'833.63,'+16.18%,电力行业
'3,000921.海信家电,'25.40,'-0.16%,'13,3.05%,'12.95,'2.20,3.99%,22.59%,'-0.97%,'235.39,'-12.11%,家电行业
'4,603259.药明康德,'93.58,'+0.31%,'11,12.13%,'24.09,'4.49,1.43%,24.03%,'-2.79%,'2325.59,'+73.71%,医疗服务
'5,689009.九号公司-WD,'65.46,'+0.38%,'11,'-,'26.28,'6.95,1.72%,27.90%,'+8.16%,'470.95,'+40.40%,交运设备
'6,300416.苏试试验,'16.57,'+1.35%,'11,1.72%,'36.59,'3.17,0.92%,9.42%,0.00%,'83.15,'+42.42%,专业服务
'7,002271.东方雨虹,'12.55,'+0.56%,'9,15.58%,亏损,'1.31,12.32%,'-1.00%,'+3.74%,'298.11,'+3.72%,装修建材
'8,600900.长江电力,'27.97,'-0.46%,'7,6.19%,'20.27,'3.17,3.37%,16.00%,'+0.47%,'6843.76,'-2.27%,电力行业
'9,002138.顺络电子,'28.90,'-1.30%,'7,6.23%,'26.36,'3.81,2.05%,15.68%,'+0.93%,'236.09,'-6.33%,电子元件
'10,002311.海大集团,'58.37,'+0.78%,'6,3.78%,'18.67,'3.95,1.90%,22.53%,'+2.66%,'963.64,'+21.26%,农牧饲渔
'11,000625.长安汽车,'12.91,'-0.08%,'6,1.33%,'39.30,'1.64,2.28%,9.93%,'+0.47%,'1068.80,'-1.13%,汽车整车
'12,605499.东鹏饮料,'298.03,'-2.23%,'6,9.90%,'40.51,'17.74,1.48%,50.26%,'+5.95%,'1549.79,'+20.99%,食品饮料
'13,688475.萤石网络,'35.22,'+0.46%,'6,0.30%,'54.96,'5.02,0.99%,9.72%,'-0.98%,'277.36,'+17.95%,家电行业
'14,002415.海康威视,'29.28,'-0.17%,'6,0.44%,'22.45,'3.45,2.39%,16.51%,'+4.38%,'2708.10,'-2.26%,计算机设备
'15,601088.中国神华,'37.56,'-1.57%,'6,1.04%,'13.48,'1.72,6.02%,12.74%,'-1.57%,'6194.03,'-8.58%,煤炭行业
'16,601168.西部矿业,'17.47,'+0.58%,'6,4.92%,'13.41,'2.51,5.72%,19.66%,'+4.67%,'416.31,'+15.73%,有色金属
'17,002594.比亚迪,'104.35,'-0.49%,'5,7.07%,'23.09,'4.10,1.26%,23.82%,'-0.36%,'5697.88,'+12.07%,汽车整车
'18,605507.国邦医药,'23.11,'-2.53%,'5,0.79%,'16.09,'1.60,2.62%,10.66%,'-0.60%,'129.14,'+14.18%,化学制药
'19,600885.宏发股份,'24.57,'+0.20%,'5,20.32%,'21.67,'3.61,1.50%,18.76%,'+0.16%,'358.66,'+9.88%,电网设备
'20,002458.益生股份,'8.92,'-1.00%,'4,0.53%,'31.13,'2.32,2.22%,7.54%,'+1.69%,'99.69,'-5.01%,农牧饲渔
'21,688521.芯原股份,'101.88,'-0.10%,'4,1.11%,亏损,'27.87,0.00%,'-1.00%,'+2.60%,'535.60,'+94.32%,半导体
'22,688313.仕佳光子,'57.15,'-0.03%,'4,0.33%,'100.76,'18.85,0.10%,21.30%,'+5.64%,'262.21,'+249.25%,通信设备
'23,688100.威胜信息,'34.91,'+0.06%,'4,0.38%,'26.67,'5.17,1.49%,21.00%,'+2.38%,'171.65,'-2.13%,通信设备
'24,605128.上海沿浦,'36.39,'+2.83%,'4,0.25%,'49.67,'3.78,0.72%,9.37%,'+3.97%,'76.83,'+47.56%,汽车零部件
'25,601886.江河集团,'7.50,'+2.18%,'3,3.87%,'20.16,'1.13,7.33%,8.13%,'-4.58%,'84.98,'+48.70%,装修装饰
'26,002768.国恩股份,'39.05,'+4.13%,'3,2.01%,'19.94,'2.02,0.75%,13.78%,'+3.99%,'101.72,'+71.05%,塑料制品
'27,300866.安克创新,'131.43,'+5.80%,'3,8.93%,'33.03,'7.10,1.68%,25.95%,'+0.13%,'664.60,'+36.66%,消费电子
'28,002262.恩华药业,'23.31,'-1.56%,'3,0.75%,'19.90,'3.14,1.52%,16.86%,'+7.29%,'240.63,'-2.69%,化学制药
'29,600028.中国石化,'5.71,0.00%,'3,0.91%,'16.07,'0.83,5.01%,5.42%,'-4.99%,'5551.96,'-12.46%,石油行业
'30,603986.兆易创新,'118.28,'+0.24%,'3,6.12%,'73.37,'4.68,0.29%,7.05%,'-2.35%,'785.45,'+11.06%,半导体
'31,002533.金杯电工,'10.94,'-0.27%,'3,2.19%,'15.40,'1.96,4.10%,14.83%,'+9.15%,'80.51,'+14.00%,电网设备
'32,000408.藏格矿业,'50.00,'+2.46%,'2,1.98%,'24.90,'4.87,0.54%,21.37%,'+6.20%,'766.27,'+80.31%,化肥行业
