序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1年内涨,市值.亿,今年来,行业
'1,002594.比亚迪,'104.35,'-0.49%,'218,7.07%,'23.09,'4.10,1.26%,23.82%,'-58.53%,'5697.88,'+12.07%,汽车整车
'2,605499.东鹏饮料,'298.03,'-2.23%,'163,9.90%,'40.51,'17.74,1.48%,50.26%,'+69.85%,'1549.79,'+20.99%,食品饮料
'3,600519.贵州茅台,'1423.88,'-0.27%,'137,5.80%,'20.09,'6.92,3.62%,35.74%,'+4.95%,'17886.75,'-4.74%,酿酒行业
'4,601633.长城汽车,'22.61,'+1.57%,'123,1.37%,'21.08,'2.34,1.99%,14.52%,'-0.83%,'1410.90,'-12.35%,汽车整车
'5,300750.宁德时代,'265.00,'-0.26%,'116,13.78%,'23.24,'4.11,2.18%,23.77%,'+45.77%,'11699.82,'+2.10%,电池
'6,000625.长安汽车,'12.91,'-0.08%,'113,1.33%,'39.30,'1.64,2.28%,9.93%,'+10.33%,'1068.80,'-1.13%,汽车整车
'7,600066.宇通客车,'25.65,'-1.65%,'94,10.72%,'16.04,'4.01,5.85%,29.34%,'+30.53%,'567.88,'+1.02%,汽车整车
'8,600600.青岛啤酒,'67.90,0.00%,'94,3.29%,'22.92,'3.01,3.24%,14.90%,'+21.71%,'481.50,'-13.43%,酿酒行业
'9,601088.中国神华,'37.56,'-1.57%,'90,1.04%,'13.48,'1.72,6.02%,12.74%,'+2.65%,'6194.03,'-8.58%,煤炭行业
'10,600160.巨化股份,'27.56,'+0.73%,'84,3.15%,'30.95,'4.00,0.83%,14.03%,'+92.73%,'744.05,'+15.26%,化学制品
'11,000729.燕京啤酒,'12.87,'+0.23%,'84,3.39%,'33.17,'2.45,1.48%,7.78%,'+32.92%,'361.90,'+8.48%,酿酒行业
'12,603369.今世缘,'39.45,'-0.33%,'83,2.75%,'14.08,'2.88,3.04%,22.08%,'+3.93%,'491.86,'-10.32%,酿酒行业
'13,601127.赛力斯,'128.70,'+0.74%,'82,3.36%,'35.92,'9.09,0.99%,37.25%,'+69.21%,'2102.14,'-2.78%,汽车整车
