排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'1,SH601186.中国铁建,'8.09,'-0.49%,'13.08,1.27%,'5.48,'5.23,'0.32,3.71%,6.39%,'930.61,'-8.61%,工程建设
'2,SZ000498.山东路桥,'6.31,'+4.82%,'12.67,1.48%,'4.37,'4.20,'0.39,3.17%,9.60%,'97.96,'+9.13%,工程建设
'3,SH601668.中国建筑,'5.56,'-0.54%,'11.93,3.88%,'5.45,'4.87,'0.48,4.88%,10.15%,'2297.41,'-3.01%,工程建设
'4,SH601390.中国中铁,'5.63,'-0.88%,'11.17,3.04%,'6.48,'5.48,'0.38,3.16%,7.24%,'1156.04,'-9.08%,工程建设
'5,SH600502.安徽建工,'4.63,'-2.73%,'11.07,1.29%,'6.66,'6.19,'0.50,5.83%,8.56%,'79.48,'+2.50%,工程建设
'6,SH601919.中远海控,'15.19,'-0.59%,'11.04,3.50%,'4.74,'4.73,'1.01,10.25%,22.49%,'1915.45,'+4.66%,航运港口
'7,SH600248.陕建股份,'3.86,'-1.53%,'10.39,0.43%,'8.49,'5.94,'0.41,3.64%,7.84%,'144.35,'-11.81%,工程建设
'8,SH600820.隧道股份,'6.53,'+1.24%,'10.09,1.54%,'7.87,'7.38,'0.56,4.90%,8.47%,'205.31,'-6.09%,工程建设
'9,SH601800.中国交建,'9.03,'-1.42%,'9.57,0.96%,'8.50,'6.82,'0.46,3.34%,6.83%,'1070.97,'-10.67%,工程建设
'10,SH600153.建发股份,'10.80,'-7.22%,'9.44,3.69%,'18.08,'12.10,'0.44,6.59%,3.64%,'313.15,'+10.17%,贸易行业
'11,SZ000651.格力电器,'41.41,'-2.79%,'8.76,6.82%,'7.69,'7.15,'1.71,7.24%,25.64%,'2319.54,'-2.81%,家电行业
'12,SZ000543.皖能电力,'7.21,'+0.28%,'8.40,0.33%,'7.95,'7.88,'1.01,4.42%,13.66%,'163.44,'-4.71%,电力行业
'13,SH600023.浙能电力,'5.09,'+0.20%,'8.27,1.28%,'9.82,'9.30,'0.93,5.70%,10.31%,'682.50,'-5.20%,电力行业
'14,SH600008.首创环保,'3.14,'+0.32%,'8.23,1.90%,'14.36,'6.51,'0.76,5.41%,11.88%,'230.49,'+1.02%,公用事业
'15,SH600970.中材国际,'9.14,'-0.87%,'8.19,2.35%,'9.43,'8.03,'1.12,4.92%,14.62%,'241.29,'+1.36%,工程建设
'16,SH600219.南山铝业,'3.99,'-1.72%,'8.16,6.45%,'8.64,'8.80,'0.90,4.28%,10.49%,'463.39,'+4.59%,有色金属
'17,SH601857.中国石油,'8.71,'-0.11%,'8.13,0.53%,'9.61,'9.96,'1.02,5.40%,10.51%,'14103.41,'+0.22%,石油行业
'18,SH601107.四川成渝,'5.61,'-0.88%,'8.07,1.27%,'11.20,'10.74,'0.88,5.17%,9.07%,'121.33,'+12.30%,铁路公路
'19,SH600035.楚天高速,'4.13,'-0.72%,'8.05,1.77%,'9.95,'9.14,'0.76,4.12%,8.53%,'66.50,'-6.67%,铁路公路
'20,SZ000726.鲁泰Ａ,'6.91,'-1.99%,'8.00,'-,'12.71,'9.40,'0.58,3.62%,6.32%,'40.85,'+7.73%,纺织服装
'21,SZ000719.中原传媒,'12.52,'-3.84%,'7.99,4.79%,'8.92,'10.60,'1.12,4.79%,10.85%,'128.11,'+15.52%,文化传媒
'22,SH600269.赣粤高速,'5.05,'-0.20%,'7.91,1.98%,'11.16,'8.33,'0.62,3.37%,7.67%,'117.94,'-7.01%,铁路公路
'23,SH600704.物产中大,'5.82,'-1.19%,'7.90,2.51%,'10.11,'8.49,'0.71,3.62%,8.83%,'300.96,'+19.32%,物流行业
'24,SH600020.中原高速,'4.46,'+0.22%,'7.89,1.27%,'11.49,'10.80,'0.65,3.81%,6.12%,'100.23,'+9.39%,铁路公路
'25,SH600461.洪城环境,'9.01,'-0.33%,'7.88,0.63%,'9.98,'9.69,'1.23,5.15%,13.33%,'115.70,'-4.92%,公用事业
'26,SH600096.云天化,'27.34,'+0.48%,'7.88,12.59%,'9.78,'9.49,'2.20,5.15%,24.73%,'498.41,'+30.13%,化肥行业
'27,SH600177.雅戈尔,'7.37,'-1.60%,'7.86,1.76%,'13.30,'13.02,'0.80,6.78%,6.43%,'340.75,'-13.87%,纺织服装
'28,SH603368.柳药集团,'18.29,'+0.66%,'7.86,0.82%,'9.05,'8.86,'0.94,4.12%,10.72%,'72.64,'+7.03%,医药商业
'29,SH600582.天地科技,'6.09,'-1.30%,'7.85,1.80%,'12.45,'7.95,'1.00,5.21%,13.04%,'252.04,'+3.78%,专用设备
'30,SZ002091.江苏国泰,'8.15,'+0.87%,'7.84,1.73%,'12.50,'11.45,'0.84,4.91%,7.49%,'132.65,'+15.99%,贸易行业
'31,SH600642.申能股份,'8.08,0.00%,'7.82,1.25%,'11.24,'10.33,'1.02,5.57%,10.39%,'395.44,'-10.42%,电力行业
'32,SH600694.大商股份,'19.35,'+1.42%,'7.75,4.50%,'13.22,'12.79,'0.77,4.70%,6.07%,'67.29,'-15.74%,商业百货
'33,SH601717.中创智领,'21.71,'+6.16%,'7.73,5.04%,'10.20,'9.04,'1.76,5.16%,19.94%,'334.80,'+78.47%,汽车零部件
'34,SH600757.长江传媒,'9.03,'-2.38%,'7.72,2.09%,'9.51,'9.98,'1.13,4.54%,11.67%,'109.59,'-1.57%,文化传媒
'35,SZ000900.现代投资,'4.27,'-0.23%,'7.70,1.43%,'17.75,'16.97,'0.52,3.51%,3.08%,'64.81,'+0.44%,铁路公路
'36,SH600938.中国海油,'25.94,'+1.01%,'7.70,1.99%,'9.98,'9.65,'1.57,4.94%,16.97%,'775.61,'-10.09%,石油行业
'37,SH603889.新澳股份,'6.03,0.00%,'7.69,0.34%,'10.55,'10.18,'1.26,4.98%,12.87%,'44.05,'-9.55%,纺织服装
'38,SH600866.星湖科技,'7.91,'-3.54%,'7.67,2.18%,'9.30,'10.32,'1.62,4.80%,16.33%,'131.42,'+28.94%,化学制品
'39,SZ000685.中山公用,'10.23,'-1.54%,'7.58,1.09%,'10.96,'11.07,'0.86,4.22%,7.94%,'150.90,'+16.43%,公用事业
'40,SH600873.梅花生物,'10.98,'-0.72%,'7.57,2.82%,'10.36,'10.32,'2.09,5.48%,20.85%,'313.24,'+13.81%,化学制品
'41,SH600901.江苏金租,'5.60,'-2.10%,'7.55,1.31%,'10.75,'10.56,'1.34,4.82%,14.49%,'324.37,'+12.10%,多元金融
