排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600015.华夏银行,'8.08,0.00%,'13.98,3.22%,'4.81,'4.79,'0.35,5.01%,7.77%,'1285.93,'+6.13%,银行
'2,SH601997.贵阳银行,'6.46,'-0.92%,'13.71,4.23%,'4.73,'4.67,'0.35,4.49%,7.75%,'236.19,'+13.00%,银行
'3,SZ000498.山东路桥,'5.88,'-0.34%,'13.12,1.48%,'4.24,'3.94,'0.38,3.39%,9.86%,'91.59,'+1.70%,工程建设
'4,SH601169.北京银行,'6.52,'-0.46%,'12.99,4.46%,'5.36,'5.38,'0.38,4.91%,7.35%,'1378.52,'+11.25%,银行
'5,SH601186.中国铁建,'8.10,'-0.25%,'12.97,1.27%,'5.36,'5.15,'0.33,3.70%,6.56%,'931.76,'-8.50%,工程建设
'6,SH600016.民生银行,'4.98,'-1.39%,'12.15,3.50%,'6.87,'6.90,'0.33,3.86%,4.89%,'1766.01,'+21.98%,银行
'7,SH601818.光大银行,'4.12,0.00%,'11.97,2.89%,'5.79,'5.83,'0.42,4.59%,7.25%,'1911.96,'+11.71%,银行
'8,SZ000001.平安银行,'12.46,'-0.08%,'11.82,4.27%,'5.50,'5.54,'0.48,4.88%,8.81%,'2419.92,'+9.85%,银行
'9,SH601668.中国建筑,'5.66,'-0.18%,'11.68,3.88%,'5.61,'5.05,'0.49,4.80%,10.06%,'2338.73,'-1.26%,工程建设
'10,SH601919.中远海控,'15.63,'+1.10%,'11.42,3.50%,'4.49,'4.48,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'11,SH601577.长沙银行,'10.21,'+0.20%,'11.30,3.61%,'5.19,'5.19,'0.52,4.11%,10.71%,'410.60,'+19.70%,银行
'12,SH601916.浙商银行,'3.44,'-0.58%,'11.20,3.05%,'6.19,'6.21,'0.47,4.53%,7.72%,'741.13,'+23.45%,银行
'13,SH601390.中国中铁,'5.68,0.00%,'11.17,3.04%,'6.19,'5.32,'0.39,3.13%,7.51%,'1166.31,'-8.28%,工程建设
'14,SH600502.安徽建工,'4.83,'-0.41%,'11.11,1.29%,'6.66,'6.16,'0.50,5.59%,9.14%,'82.91,'+6.93%,工程建设
'15,SZ001227.兰州银行,'2.47,'-0.80%,'10.82,2.20%,'7.94,'7.46,'0.40,4.06%,5.51%,'141.82,'+4.58%,银行
'16,SZ002839.张家港行,'4.53,'-0.88%,'10.66,4.34%,'5.96,'5.89,'0.56,4.38%,10.07%,'111.71,'+8.55%,银行
'17,SH601166.兴业银行,'22.98,'-0.48%,'10.65,3.53%,'6.38,'6.34,'0.54,4.61%,8.89%,'4863.22,'+25.53%,银行
'18,SH601229.上海银行,'10.50,'+0.10%,'10.57,4.57%,'6.28,'6.29,'0.58,4.76%,9.41%,'1491.94,'+17.17%,银行
'19,SH600248.陕建股份,'3.91,0.00%,'10.48,0.43%,'6.86,'5.18,'0.46,3.59%,9.74%,'146.22,'-10.67%,工程建设
'20,SZ002807.江阴银行,'4.76,'-0.83%,'10.20,3.35%,'5.92,'5.78,'0.63,4.17%,11.30%,'118.15,'+14.61%,银行
'21,SH600908.无锡银行,'6.15,'-0.49%,'9.97,1.56%,'6.10,'5.94,'0.57,3.58%,9.97%,'134.97,'+7.69%,银行
'22,SH601077.渝农商行,'6.91,0.00%,'9.97,4.28%,'6.89,'6.69,'0.59,4.41%,9.04%,'611.10,'+19.81%,银行
'23,SH601998.中信银行,'8.38,'-0.59%,'9.86,0.91%,'6.83,'6.77,'0.58,4.15%,8.75%,'3415.94,'+22.41%,银行
'24,SZ002958.青农商行,'3.55,'-0.56%,'9.81,2.77%,'7.30,'6.74,'0.48,3.36%,7.32%,'198.34,'+20.50%,银行
'25,SH600820.隧道股份,'6.64,'-0.60%,'9.81,1.54%,'8.47,'7.65,'0.58,4.97%,8.31%,'208.77,'-7.65%,工程建设
'26,SH601665.齐鲁银行,'6.24,'-0.32%,'9.79,2.54%,'6.26,'6.13,'0.66,4.06%,11.31%,'317.45,'+16.75%,银行
'27,SH600153.建发股份,'10.20,'-0.10%,'9.75,3.69%,'17.19,'10.11,'0.42,6.98%,4.11%,'295.75,'+4.05%,贸易行业
'28,SH600919.江苏银行,'11.69,'-0.60%,'9.72,5.33%,'6.67,'6.58,'0.69,4.45%,11.42%,'2145.27,'+25.03%,银行
'29,SH603323.苏农银行,'5.42,'-0.73%,'9.71,5.62%,'5.74,'5.55,'0.60,3.02%,11.43%,'109.40,'+16.06%,银行
'30,SH601963.重庆银行,'10.33,'-0.48%,'9.69,2.94%,'7.01,'6.90,'0.58,4.01%,8.62%,'195.81,'+15.95%,银行
'31,SH601838.成都银行,'18.93,'-0.37%,'9.68,5.83%,'6.18,'6.16,'0.91,4.71%,15.96%,'802.34,'+15.94%,银行
'32,SH601528.瑞丰银行,'5.71,'-0.70%,'9.67,4.37%,'6.45,'5.75,'0.59,3.50%,10.82%,'112.04,'+5.43%,银行
'33,SH601187.厦门银行,'7.10,0.00%,'9.64,2.96%,'7.50,'7.53,'0.59,4.37%,7.96%,'187.38,'+28.87%,银行
'34,SH601800.中国交建,'9.21,'-0.11%,'9.64,0.96%,'7.90,'6.60,'0.47,3.28%,7.22%,'1092.32,'-8.89%,工程建设
'35,SH601860.紫金银行,'3.01,'-0.66%,'9.53,2.53%,'6.73,'6.72,'0.55,3.32%,8.42%,'110.20,'+9.42%,银行
'36,SH601825.沪农商行,'9.33,'-0.53%,'9.36,1.83%,'7.35,'7.32,'0.72,4.63%,10.16%,'899.83,'+11.75%,银行
