序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'1,600885.宏发股份,'26.08,'-0.38%,20.32%,'66.18,'-1.43%,'-2.19%,'-1.50%,'-0.03%,'23.00,1.41%,'380.70,'+16.64%,电网设备
'2,002028.思源电气,'96.36,'+10.00%,19.90%,'112.96,'-0.24%,'+5.10%,'+13.15%,'+16.32%,'32.99,0.52%,'750.07,'+33.45%,电网设备
'3,603939.益丰药房,'23.51,'-0.97%,19.58%,'58.09,'-2.92%,'+0.40%,'+2.92%,'+2.81%,'18.17,2.76%,'285.04,'-0.95%,医药商业
'4,600660.福耀玻璃,'65.81,'+0.23%,18.64%,'212.83,'+0.80%,'-4.67%,'+0.84%,'+4.63%,'20.03,2.74%,'1318.17,'+8.83%,玻璃玻纤
'5,002472.双环传动,'36.60,'-1.77%,17.92%,'50.88,'+1.31%,'+6.44%,'+12.75%,'+12.82%,'28.18,0.62%,'310.84,'+20.38%,汽车零部件
'6,300124.汇川技术,'75.90,'+1.16%,17.60%,'306.38,'-1.55%,'-3.63%,'-5.76%,'-3.60%,'44.10,0.54%,'2045.81,'+30.39%,电子元件
'7,002270.华明装备,'19.06,'-1.04%,17.44%,'26.17,'+6.14%,'+3.42%,'+15.64%,%,'26.33,2.86%,'170.82,'+14.74%,电网设备
'8,300012.华测检测,'13.51,'-0.29%,15.96%,'31.39,'+0.47%,'+4.05%,'+3.54%,'+0.59%,'25.35,0.74%,'227.35,'+9.68%,专业服务
'9,002271.东方雨虹,'11.70,'-0.51%,15.58%,'39.94,'+1.22%,'+7.37%,'+4.49%,'+2.26%,'-,21.04%,'279.48,'+4.22%,装修建材
'10,000333.美的集团,'74.03,'+0.43%,14.64%,'741.57,'-1.65%,'-3.75%,'-5.08%,'-3.22%,'13.60,4.73%,'5200.41,'+3.17%,家电行业
'11,300750.宁德时代,'304.00,'-0.71%,13.78%,'1530.78,'+1.18%,'+2.79%,'+4.47%,'+6.92%,'26.58,2.23%,'13386.33,'+17.55%,电池
'12,600406.国电南瑞,'21.60,'-0.69%,13.56%,'244.11,'-0.34%,'-1.04%,'-3.90%,'-3.59%,'22.92,2.64%,'1734.93,'-12.69%,电网设备
'13,603501.豪威集团,'145.20,'+1.38%,13.37%,'207.70,'+0.78%,'-2.01%,'+3.44%,'+6.14%,'48.16,0.29%,'1751.13,'+39.32%,半导体
