序	代码	股票	价	涨	股东数.人	百分位	北上持股	扣非PE	PB	股息	市值.亿	今年来	行业
1	600035	楚天高速	4.13	-0.72%	43,736	0.00%	1.77%	9.95	0.76	4.12%	67	-6.67%	铁路公路
2	600569	安阳钢铁	2.20	0.00%	82,813	0.00%	1.02%	-	2.34	-	63	+18.28%	钢铁行业
3	600665	天地源	3.36	+0.30%	29,920	0.00%	-	-	1.06	-	29	+7.35%	房地产开发
4	600901	江苏金租	5.60	-2.10%	53,183	0.00%	1.31%	10.75	1.34	4.82%	324	+12.10%	多元金融
5	600905	三峡能源	4.24	-0.24%	531,779	0.00%	3.01%	23.23	1.37	1.58%	1212	-1.44%	电力行业
6	600906	财达证券	7.66	-0.78%	79,281	0.00%	0.85%	30.39	2.07	1.31%	249	+9.33%	证券
7	600909	华安证券	6.43	-1.08%	115,574	0.00%	1.82%	16.75	1.30	1.56%	301	+7.91%	证券
8	600918	中泰证券	7.11	-1.39%	106,162	0.00%	1.48%	41.68	1.15	0.50%	492	+8.65%	证券
9	600928	西安银行	4.23	+1.20%	52,609	0.00%	2.00%	7.04	0.48	2.36%	188	+20.00%	银行
10	600935	华塑股份	2.51	+1.21%	52,178	0.00%	0.25%	-	1.51	0.12%	90	-0.40%	化学原料
11	600936	广西广电	4.04	+0.25%	40,492	0.00%	0.36%	-	21.83	-	68	+40.28%	文化传媒
12	600956	新天绿能	7.61	-1.30%	38,572	0.00%	0.24%	19.76	1.35	2.76%	180	+3.65%	燃气
13	600959	江苏有线	3.71	+0.54%	99,514	0.00%	0.97%	-	0.82	0.59%	186	+11.43%	文化传媒
14	600968	海油发展	4.07	+2.01%	66,713	0.00%	1.57%	10.06	1.50	3.32%	414	-1.55%	采掘行业
15	601003	柳钢股份	5.86	+1.91%	36,286	0.00%	0.70%	-	1.72	-	150	+112.32%	钢铁行业
16	601098	中南传媒	13.17	+0.08%	21,192	0.00%	4.78%	13.08	1.50	4.18%	237	-9.28%	文化传媒
17	601107	四川成渝	5.61	-0.88%	35,568	0.00%	1.27%	11.20	0.88	5.17%	121	+12.30%	铁路公路
18	601108	财通证券	8.60	-0.81%	121,494	0.00%	1.42%	16.52	1.09	1.86%	399	+6.65%	证券
19	601163	三角轮胎	13.92	-0.43%	40,659	0.00%	1.54%	16.62	0.83	3.81%	111	-4.17%	橡胶制品
20	601169	北京银行	6.07	+1.17%	135,835	0.00%	4.46%	4.87	0.33	5.27%	1283	+3.57%	银行
21	601186	中国铁建	8.09	-0.49%	230,727	0.00%	1.27%	5.48	0.32	3.71%	931	-8.61%	工程建设
22	601187	厦门银行	6.58	-1.79%	42,615	0.00%	2.96%	6.82	0.54	4.71%	174	+19.43%	银行
23	601200	上海环境	8.27	-0.36%	63,460	0.00%	1.13%	19.63	0.97	1.21%	111	+2.49%	环保行业
24	601228	广州港	3.42	-0.58%	64,534	0.00%	0.36%	35.54	1.23	1.14%	258	+2.06%	航运港口
25	601319	中国人保	8.75	-2.56%	130,415	0.00%	0.99%	8.27	1.36	2.06%	3106	+17.53%	保险
26	601326	秦港股份	3.41	-0.29%	50,940	0.00%	0.96%	12.42	0.96	2.49%	162	+4.47%	航运港口
27	601330	绿色动力	6.99	-0.57%	36,384	0.00%	1.07%	14.92	1.19	4.29%	69	+9.53%	环保行业
28	601368	绿城水务	5.00	+0.60%	27,000	0.00%	-	172.38	0.93	0.60%	44	+5.70%	公用事业
29	601390	中国中铁	5.63	-0.88%	462,003	0.00%	3.04%	6.48	0.38	3.16%	1156	-9.08%	工程建设
30	601518	吉林高速	2.78	-0.36%	42,278	0.00%	0.03%	10.54	0.96	3.09%	53	+3.20%	铁路公路
31	601528	瑞丰银行	5.59	-0.36%	30,002	0.00%	4.37%	6.12	0.57	3.58%	110	+3.21%	银行
32	601568	北元集团	4.12	-1.67%	64,243	0.00%	0.51%	83.15	1.44	2.43%	164	+0.47%	化学原料
33	601588	北辰实业	1.83	+0.55%	122,094	0.00%	0.95%	-	0.76	1.09%	49	-1.61%	房地产服务
34	601618	中国中冶	3.43	+0.59%	312,041	0.00%	2.40%	16.88	0.47	1.63%	612	+5.87%	工程建设
35	601668	中国建筑	5.56	-0.54%	344,779	0.00%	3.88%	5.45	0.48	4.88%	2297	-3.01%	工程建设
36	601766	中国中车	7.59	-1.04%	513,174	0.00%	3.46%	16.20	1.28	2.77%	1846	-6.83%	交运设备
37	601816	京沪高铁	5.26	-1.50%	166,726	0.00%	3.54%	20.22	1.27	2.25%	2573	-12.80%	铁路公路
38	601818	光大银行	3.71	-1.85%	140,541	0.00%	2.89%	5.17	0.37	5.09%	1722	+0.59%	银行
39	601825	沪农商行	8.75	+0.57%	73,404	0.00%	1.83%	6.87	0.67	4.94%	844	+4.81%	银行
40	601827	三峰环境	8.54	+0.83%	29,121	0.00%	0.72%	12.40	1.25	2.87%	143	+2.41%	环保行业
41	601860	紫金银行	2.94	-1.34%	62,349	0.00%	2.53%	6.62	0.53	3.40%	108	+6.88%	银行
42	601868	中国能建	2.43	-0.82%	334,967	0.00%	2.64%	15.08	0.86	1.59%	788	+7.83%	工程建设
43	601899	紫金矿业	24.38	+5.63%	335,659	0.00%	7.72%	17.10	4.56	1.15%	5020	+63.59%	有色金属
44	601916	浙商银行	3.14	-3.09%	213,803	0.00%	3.05%	-	0.43	4.97%	677	+12.68%	银行
45	601928	凤凰传媒	11.29	+0.09%	35,880	0.00%	1.77%	12.24	1.44	4.43%	287	+2.15%	文化传媒
46	601952	苏垦农发	9.68	-0.62%	45,386	0.00%	0.69%	22.97	1.96	2.79%	133	+0.98%	农牧饲渔
47	601963	重庆银行	9.70	-1.42%	34,192	0.00%	2.94%	6.46	0.54	4.27%	184	+8.88%	银行
48	601991	大唐发电	3.59	+2.87%	161,612	0.00%	1.34%	11.31	0.77	1.73%	445	+28.27%	电力行业
49	601998	中信银行	7.78	-1.52%	118,583	0.00%	0.91%	6.26	0.53	4.47%	3171	+13.64%	银行
50	601999	出版传媒	7.22	+3.00%	22,814	0.00%	-	34.53	1.52	0.83%	40	+16.10%	文化传媒
51	603050	科林电气	16.04	-0.25%	11,719	0.00%	0.16%	40.26	3.65	0.84%	65	+16.02%	电网设备
52	603067	振华股份	18.88	+3.00%	18,135	0.00%	1.15%	25.10	3.99	0.72%	134	+110.70%	化学原料
53	603071	物产环能	13.65	+2.79%	21,209	0.00%	0.64%	12.05	1.39	4.40%	76	+10.83%	贸易行业
54	603121	华培动力	17.18	+1.54%	17,451	0.00%	0.02%	300.00	4.91	1.16%	58	+57.12%	汽车零部件
55	603122	合富中国	6.72	+1.82%	31,982	0.00%	-	-	2.41	1.93%	27	-2.33%	医药商业
56	603191	望变电气	15.12	-0.46%	27,838	0.00%	0.49%	73.05	2.03	0.33%	50	+20.59%	电网设备
57	603213	镇洋发展	15.29	+10.00%	15,700	0.00%	-	38.54	3.45	1.71%	68	+80.16%	化学原料
58	603216	梦天家居	14.89	-1.72%	12,019	0.00%	-	66.46	1.87	1.34%	33	+39.20%	装修装饰
59	603230	内蒙新华	13.66	-3.05%	16,439	0.00%	0.40%	16.36	1.78	3.51%	48	+12.10%	文化传媒
60	603299	苏盐井神	11.21	+0.90%	26,954	0.00%	0.40%	17.28	1.44	3.95%	88	+5.38%	化学原料
61	603358	华达科技	43.00	-0.69%	7,177	0.00%	0.45%	89.79	5.55	1.14%	202	+30.69%	汽车零部件
62	603365	水星家纺	17.15	-0.17%	7,591	0.00%	-	14.76	1.55	5.25%	45	+10.97%	纺织服装
63	603551	奥普科技	12.59	+1.04%	10,069	0.00%	-	16.64	3.74	6.82%	49	+23.87%	家电行业
64	603590	康辰药业	61.79	+10.01%	9,970	0.00%	-	186.36	3.16	0.97%	98	+167.84%	生物制品
65	603630	拉芳家化	26.97	+9.99%	16,504	0.00%	-	300.00	3.19	0.52%	61	+96.51%	美容护理
66	603698	航天工程	17.75	-3.22%	22,852	0.00%	0.86%	51.66	2.76	0.61%	95	+14.77%	专业服务
67	603699	纽威股份	33.79	+1.75%	12,466	0.00%	8.19%	20.41	6.30	4.49%	260	+57.91%	通用设备
68	603727	博迈科	14.13	0.00%	17,425	0.00%	-	118.56	1.26	1.77%	40	+25.30%	采掘行业
69	603790	雅运股份	18.47	-0.91%	6,626	0.00%	-	66.84	2.86	0.65%	35	+68.71%	化学制品
70	603815	交建股份	10.02	+3.83%	20,552	0.00%	-	37.75	2.59	0.65%	62	+79.42%	工程建设
71	603858	步长制药	19.90	+2.00%	55,151	0.00%	1.07%	-	1.95	0.66%	210	+25.95%	中药
72	603992	松霖科技	29.22	-0.27%	6,713	0.00%	0.08%	44.94	3.92	1.76%	126	+59.98%	装修建材
73	605003	众望布艺	23.88	+0.51%	4,552	0.00%	-	48.22	1.85	1.72%	26	+28.87%	纺织服装
74	605028	世茂能源	22.80	-1.26%	12,228	0.00%	-	27.92	2.78	3.51%	36	+40.98%	电力行业
75	605050	福然德	16.63	+9.99%	10,212	0.00%	0.40%	25.89	1.92	2.10%	82	+76.44%	物流行业
76	605118	力鼎光电	33.59	+8.25%	11,180	0.00%	1.40%	65.85	9.11	1.19%	138	+91.70%	光学光电子
77	605162	新中港	8.89	+1.60%	20,412	0.00%	-	27.99	2.72	2.02%	36	+34.04%	公用事业
78	605189	富春染织	14.78	+4.60%	7,303	0.00%	-	46.01	1.54	0.94%	29	+59.43%	纺织服装
