,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'1,688266.泽璟制药-U,'111.76,'-0.79%,'80,30.20%,30.20%,'-12.70%,'172,0.83%,'296,亏损,18.25%,68.8%,148.42%,化学制药
'2,688008.澜起科技,'90.94,'+6.79%,'228,25.49%,25.49%,'-16.25%,'245,10.07%,'1041,'67.99,10.88%,48.98%,43.23%,半导体
'3,688099.晶晨股份,'73.90,'+1.72%,'81,23.03%,23.03%,'-29.35%,'84,3.36%,'311,'38.99,'-2.99%,13.75%,14.58%,半导体
'4,688012.中微公司,'196.06,'+0.45%,'264,22.99%,22.99%,'-30.34%,'238,9.18%,'1228,'86.24,0.31%,27.97%,66.21%,半导体
'5,688169.石头科技,'178.46,'-0.36%,'96,21.34%,21.34%,'-29.58%,'135,3.91%,'462,'30.41,10.62%,'-18.6%,90.58%,家电行业
'6,688617.惠泰医疗,'281.00,'-0.66%,'80,21.23%,21.23%,'-31.49%,'106,3.20%,'396,'57.68,'-3.53%,'-11.83%,68.69%,医疗器械
'7,002541.鸿路钢构,'18.10,'+1.12%,'29,20.96%,29.14%,'-17.70%,'49,0.70%,'124,'24.28,'-12.53%,31.65%,'-56.89%,水泥建材
'8,688608.恒玄科技,'228.69,'-1.23%,'102,20.90%,20.90%,'-36.31%,'313,4.04%,'385,'68.46,'-26.03%,95.61%,167.31%,半导体
'9,300502.新易盛,'186.40,'+2.17%,'140,20.10%,22.60%,'-44.33%,'291,5.10%,'1813,'44.5,111.47%,164.28%,1246.68%,通信设备
'10,688521.芯原股份,'101.88,'-0.10%,'105,19.76%,19.83%,'-4.50%,'182,1.11%,'536,亏损,15.29%,252.26%,85.94%,半导体
'11,603986.兆易创新,'118.28,'+0.24%,'152,19.61%,19.64%,'-33.09%,'264,6.12%,'785,'73.37,'-9.04%,45.81%,24.84%,半导体
'12,300661.圣邦股份,'77.20,'+1.98%,'80,19.36%,20.19%,'-43.54%,'75,5.64%,'468,'107.61,'-2.53%,13.81%,'-25.88%,半导体
'13,688068.热景生物,'250.80,'+10.97%,'17,19.19%,19.19%,'-5.46%,'52,0.20%,'233,亏损,142.36%,876.72%,255.41%,医疗器械
'14,688213.思特威-W,'99.46,'-0.77%,'75,19.14%,23.81%,'-16.83%,'108,1.59%,'400,'71.24,3.02%,86.04%,154.23%,半导体
'15,688002.睿创微纳,'70.77,'+8.03%,'52,18.75%,18.75%,'-34.69%,'117,2.88%,'323,'61.25,15.93%,154.35%,39.82%,半导体
'16,002149.西部材料,'20.19,'-9.95%,'18,18.48%,18.48%,'-34.15%,'32,0.78%,'109,'109.37,12.03%,49.78%,31.96%,小金属
'17,600089.特变电工,'13.40,'+0.37%,'112,18.37%,18.37%,'-20.94%,'60,4.40%,'677,'19.37,9.82%,'-16.28%,'-21.49%,电网设备
'18,002422.科伦药业,'37.57,'+0.05%,'94,18.32%,22.42%,'-22.35%,'140,2.50%,'600,'24.25,7.9%,'-5.23%,52.77%,化学制药
