,股票,价,涨,市值.亿,占总股本,占流通,变更,机构数,北上,市值.亿,PE,近3月,近1年,近3年,行业
'1,688008.澜起科技,'90.94,'+6.79%,'240,25.58%,25.58%,'+0.37%,'276,10.07%,'1041,'67.99,10.88%,48.98%,43.23%,半导体
'2,688266.泽璟制药-U,'111.76,'-0.79%,'71,24.91%,24.91%,'-17.52%,'186,0.83%,'296,亏损,18.25%,68.80%,148.42%,化学制药
'3,300502.新易盛,'186.40,'+2.17%,'312,24.75%,27.79%,'+72.45%,'636,5.10%,'1813,'44.5,111.47%,164.28%,1246.68%,通信设备
'4,688068.热景生物,'250.80,'+10.97%,'29,22.46%,22.46%,'+17.32%,'75,0.20%,'233,亏损,142.36%,876.72%,255.41%,医疗器械
'5,688012.中微公司,'196.06,'+0.45%,'241,21.07%,21.07%,'-7.78%,'240,9.18%,'1228,'86.24,0.31%,27.97%,66.21%,半导体
'6,688037.芯源微,'114.65,'-0.22%,'43,19.75%,19.75%,'+11.45%,'134,1.25%,'231,'300.0,12.61%,65.18%,'-12.2%,半导体
'7,688521.芯原股份,'101.88,'-0.10%,'95,18.63%,19.63%,'-1.05%,'177,1.11%,'536,亏损,15.29%,252.26%,85.94%,半导体
'8,688002.睿创微纳,'70.77,'+8.03%,'59,18.46%,18.46%,'-1.10%,'151,2.88%,'323,'61.25,15.93%,154.35%,39.82%,半导体
'9,603986.兆易创新,'118.28,'+0.24%,'150,17.91%,17.92%,'-8.68%,'313,6.12%,'785,'73.37,'-9.04%,45.81%,24.84%,半导体
'10,300308.中际旭创,'210.52,'-0.19%,'288,17.76%,17.85%,'+51.84%,'596,3.72%,'2344,'41.5,110.90%,81.34%,892.05%,通信设备
'11,002541.鸿路钢构,'18.10,'+1.12%,'20,17.50%,24.34%,'-16.49%,'41,0.70%,'124,'24.28,'-12.53%,31.65%,'-56.89%,水泥建材
'12,002422.科伦药业,'37.57,'+0.05%,'98,17.14%,20.97%,'-6.47%,'155,2.50%,'600,'24.25,7.90%,'-5.23%,52.77%,化学制药
'13,300476.胜宏科技,'197.65,'+4.32%,'198,17.13%,17.27%,'+19.36%,'462,3.21%,'1635,'87.94,129.62%,547.55%,1265.11%,电子元件
'14,603129.春风动力,'244.01,'+7.59%,'55,16.72%,16.72%,'+3.02%,'127,3.88%,'372,'23.56,36.28%,57.47%,68.94%,交运设备
'15,002928.华夏航空,'8.50,0.00%,'17,16.00%,16.00%,'-8.01%,'38,0.60%,'109,'62.79,4.93%,23.96%,'-38.13%,航空机场
'16,688382.益方生物-U,'43.20,0.00%,'30,15.70%,22.63%,'+53.57%,'129,1.39%,'250,亏损,115.42%,471.86%,203.94%,生物制品
'17,603259.药明康德,'93.58,'+0.31%,'313,15.67%,18.11%,'-1.40%,'390,12.13%,'2688,'24.09,52.35%,116.21%,10.54%,医疗服务
'18,002850.科达利,'116.68,'+2.03%,'48,15.59%,21.66%,'-11.42%,'122,2.43%,'313,'20.83,'-11.09%,16.70%,2.04%,电池
'19,688361.中科飞测,'85.99,'-2.08%,'42,15.37%,19.91%,'+18.99%,'111,0.35%,'277,亏损,5.25%,47.13%,14.33%,半导体
'20,688256.寒武纪-U,'694.34,'-0.09%,'379,15.09%,15.09%,'+1.62%,'403,3.75%,'2905,亏损,'-2.81%,163.87%,942.10%,半导体
'21,688019.安集科技,'149.46,'-0.29%,'38,14.99%,14.99%,'+38.15%,'132,7.58%,'252,'43.25,3.24%,51.30%,37.61%,电子化学品
